SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
NOc1c(c2nc([nH]c2)CNCC=C)cc(cc1F)CC(=O)C=C,27/000000407,"InChI=1S/C17H19FN4O2/c1-3-5-20-10-16-21-9-15(22-16)13-7-11(6-12(23)4-2)8-14(18)17(13)24-19/h3-4,7-9,20H,1-2,5-6,10,19H2,(H,21,22)",C17H19N4O2F,330,1.0,5.48,0.95,3.58,-180,3.580002034759249,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)NC)CC,27/000000150,"InChI=1S/C13H15FN4O2/c1-3-7-4-8(11(20-15)9(14)5-7)10-6-17-12(18-10)13(19)16-2/h4-6H,3,15H2,1-2H3,(H,16,19)(H,17,18)",C13H15N4O2F,278,0.82,5.41,1.84,3.58,-200,3.2876279632236045,1
OC(=O)CCCc1cc(c(c(c1)F)ON)c1nc([nH]c1)C(=O)NC,27/000000298,"InChI=1S/C15H17FN4O4/c1-18-15(23)14-19-7-11(20-14)9-5-8(3-2-4-12(21)22)6-10(16)13(9)24-17/h5-7H,2-4,17H2,1H3,(H,18,23)(H,19,20)(H,21,22)",C15H17N4O4F,336,0.29,5.4,3.11,3.58,-140,3.179502034759248,1
SCS(=O)(=O)CCc1cc(c(c(c1)F)ON)c1nc([nH]c1)C(=O)CN,27/000000455,"InChI=1S/C14H17FN4O4S2/c15-10-4-8(1-2-25(21,22)7-24)3-9(13(10)23-17)11-6-18-14(19-11)12(20)5-16/h3-4,6,24H,1-2,5,7,16-17H2,(H,18,19)",C14H17N4O4S2F,388,-0.21,5.39,3.89,3.58,-120,3.7847245393440634,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)O)/C=C\C=C,27/000000528,"InChI=1S/C14H12FN3O3/c1-2-3-4-8-5-9(12(21-16)10(15)6-8)11-7-17-13(18-11)14(19)20/h2-7H,1,16H2,(H,17,18)(H,19,20)/b4-3-",C14H11N3O3F,288,0.9,5.35,4.32,23.7,-120,3.561640437408297,1
OCCCc1cc(F)c(c(c1)c1nc([nH]c1)C(=O)NC)ON,27/000000457,"InChI=1S/C14H17FN4O3/c1-17-14(21)13-18-7-11(19-13)9-5-8(3-2-4-20)6-10(15)12(9)22-16/h5-7,20H,2-4,16H2,1H3,(H,17,21)(H,18,19)",C14H17N4O3F,308,0.05,5.32,3.53,3.58,-140,3.2776550091413608,1
OC(=O)Cc1nc(c[nH]1)c1c(ON)c(F)cc(c1)CCS(=O)(=O)CF,27/000000465,"InChI=1S/C14H15F2N3O5S/c15-7-25(22,23)2-1-8-3-9(14(24-17)10(16)4-8)11-6-18-12(19-11)5-13(20)21/h3-4,6H,1-2,5,7,17H2,(H,18,19)(H,20,21)",C14H15N3O5SF2,375,0.44,5.29,3.63,3.58,-180,3.550478159253565,1
OC(=O)Cc1nc(c[nH]1)c1c(ON)c(F)cc(c1)CCS(=O)(=O)C,27/000000129,"InChI=1S/C14H16FN3O5S/c1-24(21,22)3-2-8-4-9(14(23-16)10(15)5-8)11-7-17-12(18-11)6-13(19)20/h4-5,7H,2-3,6,16H2,1H3,(H,17,18)(H,19,20)",C14H16N3O5SF,357,0.23,5.24,3.16,3.58,-180,3.296496709315462,1
NOc1c(F)cc(cc1c1nc([nH]c1)C(=O)NC)CCNC=C,27/000000429,"InChI=1S/C15H18FN5O2/c1-3-19-5-4-9-6-10(13(23-17)11(16)7-9)12-8-20-14(21-12)15(22)18-2/h3,6-8,19H,1,4-5,17H2,2H3,(H,18,22)(H,20,21)",C15H18N5O2F,319,0.74,5.2,2.36,3.58,-160,3.5736799172046023,1
SCS(=O)(=O)CCc1cc(F)c(c(c1)c1nc[nH]c1)ON,27/000000231,"InChI=1S/C12H14FN3O3S2/c13-10-4-8(1-2-21(17,18)7-20)3-9(12(10)19-14)11-5-15-6-16-11/h3-6,20H,1-2,7,14H2,(H,15,16)",C12H14N3O3S2F,331,1.04,5.18,4.89,3.58,-120,3.654209137673549,1
OC(=O)[C@@H](c1ccc(c(c1)O)I)OC(=O)CN(=O)=O,22/000000027,"InChI=1S/C10H8INO7/c11-6-2-1-5(3-7(6)13)9(10(15)16)19-8(14)4-12(17)18/h1-3,9,13H,4H2,(H,15,16)/t9-/m1/s1",C10H8NO7I,381,1.16,5.17,2.45,3.58,-150,3.410016014443876,1
NOc1c(F)cccc1c1nc([nH]c1)C(=O)N,27/000000023,"InChI=1S/C10H9FN4O2/c11-6-3-1-2-5(8(6)17-13)7-4-14-10(15-7)9(12)16/h1-4H,13H2,(H2,12,16)(H,14,15)",C10H9N4O2F,236,-0.18,5.15,2.7,2.22,-120,3.1952865491073323,1
ONC(=O)/C=C/[C@H](CO)/C=C/c1cc(F)cc(c1O)F,1/000000058,"InChI=1S/C13H13F2NO4/c14-10-5-9(13(19)11(15)6-10)3-1-8(7-17)2-4-12(18)16-20/h1-6,8,17,19-20H,7H2,(H,16,18)/b3-1+,4-2+/t8-/m1/s1",C13H13NO4F2,285,1.01,5.15,2.35,3.58,-150,3.765603481695411,1
NOc1c(F)cc(cc1c1nc[nH]c1)CCS(=O)(=O)CCBr,27/000000099,"InChI=1S/C13H15BrFN3O3S/c14-2-4-22(19,20)3-1-9-5-10(12-7-17-8-18-12)13(21-16)11(15)6-9/h5-8H,1-4,16H2,(H,17,18)",C13H15N3O3SFBr,392,1.83,5.13,5.67,3.58,-120,3.528694857817273,1
NOc1c(cc(cc1F)Cl)c1nc([nH]c1)C(=O)O,27/000000432,"InChI=1S/C10H7ClFN3O3/c11-4-1-5(8(18-13)6(12)2-4)7-3-14-9(15-7)10(16)17/h1-3H,13H2,(H,14,15)(H,16,17)",C10H6N3O3FCl,270,0.73,5.11,1.82,2.35,-120,3.2682537305445045,1
C#CCc1cc(c2nc([nH]c2)C(=O)NC)c(c(c1)F)ON,27/000000123,"InChI=1S/C14H13FN4O2/c1-3-4-8-5-9(12(21-16)10(15)6-8)11-7-18-13(19-11)14(20)17-2/h1,5-7H,4,16H2,2H3,(H,17,20)(H,18,19)",C14H13N4O2F,288,0.65,5.11,2.87,3.58,-160,3.617020278257103,1
O=Nc1cc(c2nc([nH]c2)C(=O)O)c(c(c1)F)ON,27/000000466,"InChI=1S/C10H7FN4O4/c11-6-2-4(15-18)1-5(8(6)19-12)7-3-13-9(14-7)10(16)17/h1-3H,12H2,(H,13,14)(H,16,17)",C10H6N4O4F,265,-0.35,5.02,1.69,23.5,-120,3.6940776417493693,1
OC(=O)Cc1nc(c[nH]1)c1c(ON)c(F)cc(c1)CCS(=O)(=O)CN(=O)=O,27/000000472,"InChI=1S/C14H15FN4O7S/c15-10-4-8(1-2-27(24,25)7-19(22)23)3-9(14(10)26-16)11-6-17-12(18-11)5-13(20)21/h3-4,6H,1-2,5,7,16H2,(H,17,18)(H,20,21)",C14H15N4O7SF,402,-0.22,5.02,4.85,3.7,-180,3.6340884486662617,1
