SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Oc1cnc(c(c1S)/C=C/[C@H](CO)Cl)I;30/000000197;InChI=1S/C9H9ClINO2S/c10-5(4-13)1-2-6-8(15)7(14)3-12-9(6)11/h1-3,5,13-14H,4H2,(H,12,15)/b2-1+/t5-/m1/s1;C9H9NO2SClI;357;2.12;4.10;5.42;3.58;-150
Oc1cnc(c(c1S)/C=C/[C@H](C1=CCC1)Cl)I;30/000000131;InChI=1S/C12H11ClINOS/c13-9(7-2-1-3-7)5-4-8-11(17)10(16)6-15-12(8)14/h2,4-6,9,16H,1,3H2,(H,15,17)/b5-4+/t9-/m1/s1;C12H11NOSClI;379;2.97;4.20;7.09;3.58;-150
OC/C(=C\c1c(I)nccc1S)/c1nnc([nH]1)[C@H](SC)O;30/000000180;InChI=1S/C12H13IN4O2S2/c1-21-12(19)11-15-10(16-17-11)6(5-18)4-7-8(20)2-3-14-9(7)13/h2-4,12,18-19H,5H2,1H3,(H,14,20)(H,15,16,17)/b6-4+/t12-/m0/s1;C12H13N4O2S2I;436;2.64;4.11;8.39;24.20;-170
Oc1cnc(c(c1S)/C=C/[C@@H]1[NH2+]CCC1)I;30/000000005;InChI=1S/C11H13IN2OS/c12-11-8(10(16)9(15)6-14-11)4-3-7-2-1-5-13-7/h3-4,6-7,13,15H,1-2,5H2,(H,14,16)/p+1/b4-3+/t7-/m1/s1;C11H14N2OSI;349;2.62;4.45;7.40;3.58;-150
S[C@@H](c1nnc([nH]1)/C=C/c1c(I)nccc1S)Cl;30/000000141;InChI=1S/C10H8ClIN4S2/c11-8(18)10-14-7(15-16-10)2-1-5-6(17)3-4-13-9(5)12/h1-4,8,18H,(H,13,17)(H,14,15,16)/b2-1+/t8-/m0/s1;C10H8N4S2ClI;410;4.21;4.31;7.43;2.22;-150
SCN[C@@H](Nc1c(I)ncc(c1S)O)N;30/000000081;InChI=1S/C7H11IN4OS2/c8-6-4(12-7(9)11-2-14)5(15)3(13)1-10-6/h1,7,11-14H,2,9H2,(H,10,15);C7H9N4OS2I;356;1.38;4.18;5.10;17.00;0
Oc1cnc(c(c1S)/C=C/[C@H](c1cnc[nH]1)Cl)I;30/000000186;InChI=1S/C11H9ClIN3OS/c12-7(8-3-14-5-16-8)2-1-6-10(18)9(17)4-15-11(6)13/h1-5,7,17H,(H,14,16)(H,15,18)/b2-1+/t7-/m1/s1;C11H9N3OSClI;393;2.40;4.61;7.27;3.58;-150
O=C(CN[C@H](Nc1c(I)ncc(c1Cl)N(=O)=O)N)CNOC;30/000000011;InChI=1S/C10H14ClIN6O4/c1-22-16-3-5(19)2-15-10(13)17-8-7(11)6(18(20)21)4-14-9(8)12/h4,10,15-17H,2-3,13H2,1H3;C10H13N6O4ClI;443;1.08;4.22;6.03;24.30;-80
OC/C(=C\c1c(I)nccc1S)/c1nnc([nH]1)[C@H](SC)O;30/000000179;InChI=1S/C12H13IN4O2S2/c1-21-12(19)11-15-10(16-17-11)6(5-18)4-7-8(20)2-3-14-9(7)13/h2-4,12,18-19H,5H2,1H3,(H,14,20)(H,15,16,17)/b6-4+/t12-/m0/s1;C12H13N4O2S2I;436;2.64;4.15;8.33;24.20;-170
S[C@@H](c1nnc([nH]1)/C=C/c1c(I)nccc1S)Cl;30/000000142;InChI=1S/C10H8ClIN4S2/c11-8(18)10-14-7(15-16-10)2-1-5-6(17)3-4-13-9(5)12/h1-4,8,18H,(H,13,17)(H,14,15,16)/b2-1+/t8-/m0/s1;C10H8N4S2ClI;410;4.21;4.27;7.13;2.22;-150
N[C@H](NCC(=O)CNC)Nc1c(I)ncc(c1Cl)N(=O)=O;30/000000008;InChI=1S/C10H14ClIN6O3/c1-14-2-5(19)3-16-10(13)17-8-7(11)6(18(20)21)4-15-9(8)12/h4,10,14,16-17H,2-3,13H2,1H3;C10H13N6O3ClI;427;0.54;4.14;7.92;23.10;-50
OC(=S)Nc1c(I)ncc(c1S)O;30/000000066;InChI=1S/C6H5IN2O2S2/c7-5-3(9-6(11)13)4(12)2(10)1-8-5/h1,10H,(H,8,12)(H2,9,11,13);C6H5N2O2S2I;328;1.52;4.04;6.22;15.30;0
