ID_Control;SMILES_curated;IC50 (nM)
ID_161;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1C(F)(F)F)C1CCCCC1;6.05
ID_162;CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4cc(C)ccc4F)c(=O)c3cc2F)c1=O;6.1
ID_163;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4nc(OC)ccc4F)c(=O)c3cc2F)c1=O;6.14
ID_164;C[C@H](Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;6.17
ID_165;O=C(Nc1c(F)c(F)c(-c2cccnc2)c(F)c1F)c1c(O)nn2ccccc12;6.2
ID_166;C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(Cl)cccc2Br)cc1F;6.2
ID_167;CCn1nc(-c2cc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)nc1C(C)=O;6.2
ID_168;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;6.25
ID_169;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cc(C)cnc4Cl)c(=O)c3cc2F)c1=O;6.29
ID_170;O=C(Nc1c(F)c(F)c(-c2cccc(C(F)(F)F)c2)c(F)c1F)c1c(O)nn2ccccc12;6.3
ID_171;O=C(N[C@@H]1CCCc2c1cnn2-c1ccccc1F)c1ncc2ccccn12;6.3
ID_172;CC(=N)/C(NC(=O)c1cc(F)c(-c2nc(N)ccc2Cl)cc1O[C@@H](C)C(F)(F)F)=C(\N)Cl;6.31
ID_173;CCc1sc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1C(N)=O;6.32
ID_174;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;6.33
ID_175;Cc1ccccc1NC(=O)c1cc(F)c(-c2cc(CO)n(C)n2)cc1O[C@@H](C)C(F)(F)F;6.39
ID_176;C[C@H](Oc1cc(-n2nc(C(=O)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;6.5
ID_177;C=C(C)c1cn(-c2cc(OC)ncc2F)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12;6.55
ID_178;C=C(C)c1cn(-c2cc(C)cnc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12;6.58
ID_179;C[C@H](Oc1cc(-c2cnc(Cl)c(C(=O)O)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;6.7
ID_180;Cc1cc(C(=O)O)c2nc(-c3c(F)c(F)c(-c4ccccc4)c(F)c3F)[nH]c2c1;6.8
ID_181;C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(F)cccc2Br)cc1F;6.8
ID_182;Cc1ccc(F)cc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;6.85
ID_183;C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(F)cccc2Cl)cc1F;6.9
