ID_Control;SMILES_curated;IC50 (nM)
ID_392;CCc1nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c(=O)n1CC;16.0
ID_393;CCOc1cccc(-c2cc(F)c(NC(=O)c3cocc3C(=O)O)c(F)c2)c1;16.0
ID_394;Cc1c(C(O)c2ccccc2)c(OC(C)C)nn1-c1ncc(C2CC2)cn1;16.0
ID_395;Cc1cc(-c2cc(C(=O)O)c3cc(F)ccc3n2)cc(C)c1Oc1ccccc1;16.0
ID_396;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1cc(F)ccc1C;16.0
ID_397;C/C(O)=C(\C#N)C(=O)Nc1cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc2c(F)cccc2F)cc1F;16.0
ID_398;Cc1cn(C)nc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;16.0
ID_399;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)ccc1C(=O)Nc1c(F)cccc1F)C(F)(F)F;16.0
ID_400;Cc1cnccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;16.0
ID_401;CCn1c(CO)nn(-c2cc3c(C(C)C)cn([C@@H]4CCC[C@H]4C)c(=O)c3cc2F)c1=O;16.8
ID_402;O=C(O)c1cccnc1Nc1c(F)cc(-c2cccc(OC3CC3)c2)cc1F;17.0
ID_403;O=C(O)c1[nH]c(=O)[nH]c(=O)c1CCc1ccc(Oc2ccccc2)cc1;17.0
ID_404;Cc1c(F)cccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;17.0
ID_405;CC(C)(C)c1ccc(CCc2c(C(=O)O)[nH]c(=O)[nH]c2=O)cc1;17.0
ID_406;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc(C)n(C(C)C)c2=O)cc1O[C@@H](C)c1ccccc1;17.0
ID_407;CCC[C@H](C)Oc1cc(-n2nc(C)n(C(C)C)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1F;17.0
ID_408;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1Cl)C(F)(F)F;17.0
ID_409;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1cnccc1C;17.0
ID_410;C[C@H](Oc1cc(-n2nc(CO)n(C3CC3)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;17.0
ID_411;C[C@H](Oc1cc(-n2nc(C3CC3)n(C)c2=O)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F;17.0
ID_412;CCOc1cc(NC(=O)/C(C#N)=C(/C)O)c(F)cc1C(=O)Nc1c(Cl)cccc1Cl;17.0
ID_413;CCOc1cccc(-c2cc(F)c(NC(=O)C3=C(C(=O)O)CCC3)c(F)c2)c1;17.0
ID_414;C=C(C)c1cn(-c2ccccc2C)c(=O)c2cc(C)c(-n3nc(CO)n(CC)c3=O)cc12;17.1
ID_415;O=C(Nc1c(F)c(F)c(-c2ccc(F)cc2)c(F)c1F)c1c(O)nn2ccccc12;17.7
ID_416;COc1nccc(C)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;17.8
ID_417;O=C(N[C@@H]1CCCc2c1cnn2-c1ccccc1F)c1noc2ccccc12;18.0
ID_418;C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2c(F)cccc2Br)cc1F;18.0
ID_419;Cc1cc(NC(=O)c2c(O)nn3ccccc23)c(C(C)C)cc1Oc1ccc(C(F)(F)F)cc1;18.0
ID_420;Cc1cncnc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;18.0
ID_421;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCOC3)c(F)cc1C(=O)Nc1c(Cl)ccc(F)c1F)C(F)(F)F;18.0
ID_422;C=CCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)NC(CC)CC;18.0
ID_423;O=C(O)c1cccc2[nH]c(-c3c(F)c(F)c(-c4ccccc4F)c(F)c3F)nc12;18.0
ID_424;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)CN1CCCC1;18.0
ID_425;Cc1ccc(Nc2cnc(-c3ccccc3)c(F)c2)c(C(=O)O)c1;18.0
ID_426;O=C(O)C1=C(C(=O)Nc2c(F)cc(-c3ccccc3Cl)cc2F)CCC1;18.0
ID_427;O=C(O)c1c(O)c(-c2ccc(Sc3ccccc3)cc2)nc2ccc(F)cc12;18.0
ID_428;CCOC(=O)c1sc(Nc2ccc3c(c2)CCCC3)nc1-c1ccccc1;18.0
ID_429;Cc1ccccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCOC3)cc1O[C@@H](C)C(F)(F)F;18.0
ID_430;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)CN(C)C;18.3
ID_431;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)ccnc3OC)cc2F)c1=O;19.0
ID_432;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc(C)n(C(C)C)c2=O)cc1O[C@@H](C)C(F)(F)F;19.0
ID_433;O=C1c2ccccc2C(=O)c2c1nnn2-c1ccc(-c2ccccc2)cc1;19.0
ID_434;CC(C)(C)c1ccc(Oc2ccc(-c3cc(C(=O)O)c4cc(F)ccc4n3)cc2)cc1;19.0
ID_435;Cc1ccc(Nc2ccc(-c3c(F)cccc3F)nc2)c(C(=O)O)c1;19.0
ID_436;CCOc1cccc(-c2ccc(Nc3cnccc3C(=O)O)c(F)c2)c1;19.0
ID_437;CCOc1cccc(-c2cc(F)c(Nc3ncccc3C(=O)O)c(F)c2)c1;19.0
ID_438;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(C45CCC(CC4)C5)c(=O)c3cc2F)c1=O;19.0
ID_439;CCOc1ccc(F)c(-c2ccc(Nc3ccc(C)cc3C(=O)O)cn2)c1;19.0
ID_440;O=C(NC1CCCc2c1cnn2-c1ccccc1)c1noc2c1CCCC2;19.0
ID_441;CCn1nc(-c2cc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)nc1C(C)O;19.0
ID_442;CCCC(C)N(/N=C/c1ccccc1C(=O)O)c1nc(-c2ccccc2Cl)cs1;19.1
ID_443;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3ccccn3c2=O)cc1O[C@@H](C)C(F)(F)F;19.5
ID_444;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc(CO)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;19.5
ID_445;C[C@H](Oc1cc(-c2cncc(CO)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;19.9
ID_446;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1C(C)C;20.0
ID_447;Nc1ccccc1-c1ccc(-n2nnc3c2C(=O)c2ccccc2C3=O)cc1;20.0
ID_448;CCn1c(C(N)=O)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O;20.0
ID_449;Cc1c(F)cccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;20.0
ID_450;CCn1c(CO)nn(-c2cc3c(cc2F)c(=O)c(-c2c(F)cccc2Cl)cn3C(C)C)c1=O;20.0
ID_451;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cc(F)cc1F)C1CCCCC1;20.0
ID_452;COc1ccc2c(CCc3c(C(=O)O)[nH]c(=O)[nH]c3=O)cccc2c1;20.0
ID_453;COc1ccc(NC(=O)c2cc(F)c(-n3nc4n(c3=O)CCCC4)cc2O[C@@H](C)C2CCCCC2)c(C)n1;20.0
ID_454;Cc1cc(C(F)(F)F)ccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;20.0
ID_455;Cc1ccc(C(F)(F)F)cc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;20.0
ID_456;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc([C@H](C)O)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;20.0
ID_457;O=C(O)c1cccc2[nH]c(-c3c(F)c(F)c(-c4cc(F)cc(F)c4)c(F)c3F)nc12;20.0
ID_458;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(Cl)ccc(OC)c3F)cc2F)c1=O;20.0
ID_459;Cc1ccc(Nc2cnc(-c3ccccc3C(F)(F)F)c(C)c2)c(C(=O)O)c1;20.0
ID_460;O=C(O)C1=C(C(=O)Nc2ccc(-c3cccc(OC(F)(F)F)c3)c(Cl)c2)CCC1;20.0
ID_461;CC(O)c1sc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)nc1CO;20.4
ID_462;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cccnc4OC)c(=O)c3cc2F)c1=O;20.7
ID_463;O=C1c2ccccc2C(=O)c2c1nnn2-c1ccc(-c2cccc(O)c2)cc1;21.0
ID_464;Cc1cnc(C(=O)N[C@@H]2CCCc3c2cnn3-c2ccccc2F)cc1C;21.0
ID_465;Cc1ccccc1NC(=O)c1cc(F)c(-n2nc(C)n(C(C)C)c2=O)cc1O[C@@H](C)c1ccccc1;21.0
ID_466;CC(Oc1cc(-n2nc(C(C)(C)O)n(C)c2=O)ccc1C(=O)Nc1c(F)cccc1Cl)C(F)F;21.0
ID_467;COc1cccc(-c2ncc(Nc3ccc(C)cc3C(=O)O)cc2C)c1;21.0
ID_468;O=C(O)c1cc(C2CC2)ccc1Nc1cnc(-c2cc(C(F)(F)F)ccc2F)nc1;21.0
ID_469;COc1cccc2cc(CCc3c(C(=O)O)[nH]c(=O)[nH]c3=O)ccc12;21.0
ID_470;Cc1cc(C(=O)O)c2nc(-c3c(F)c(F)c(-c4cc(F)cc(F)c4)c(F)c3F)[nH]c2c1;21.0
ID_471;Cc1c(-c2ccc(-c3ccccc3)cc2)nc2cnc(C(F)(F)F)cc2c1C(=O)O;21.0
ID_472;C=CCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccc(N)cc1C;21.2
ID_473;CN(/N=C/c1cc(O)c(F)cc1C(=O)O)c1nc(-c2ccccc2Cl)cs1;21.4
ID_474;CCc1nn(-c2ccc(C(=O)Nc3c(F)cccc3F)c(O[C@@H](C)C(F)(F)F)c2)c(=O)n1C;22.0
ID_475;Cc1ncccc1-c1ccc(-c2cc(C(=O)O)c3ccccc3n2)cc1;22.0
ID_476;C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2c(F)cccc2Cl)cc1F;22.0
ID_477;Cc1nc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)cnc1C(C)(C)O;22.0
ID_478;C[C@H](Oc1cc(-c2cnc(C(F)(F)F)cn2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;22.2
ID_479;Cc1ccc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(C)n[nH]c3Cl)cc2F)nc1NS(C)(=O)=O;22.2
ID_480;CCOc1cccc(-c2cc(F)c(Nc3ncc(C4CC4)cc3C(=O)O)cc2F)c1;23.0
ID_481;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccnn1C)C1CCCCC1;23.0
ID_482;CCC[C@H](C)Oc1cc(-n2nc([C@H](C)O)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)ccnc1OC;23.0
ID_483;Cc1ccnc(C(=O)N[C@@H]2CCCc3c2cnn3-c2cc(C)ccc2F)c1;23.0
ID_484;Cc1cc(C)c(NC(=O)c2cc(F)c(-n3nc4n(c3=O)CCCOC4)cc2O[C@@H](C)C(F)(F)F)c(Cl)n1;23.0
ID_485;COc1cccc2ccc(CCc3c(C(=O)O)[nH]c(=O)[nH]c3=O)cc12;23.0
ID_486;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCOC3)c(F)cc1C(=O)Nc1ccccc1C(F)F)C(F)(F)F;23.0
ID_487;Cc1ccccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)c1ccccc1;23.0
ID_488;CCn1c(C(=O)OC)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O;23.5
ID_489;Cc1c(NC(=O)c2cc(F)c(-n3nc4n(c3=O)CCCC4)cc2O[C@@H](C)C2CCCCC2)cccc1C(F)(F)F;23.5
ID_490;C[C@H](Oc1cc(-c2cn(C)c(N)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;23.9
ID_491;COC(=O)c1cccc2cc(CCCCc3c(C(=O)O)[nH]c(=O)[nH]c3=O)ccc12;24.0
ID_492;CCn1c(CO)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cc(OC(=O)C(C)(C)C)cc3Cl)cc2F)c1=O;24.0
ID_493;Cc1n[nH]c(Cl)c1NC(=O)c1cc(F)c(-c2ccc3c(n2)N(C)C(=O)CO3)cc1OC(C)C(F)(F)F;24.0
ID_494;CCC(C)N(/N=C/c1ccccc1C(=O)O)c1nc(-c2ccccc2Cl)cs1;24.4
ID_495;CN(/N=C/c1ccccc1C(=O)O)c1nc(-c2ccccc2)cs1;24.4
ID_496;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccc(F)cc1C#N)C1CCCCC1;25.0
ID_497;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc(C(=O)O)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;25.0
ID_498;Nc1ccc(-c2ccc(-n3nnc4c3C(=O)c3ccccc3C4=O)cc2)cc1;25.0
ID_499;Cc1ccccc1NC(=O)c1cc(F)c(-n2nc(C(C)O)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;25.0
ID_500;Cc1ccc(F)cc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)CN(C)C;25.0
ID_501;C[C@@H](CN(C)C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1C(F)F;25.0
ID_502;CCc1nn(-c2cc(OC(C)C3CCC3)c(C(=O)NC(CC)CC)cc2F)c(=O)n1C;25.0
ID_503;CCn1c(CO)nn(-c2ccc(C(=O)Nc3c(F)cccc3F)c(O[C@@H](C)C(F)(F)F)c2)c1=O;25.0
ID_504;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)NC1CCN(S(C)(=O)=O)CC1)C1CCCCC1;25.0
ID_505;COc1nccc(C)c1NC(=O)c1cc(F)c(-n2nc(C(C)(C)O)n(C)c2=O)cc1O[C@@H](C)C(F)(F)F;25.0
ID_506;Cc1c(Oc2c(F)cccc2F)c(OC(C)C)nn1-c1ncc(C2CC2)cc1F;25.0
ID_507;Cc1ccnc(Cl)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCOC3)cc1O[C@@H](C)C(F)(F)F;25.0
ID_508;COc1cccc(C)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCOC3)cc1O[C@@H](C)C(F)(F)F;25.0
ID_509;Cc1n[nH]c(C(F)(F)F)c1NC(=O)c1cc(F)c(-c2ccc3c(n2)N(C)C(=O)CO3)cc1OC(C)C(F)(F)F;25.7
ID_510;Cc1ccc(-c2ccc(-c3nc4ccc(F)cc4c(C(=O)O)c3C)cc2)c(Cl)n1;26.0
ID_511;O=C(O)c1cccc2nc(-c3c(F)c(F)c(-c4cccc(OCc5ccccc5)c4)c(F)c3F)[nH]c12;26.0
ID_512;CCC[C@H](C)Oc1cc(-n2nc3ccccn3c2=O)c(F)cc1C(=O)Nc1c(F)cccc1F;26.0
ID_513;CCC(=O)C(C#N)C(=O)Nc1ccc(-c2cccc(OC)c2)c(C(=O)OC)c1;26.0
ID_514;O=C(N[C@@H]1CCCc2c1cnn2-c1ccccc1F)c1cc(Br)ccn1;26.0
ID_515;CCOC(=O)c1sc(Nc2ccc3c(c2)CCC3)nc1-c1ccccc1;26.0
ID_516;O=C(N[C@@H]1CCCc2c1cnn2-c1ccccc1F)c1cc(Cl)ccn1;26.0
ID_517;CCc1nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3ccc(F)cc3C)cc2F)c(=O)n1C;26.5
ID_518;C[C@H](Oc1cc(-c2cn(C3CC3)c(C(C)(C)O)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;26.9
ID_519;CCn1nc(-c2cc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)nc1C(C)(C)O;27.0
ID_520;CCC(=O)C(C#N)C(=O)Nc1ccc(-c2cccc(OC(F)(F)F)c2)c(C(=O)OC)c1;27.0
ID_521;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)NC1CCCCCC1;28.0
ID_522;CCc1nn(-c2cc(O[C@@H](C)C3CCCCC3)c(C(=O)Nc3nn(C)cc3C)cc2F)c(=O)n1C;28.0
ID_523;O=C(O)c1cc(C2CC2)ccc1Nc1cnc(C2CC2)c(-c2ccccc2)c1;28.0
ID_524;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F;28.0
ID_525;Cc1ccc(Nc2ccc(-c3cc(OC(C)C)ccc3F)nc2)c(C(=O)O)c1;28.0
ID_526;CC(=O)Nc1cccc(COc2ccc(-c3ccc(-c4nc5c(C(=O)O)cc(C)cc5[nH]4)cc3)cc2)c1;28.0
ID_527;Cc1c(-c2ccc(-c3ccccc3)cc2)nc2cnccc2c1C(=O)O;28.0
ID_528;O=C(O)c1cccc2nc(-c3c(F)c(F)c(-c4cccc(F)c4)c(F)c3F)[nH]c12;28.2
ID_529;CN(/N=C/c1ccccc1C(=O)O)c1nc(-c2cc(Cl)ccc2Cl)cs1;28.2
ID_530;CCCc1ccccc1NC(=O)c1cc(F)c(-n2nc(CC)n(C)c2=O)cc1O[C@@H](C)CCC;29.0
ID_531;Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3ccccn3c2=O)cc1O[C@@H](C)c1ccccc1;29.0
ID_532;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1F)C1CCCCC1;29.0
ID_533;CCOC(=O)c1sc(Nc2ccc3ccccc3c2)nc1-c1ccccc1;29.0
ID_534;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccnc(OC)c4C)c(=O)c3cc2F)c1=O;29.2
ID_535;CCOC(=O)c1cccc(-n2ncc3c2CCCC3NC(=O)c2noc3c2CCCC3)c1;30.0
ID_536;CCC[C@H](C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1C(F)(F)F;30.0
ID_537;Cc1cc(F)ccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)CN(C)C;30.0
ID_538;COc1cc(NC(=O)/C(C#N)=C(/C)O)c(F)cc1C(=O)Nc1c(F)cccc1Br;30.0
ID_539;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccc(F)cc1Cl)C1CCCCC1;30.0
ID_540;CCOc1cccc(-c2ncc(Nc3ccc(C)cc3C(=O)O)cc2C)c1;30.0
ID_541;COc1nccc(C)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCOC3)cc1O[C@@H](C)C(F)(F)F;30.0
ID_542;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1F;30.0
ID_543;Cc1cc(C(=O)OC(C)(C)C)ccc1NC(=O)c1ccc(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C1CCCCC1;30.1
ID_544;CCc1nc(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)n(C)c1CO;30.1
ID_545;CCC(COC)n1cc(C(C)C)c2cc(-n3nc(CO)n(CC)c3=O)c(F)cc2c1=O;30.7
ID_546;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCOC3)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F;30.8
ID_547;CCc1nn(-c2cc(O[C@@H](C)CN(C)C)c(C(=O)Nc3c(C)cccc3F)cc2F)c(=O)n1C;31.0
ID_548;CCC(=O)C(C#N)C(=O)Nc1ccc(-c2ccc(F)cc2F)c(C(=O)OC)c1;31.0
ID_549;CCC(=O)C(C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)c(C(=O)OC)c1;31.0
ID_550;CCC(=O)C(C#N)C(=O)Nc1ccc(-c2cccc(OC3CCC3)c2)c(C(=O)OC)c1;31.0
ID_551;O=C(N[C@@H]1CCCc2c1cnn2-c1ccccc1F)c1cc(F)ccn1;31.0
ID_552;COc1cc(NC(=O)/C(C#N)=C(/C)O)c(F)cc1C(=O)Nc1c(F)cccc1Cl;31.0
ID_553;CCc1nn(-c2ccccc2C)c(=O)c2ccc(-n3nc(CO)n(CC)c3=O)cc12;31.2
ID_554;CC(Oc1cc(-c2nc([C@@H](C)O)n(C3CC3)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;31.5
ID_555;CN(/N=C/c1cc(N)c(F)cc1C(=O)O)c1nc(-c2ccccc2Cl)cs1;31.6
ID_556;C[C@H](Oc1cc(-c2nc3n(n2)CCNC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;31.8
ID_557;COCOc1ccc2ccc(CCc3c(C(=O)O)[nH]c(=O)[nH]c3=O)cc2c1;32.0
ID_558;C[C@H](Oc1cc(-n2nc3n(c2=O)CCOC3)c(F)cc1C(=O)Nc1c(F)ccc(F)c1Cl)C(F)(F)F;32.0
ID_559;Cc1ccc(Nc2ccc(-c3ccccc3Cl)nc2)c(C(=O)O)c1;32.0
ID_560;O=C(O)c1ccccc1/C=N/Nc1nc(-c2ccccc2Cl)cs1;32.0
ID_561;O=C(NC1CCCc2c1cnn2-c1ccccc1F)c1onc2c1CCCC2;32.0
ID_562;C/C(=C\c1ccc2ccccc2c1Cl)C(=O)Nc1ccc(F)cc1C(=O)O;32.0
ID_563;Cc1cc(C(=O)O)c2nc(-c3c(F)c(F)c(-c4cccnc4)c(F)c3F)[nH]c2c1;32.0
ID_564;Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)NS(C)(=O)=O;32.0
ID_565;Cc1cc(F)cc(C)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCOC3)cc1O[C@@H](C)C(F)(F)F;32.0
ID_566;CCn1c(C)nc(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1C#N;32.1
ID_567;COc1cccc(-c2ccc(Nc3ncc(C4CC4)cc3C(=O)O)c(F)c2)c1;33.0
ID_568;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1cccc(C(F)(F)F)c1;33.0
ID_569;O=C(O)C1=C(C(=O)Nc2c(F)cc(-c3cccc(OC(F)(F)F)c3)cc2F)CCC1;33.0
ID_570;O=C(O)c1cc(-c2ccc(-c3cccnc3Cl)cc2)nc2ccccc12;33.0
ID_571;Cc1ccc(Nc2cnc(-c3cccc(C(=O)N(C)C)c3)c(C)c2)c(C(=O)O)c1;33.0
ID_572;C[C@H](Oc1cc(-c2cnc(O)cn2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;33.6
ID_573;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4csnc4C)c(=O)c3cc2F)c1=O;33.7
ID_574;Cc1ccnc(C(=O)N[C@@H]2CCCc3c2cnn3-c2ccccc2F)c1;34.0
ID_575;C[C@H](Oc1cc(-c2ncc(Cl)nc2N)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;34.0
ID_576;CCC(=O)C(C#N)C(=O)Nc1ccc(-c2cccc(OC(F)F)c2)c(C(=O)OC)c1;34.0
ID_577;CCC[C@H](C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ncccc1Cl;35.0
ID_578;Cc1ccn2nc(O)c(C(=O)Nc3c(F)c(F)c(-c4ccccc4)c(F)c3F)c2c1;35.0
ID_579;CCn1c(Cl)nn(-c2cc(O[C@@H](C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3F)cc2F)c1=O;35.0
ID_580;CCOC(=O)c1sc(Nc2ccc(C)c(Cl)c2)nc1-c1ccccc1;35.0
ID_581;Cc1ccc(C(F)(F)F)cc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1O[C@@H](C)C(F)(F)F;35.0
ID_582;C[C@H](Oc1cc(-c2cnc(CO)cn2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;35.3
ID_583;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(C(COC)COC)c(=O)c3cc2F)c1=O;35.3
ID_584;CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cc(O)ncc4C)c(=O)c3cc2F)c1=O;35.4
ID_585;Cc1sc(N(C)/N=C/c2ccccc2C(=O)O)nc1-c1ccccc1Cl;35.5
ID_586;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1C(F)(F)F)C1CCCCC1;36.0
ID_587;C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(C(=O)Nc2c(F)cccc2F)cc1F;36.0
ID_588;O=C(O)c1cc(-c2ccc(Oc3ccccc3)cc2)nc2ccc(F)cc12;36.0
ID_589;Cc1c(-c2ccc(-c3cccnc3Cl)cc2)nc2ccc(Cl)cc2c1C(=O)O;36.0
ID_590;Cc1ccc(Nc2cnc(-c3ccncc3F)c(C)c2)c(C(=O)O)c1;37.0
ID_591;C[C@H](Oc1cc(-c2nc(C(C)(C)O)n(C3CC3)n2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;37.3
ID_592;O=C(O)c1cc(C2CC2)ccc1Nc1cnc(-c2cc(F)ccc2F)nc1;38.0
ID_593;O=C(O)c1cccc2[nH]c(-c3c(F)c(F)c(-c4ccccc4)c(F)c3F)nc12;38.0
ID_594;C[C@H](Oc1cc(-c2cc(C(=O)O)c(Cl)cn2)c(F)cc1C(=O)Nc1c(F)cccc1Cl)C(F)(F)F;38.5
ID_595;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)NC1CCC(F)(F)CC1)C1CCCCC1;39.0
ID_596;C[C@H](Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1cccc(F)c1Cl)C(F)(F)F;39.0
