SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)/C(=C\CCc1cc(O)cc(c1)c1n[nH]nc1)/CCCN	No_2_195,28/000000409,"InChI=1S/C16H20N4O3/c17-6-2-5-12(16(22)23)4-1-3-11-7-13(9-14(21)8-11)15-10-18-20-19-15/h4,7-10,21H,1-3,5-6,17H2,(H,22,23)(H,18,19,20)/b12-4-",C16H20N4O3,316,2.37,4.4,3.0,23.2,-120,3.0105627315537147,1
OCN[C@@H](CCCN)/C=C/c1c(F)ccc(c1)F	No_3_99,16/000000094,"InChI=1S/C13H18F2N2O/c14-11-4-6-13(15)10(8-11)3-5-12(17-9-18)2-1-7-16/h3-6,8,12,17-18H,1-2,7,9,16H2/b5-3+/t12-/m0/s1",C13H18N2OF2,256,1.93,4.4,5.0,2.22,-150,3.3531877276805044,1
Oc1cc(c2n[nH]nc2)cc(c1)CN	No_2_24,28/000000347,"InChI=1S/C9H10N4O/c10-4-6-1-7(3-8(14)2-6)9-5-11-13-12-9/h1-3,5,14H,4,10H2,(H,11,12,13)",C9H10N4O,190,1.73,4.4,1.61,14.6,-120,2.6968398164613703,1
Oc1cc(c2n[nH]nc2)cc(c1)CCC/C=C/COCC	No_1_113,28/000000152,"InChI=1S/C16H21N3O2/c1-2-21-8-6-4-3-5-7-13-9-14(11-15(20)10-13)16-12-17-19-18-16/h4,6,9-12,20H,2-3,5,7-8H2,1H3,(H,17,18,19)/b6-4+",C16H21N3O2,287,4.01,4.4,1.97,19.6,-140,2.8724993581370875,1
Oc1ncc(c(n1)CNC/C=C/CC[C@@H](C)O)C(=O)O	No_2_229,29/000000084,"InChI=1S/C13H19N3O4/c1-9(17)5-3-2-4-6-14-8-11-10(12(18)19)7-15-13(20)16-11/h2,4,7,9,14,17H,3,5-6,8H2,1H3,(H,18,19)(H,15,16,20)/b4-2+/t9-/m1/s1",C13H19N3O4,281,0.13,4.4,6.72,5.24,-170,3.668385859317789,1
OC(=O)c1c(ccc(c1)c1nc([nH]n1)C(=O)O)/C=C/C	No_4_441,6/000000011,"InChI=1S/C13H11N3O4/c1-2-3-7-4-5-8(6-9(7)12(17)18)10-14-11(13(19)20)16-15-10/h2-6H,1H3,(H,17,18)(H,19,20)(H,14,15,16)/b3-2+",C13H11N3O4,273,2.27,4.4,0.37,3.72,-200,2.705100131055774,1
Oc1cc(c2n[nH]nc2)cc(c1)CCCOC(=O)C	No_1_430,28/000000215,"InChI=1S/C13H15N3O3/c1-9(17)19-4-2-3-10-5-11(7-12(18)6-10)13-8-14-16-15-13/h5-8,18H,2-4H2,1H3,(H,14,15,16)",C13H15N3O3,261,3.05,4.4,2.2,19.0,-140,2.577184840960415,1
OC(=O)c1cc(c2nc([nH]n2)C(=O)O)ccc1CCCCCO	No_4_237,6/000000008,"InChI=1S/C15H17N3O5/c19-7-3-1-2-4-9-5-6-10(8-11(9)14(20)21)12-16-13(15(22)23)18-17-12/h5-6,8,19H,1-4,7H2,(H,20,21)(H,22,23)(H,16,17,18)",C15H17N3O5,319,1.86,4.4,0.15,3.72,-180,2.5161431383584496,1
Oc1ccc(c(c1)/C=C/C[C@@H](CCO)O)I	No_6_381,28/000000283,"InChI=1S/C12H15IO3/c13-12-5-4-11(16)8-9(12)2-1-3-10(15)6-7-14/h1-2,4-5,8,10,14-16H,3,6-7H2/b2-1+/t10-/m0/s1",C12H15O3I,334,2.32,4.4,7.0,3.58,-150,3.329730916897061,1
Oc1cc2OCNc2cc1[C@@H](CNCCc1nonc1)CF	No_3_279,21/000000234,"InChI=1S/C14H17FN4O3/c15-5-9(6-16-2-1-10-7-18-22-19-10)11-3-12-14(4-13(11)20)21-8-17-12/h3-4,7,9,16-17,20H,1-2,5-6,8H2/t9-/m1/s1",C14H17N4O3F,308,2.14,4.4,3.49,6.31,-190,4.245865370413807,0
