SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OCc1nonc1c1nc(ncc1)/C(=C/N)/C	No_3_394;4/000000012;InChI=1S/C10H11N5O2/c1-6(4-11)10-12-3-2-7(13-10)9-8(5-16)14-17-15-9/h2-4,16H,5,11H2,1H3/b6-4+;C10H11N5O2;233;-0.13;4.08;4.18;18.40;-140
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_565;4/000000021;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.55;5.05;4.94;-150
OC(=O)C1=C(c2nnco2)CC(=C1)CC/C=C/C[NH3+]	No_5_247;4/000000003;InChI=1S/C13H15N3O3/c14-5-3-1-2-4-9-6-10(11(7-9)13(17)18)12-16-15-8-19-12/h1,3,7-8H,2,4-6,14H2,(H,17,18)/p+1/b3-1+;C13H16N3O3;262;0.67;4.20;4.27;23.20;-80
OC(=O)C1=C(c2nn[nH]n2)CC(=C1)CC/C=C/C[NH3+]	No_5_225;4/000000002;InChI=1S/C12H15N5O2/c13-5-3-1-2-4-8-6-9(10(7-8)12(18)19)11-14-16-17-15-11/h1,3,7H,2,4-6,13H2,(H,18,19)(H,14,15,16,17)/p+1/b3-1+;C12H16N5O2;262;0.19;4.02;4.12;24.80;-80
O=C(NCBr)c1nccc(n1)c1nonc1CN	No_1_124;4/000000029;InChI=1S/C9H9BrN6O2/c10-4-13-9(17)8-12-2-1-5(14-8)7-6(3-11)15-18-16-7/h1-2H,3-4,11H2,(H,13,17);C9H9N6O2Br;313;0.04;4.43;1.39;20.90;-160
OCc1nonc1c1nc(ncc1)C(=O)NCC=C	No_1_381;4/000000030;InChI=1S/C11H11N5O3/c1-2-4-13-11(18)10-12-5-3-7(14-10)9-8(6-17)15-19-16-9/h2-3,5,17H,1,4,6H2,(H,13,18);C11H11N5O3;261;-0.02;4.38;1.63;21.20;-180
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_544;4/000000018;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.70;5.17;4.94;-150
OCC1=CCC(=C1CN)CC/C=C/[C@@H](CCl)[NH3+]	No_7_173;4/000000009;InChI=1S/C13H21ClN2O/c14-7-12(16)4-2-1-3-10-5-6-11(9-17)13(10)8-15/h2,4,6,12,17H,1,3,5,7-9,15-16H2/p+1/b4-2+/t12-/m0/s1;C13H22N2OCl;257;-0.30;4.31;7.30;2.35;-150
OCc1nonc1c1nc(ncc1)/C(=C/N)/C	No_3_395;4/000000013;InChI=1S/C10H11N5O2/c1-6(4-11)10-12-3-2-7(13-10)9-8(5-16)14-17-15-9/h2-4,16H,5,11H2,1H3/b6-4+;C10H11N5O2;233;-0.13;4.04;3.51;18.40;-140
OC(=O)c1[nH]c(c(c1)CO)C(=O)C1=CC=C[C@H](O1)CC#CCO	No_5_543;4/000000017;InChI=1S/C16H15NO6/c18-7-2-1-4-11-5-3-6-13(23-11)15(20)14-10(9-19)8-12(17-14)16(21)22/h3,5-6,8,11,17-19H,4,7,9H2,(H,21,22)/t11-/m1/s1;C16H15NO6;317;-0.14;4.15;5.03;4.94;-150
