SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1cc(C(=O)OC(F)F)cc(c1O)CNN	No_1_177,3/000000096,"InChI=1S/C9H10F2N2O4/c10-9(11)17-8(16)4-1-5(3-13-12)7(15)6(14)2-4/h1-2,9,13-15H,3,12H2",C9H10N2O4F2,248,0.62,4.5,0.98,18.2,-170,2.9017435049174782,1
Oc1c(C#CC(=O)NCCCl)c(ncc1O)C(=O)O	No_2_246,1/000000456,"InChI=1S/C11H9ClN2O5/c12-3-4-13-8(16)2-1-6-9(11(18)19)14-5-7(15)10(6)17/h5,15H,3-4H2,(H,13,16)(H,14,17)(H,18,19)",C11H8N2O5Cl,283,0.05,4.5,4.37,20.5,0,3.326147586058453,1
Oc1cc(C(=O)C=C)cc(c1O)c1oncc1	No_1_159,3/000000091,"InChI=1S/C12H9NO4/c1-2-9(14)7-5-8(11-3-4-13-17-11)12(16)10(15)6-7/h2-6,15-16H,1H2",C12H9NO4,231,2.01,4.5,1.05,3.58,-140,2.9526724738209165,1
Oc1cnc(c(c1)c1ccc(cc1)CCF)C(=O)CO	No_3_424,1/000000057,"InChI=1S/C15H14FNO3/c16-6-5-10-1-3-11(4-2-10)13-7-12(19)8-17-15(13)14(20)9-18/h1-4,7-8,18-19H,5-6,9H2",C15H14NO3F,275,1.88,4.5,4.06,15.5,-160,2.5938089272595697,1
Oc1cncc(c1O)C#CC(=O)Nc1cncc(c1)C=C	No_1_549,1/000000214,"InChI=1S/C15H11N3O3/c1-2-10-5-12(8-16-6-10)18-14(20)4-3-11-7-17-9-13(19)15(11)21/h2,5-9,19H,1H2,(H,17,21)(H,18,20)",C15H11N3O3,281,0.85,4.48,6.13,19.2,0,3.2719007260384263,1
Oc1cc(C#Cc2cncc(c2COC)O)c(cc1Cl)Cl	No_2_343,1/000000027,"InChI=1S/C15H11Cl2NO3/c1-21-8-11-10(6-18-7-15(11)20)3-2-9-4-14(19)13(17)5-12(9)16/h4-7,19-20H,8H2,1H3",C15H11NO3Cl2,323,3.51,4.48,6.96,18.0,-20,3.0033348671165196,1
Oc1c(O)c(cc(c1)C(=O)CN(CN)C)C1=CCC=C1	No_1_482,3/000000152,"InChI=1S/C15H18N2O3/c1-17(9-16)8-14(19)11-6-12(10-4-2-3-5-10)15(20)13(18)7-11/h2,4-7,18,20H,3,8-9,16H2,1H3",C15H18N2O3,274,0.79,4.48,0.95,3.58,-180,3.2563910401466813,1
Oc1c(C#CC(=O)NC2CCCC2)cncc1O	No_1_49,1/000000096,"InChI=1S/C13H14N2O3/c16-11-8-14-7-9(13(11)18)5-6-12(17)15-10-3-1-2-4-10/h7-8,10,16H,1-4H2,(H,14,18)(H,15,17)",C13H14N2O3,246,1.28,4.48,4.46,17.0,-150,3.0031765119647655,1
Oc1c(O)cc(c(c1)CC=C)C(=O)CCNN	No_1_93,3/000000082,"InChI=1S/C12H16N2O3/c1-2-3-8-6-11(16)12(17)7-9(8)10(15)4-5-14-13/h2,6-7,14,16-17H,1,3-5,13H2",C12H16N2O3,236,0.54,4.48,3.02,3.58,0,2.9129281203020945,1
Oc1cncc(c1O)c1ccc(cc1F)C=C	No_4_178,1/000000247,"InChI=1S/C13H10FNO2/c1-2-8-3-4-9(11(14)5-8)10-6-15-7-12(16)13(10)17/h2-7,16H,1H2,(H,15,17)",C13H10NO2F,231,2.57,4.48,3.5,13.1,-160,2.6898960417423563,1
Oc1c(O)c(OC(=O)C)cc(c1)C(=O)CCNN	No_1_264,3/000000109,"InChI=1S/C11H14N2O5/c1-6(14)18-10-5-7(4-9(16)11(10)17)8(15)2-3-13-12/h4-5,13,16-17H,2-3,12H2,1H3",C11H14N2O5,254,-0.33,4.48,1.17,3.58,-20,2.649196195222684,1
OCC(=O)c1cc(O)c(c(c1)c1nncs1)O	No_1_338,3/000000123,"InChI=1S/C10H8N2O4S/c13-3-8(15)5-1-6(9(16)7(14)2-5)10-12-11-4-17-10/h1-2,4,13-14,16H,3H2",C10H8N2O4S,252,1.21,4.47,2.34,19.5,-120,2.9701097896965294,1
Oc1cnc(c(c1O)C#CC(=O)NCCCl)CBr	No_1_132,1/000000119,"InChI=1S/C11H10BrClN2O3/c12-5-8-7(11(18)9(16)6-15-8)1-2-10(17)14-4-3-13/h6,16H,3-5H2,(H,14,17)(H,15,18)",C11H10N2O3ClBr,333,1.68,4.46,6.86,18.8,0,3.5647733537784134,1
Oc1cc(c2cc(N)cc(c2)Cl)cc(c1)C(=O)CC(=O)N	No_3_131,3/000000062,"InChI=1S/C15H13ClN2O3/c16-11-2-9(3-12(17)6-11)8-1-10(5-13(19)4-8)14(20)7-15(18)21/h1-6,19H,7,17H2,(H2,18,21)",C15H13N2O3Cl,304,1.67,4.46,3.71,4.94,-180,2.4870436204321695,1
Oc1cncc(c1O)C#CC(=O)Nc1cccnc1CC	No_1_681,1/000000221,"InChI=1S/C15H13N3O3/c1-2-11-12(4-3-7-17-11)18-14(20)6-5-10-8-16-9-13(19)15(10)21/h3-4,7-9,19H,2H2,1H3,(H,16,21)(H,18,20)",C15H13N3O3,283,0.91,4.45,7.1,18.2,-20,3.118846749506485,1
Sc1c(ccc(c1)c1cccc(c1)C(=O)CC=C)/C=C/CN	No_3_233,3/000000068,"InChI=1S/C19H19NOS/c1-2-5-18(21)17-7-3-6-15(12-17)16-10-9-14(8-4-11-20)19(22)13-16/h2-4,6-10,12-13,22H,1,5,11,20H2/b8-4+",C19H19NOS,309,4.34,4.45,2.68,5.09,-160,2.817268270338122,1
Oc1cc(cc(c1CN)Br)CN	No_3_27,3/000000013,"InChI=1S/C8H11BrN2O/c9-7-1-5(3-10)2-8(12)6(7)4-11/h1-2,12H,3-4,10-11H2",C8H11N2OBr,231,0.66,4.44,3.38,9.3,0,2.621180984484761,1
Oc1ccc(cc1c1cc(N)c(c(c1)Cl)CC=C)C(=O)NC(=O)C	No_3_367,3/000000072,"InChI=1S/C18H17ClN2O3/c1-3-4-13-15(19)8-12(9-16(13)20)14-7-11(5-6-17(14)23)18(24)21-10(2)22/h3,5-9,23H,1,4,20H2,2H3,(H,21,22,24)",C18H17N2O3Cl,344,3.3,4.44,4.1,19.9,-200,2.596430910498894,1
Oc1c(O)cc(cc1C1=CCC=C1)C(=O)CC(=O)C	No_1_459,3/000000146,"InChI=1S/C15H14O4/c1-9(16)6-13(17)11-7-12(10-4-2-3-5-10)15(19)14(18)8-11/h2,4-5,7-8,18-19H,3,6H2,1H3",C15H14O4,258,1.37,4.44,1.41,3.58,-160,2.9768788251813216,1
Oc1c(ccc(c1)CN)NC(=O)c1c(S)ccc2c1NCC(=O)N2	No_2_493,18/000000013,"InChI=1S/C16H16N4O3S/c17-6-8-1-2-9(11(21)5-8)20-16(23)14-12(24)4-3-10-15(14)18-7-13(22)19-10/h1-5,18,21,24H,6-7,17H2,(H,19,22)(H,20,23)",C16H16N4O3S,344,0.45,4.44,9.0,3.58,-80,2.9270463516364025,1
N1c2cccc(c2NCC1=O)C(=O)Nc1nc(c(cc1Cl)Cl)CC	No_3_469,18/000000030,"InChI=1S/C16H14Cl2N4O2/c1-2-11-9(17)6-10(18)15(21-11)22-16(24)8-4-3-5-12-14(8)19-7-13(23)20-12/h3-6,19H,2,7H2,1H3,(H,20,23)(H,21,22,24)",C16H14N4O2Cl2,364,2.64,4.43,7.58,3.7,-101,2.79306724715879,1
Oc1cnc(c(c1O)C#CC(=O)NCCCF)CBr	No_2_215,1/000000429,"InChI=1S/C12H12BrFN2O3/c13-6-9-8(12(19)10(17)7-16-9)2-3-11(18)15-5-1-4-14/h7,17H,1,4-6H2,(H,15,18)(H,16,19)",C12H12N2O3FBr,331,1.9,4.43,6.76,20.4,0,3.552886813347002,1
OC(=O)[C@@H](n1ncc(c1)N(=O)=O)C#Cc1cccc(c1)NC(=O)C	No_3_421,27/000000013,"InChI=1S/C15H12N4O5/c1-10(20)17-12-4-2-3-11(7-12)5-6-14(15(21)22)18-9-13(8-16-18)19(23)24/h2-4,7-9,14H,1H3,(H,17,20)(H,21,22)/t14-/m0/s1",C15H12N4O5,328,1.69,4.43,2.47,3.84,-170,3.296994616168119,1
Oc1cncc(c1O)C#CC(=O)Nc1cccnc1C	No_2_18,1/000000352,"InChI=1S/C14H11N3O3/c1-9-11(3-2-6-16-9)17-13(19)5-4-10-7-15-8-12(18)14(10)20/h2-3,6-8,18H,1H3,(H,15,20)(H,17,19)",C14H11N3O3,269,0.65,4.42,5.54,17.6,-20,3.042753158028801,1
OC(=O)Cc1ncc(c(c1C#CC(=O)N[C@H](CBr)C)O)O	No_2_468,1/000000538,"InChI=1S/C13H13BrN2O5/c1-7(5-14)16-11(18)3-2-8-9(4-12(19)20)15-6-10(17)13(8)21/h6-7,17H,4-5H2,1H3,(H,15,21)(H,16,18)(H,19,20)/t7-/m0/s1",C13H13N2O5Br,357,1.1,4.42,7.9,21.7,-200,3.9805716913515283,1
Oc1c(C#CC(=O)N[C@H](COC(=O)C)C=C)cncc1O	No_2_311,1/000000484,"InChI=1S/C14H14N2O5/c1-3-11(8-21-9(2)17)16-13(19)5-4-10-6-15-7-12(18)14(10)20/h3,6-7,11,18H,1,8H2,2H3,(H,15,20)(H,16,19)/t11-/m0/s1",C14H14N2O5,290,0.77,4.42,3.04,21.6,-200,3.9710964889223774,1
OC(=O)[C@@H](n1ncc(c1)N(=O)=O)C#Cc1ccc(cc1)/C=C\N	No_3_180,27/000000004,"InChI=1S/C15H12N4O4/c16-8-7-12-3-1-11(2-4-12)5-6-14(15(20)21)18-10-13(9-17-18)19(22)23/h1-4,7-10,14H,16H2,(H,20,21)/b8-7-/t14-/m0/s1",C15H12N4O4,312,2.2,4.42,2.73,3.84,-150,3.6622654400470385,1
Sc1ccc2c(c1C(=O)Nc1c(O)ccc(c1)CCl)NCC(=O)N2	No_3_3,18/000000016,"InChI=1S/C16H14ClN3O3S/c17-6-8-1-3-11(21)10(5-8)20-16(23)14-12(24)4-2-9-15(14)18-7-13(22)19-9/h1-5,18,21,24H,6-7H2,(H,19,22)(H,20,23)",C16H14N3O3SCl,363,1.79,4.42,8.45,3.58,-80,2.9733710359073555,1
Oc1c(C#CC(=O)NCC)c(ncc1O)C(=O)O	No_2_60,1/000000377,"InChI=1S/C11H10N2O5/c1-2-12-8(15)4-3-6-9(11(17)18)13-5-7(14)10(6)16/h5,14H,2H2,1H3,(H,12,15)(H,13,16)(H,17,18)",C11H9N2O5,249,-0.29,4.4,4.15,18.8,-20,3.2230154259919157,1
Oc1cc(OC/C=C/c2cccc3c2[nH]nn3)c(cc1N(=O)=O)F	No_3_690,23/000000001,"InChI=1S/C15H11FN4O4/c16-10-7-12(20(22)23)13(21)8-14(10)24-6-2-4-9-3-1-5-11-15(9)18-19-17-11/h1-5,7-8,21H,6H2,(H,17,18,19)/b4-2+",C15H11N4O4F,330,3.01,4.4,7.14,3.7,-40,2.9935624419990674,1
C#CCc1c(ccc(c1)c1cncc(c1)O)/C=C\CC(=O)NN	No_3_101,1/000000042,"InChI=1S/C18H17N3O2/c1-2-4-14-9-15(16-10-17(22)12-20-11-16)8-7-13(14)5-3-6-18(23)21-19/h1,3,5,7-12,22H,4,6,19H2,(H,21,23)/b5-3-",C18H17N3O2,307,1.44,4.4,4.13,20.0,-160,3.0660666368791585,1
Oc1cnc(c(c1O)C#CC(=O)N[C@H](CO)C)CBr	No_2_541,1/000000549,"InChI=1S/C12H13BrN2O4/c1-7(6-16)15-11(18)3-2-8-9(4-13)14-5-10(17)12(8)19/h5,7,16-17H,4,6H2,1H3,(H,14,19)(H,15,18)/t7-/m0/s1",C12H13N2O4Br,329,0.66,4.39,7.41,18.9,-170,3.9457692090140117,1
