SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)c1ncc(c(c1C#CC(=O)Nc1cncc(c1)Cl)O)O,1/000000113,"InChI=1S/C14H8ClN3O5/c15-7-3-8(5-16-4-7)18-11(20)2-1-9-12(14(22)23)17-6-10(19)13(9)21/h3-6,19H,(H,17,21)(H,18,20)(H,22,23)",C14H8N3O5Cl,333,0.66,5.09,7.49,22.7,0,3.1405265861606466,1
Oc1cnc(c(c1O)C#CC(=O)Nc1ccccc1F)CC,1/000000547,"InChI=1S/C16H13FN2O3/c1-2-12-10(16(22)14(20)9-18-12)7-8-15(21)19-13-6-4-3-5-11(13)17/h3-6,9,20H,2H2,1H3,(H,18,22)(H,19,21)",C16H13N2O3F,300,2.32,5.07,7.76,20.3,-20,2.8184234832901627,1
OCC(=O)c1cc(O)c(c(c1)n1cnnc1S)O,3/000000108,"InChI=1S/C10H9N3O4S/c14-3-8(16)5-1-6(9(17)7(15)2-5)13-4-11-12-10(13)18/h1-2,4,14-15,17H,3H2,(H,12,18)",C10H9N3O4S,267,1.3,5.06,3.68,19.1,-120,3.1772986285036895,1
Oc1c(O)cnc(c1c1ccc(cc1)C(=C)CC(=O)N)CBr,1/000000276,"InChI=1S/C16H15BrN2O3/c1-9(6-14(18)21)10-2-4-11(5-3-10)15-12(7-17)19-8-13(20)16(15)22/h2-5,8,20H,1,6-7H2,(H2,18,21)(H,19,22)",C16H15N2O3Br,363,1.92,5.04,8.61,17.5,-160,3.028809511032911,1
Oc1c(c2ccc(cc2)C=C)c(ncc1O)C(=O)O,1/000000273,"InChI=1S/C14H11NO4/c1-2-8-3-5-9(6-4-8)11-12(14(18)19)15-7-10(16)13(11)17/h2-7,16H,1H2,(H,15,17)(H,18,19)",C14H10NO4,256,1.68,4.97,5.56,14.4,-160,2.605066990861795,1
C#CCc1c(ccc(c1N)c1cncc(c1)O)/C=C\Cc1ncncn1,1/000000280,"InChI=1S/C20H17N5O/c1-2-4-17-14(5-3-6-19-24-12-23-13-25-19)7-8-18(20(17)21)15-9-16(26)11-22-10-15/h1,3,5,7-13,26H,4,6,21H2/b5-3-",C20H17N5O,343,1.12,4.97,5.03,20.4,-160,3.374906412540583,1
C#CCc1c(ccc(c1N)c1cncc(c1)O)/C=C\CN1C=NCC1=O,1/000000246,"InChI=1S/C20H18N4O2/c1-2-4-17-14(5-3-8-24-13-23-12-19(24)26)6-7-18(20(17)21)15-9-16(25)11-22-10-15/h1,3,5-7,9-11,13,25H,4,8,12,21H2/b5-3-",C20H18N4O2,346,0.9,4.96,6.03,23.7,-160,3.637054645388817,1
Oc1c(cncc1O)c1ccc(cc1)/C=C/CN,1/000000320,"InChI=1S/C14H14N2O2/c15-7-1-2-10-3-5-11(6-4-10)12-8-16-9-13(17)14(12)18/h1-6,8-9,17H,7,15H2,(H,16,18)/b2-1+",C14H14N2O2,242,1.62,4.96,5.12,12.4,-160,2.626558412417255,1
Oc1cnc(c(c1O)C#CC(=O)Nc1cccnc1C)CN,1/000000479,"InChI=1S/C15H14N4O3/c1-9-11(3-2-6-17-9)19-14(21)5-4-10-12(7-16)18-8-13(20)15(10)22/h2-3,6,8,20H,7,16H2,1H3,(H,18,22)(H,19,21)",C15H14N4O3,298,-0.14,4.94,7.83,19.6,-20,3.1977672411716256,1
Oc1c(S)c(Br)cc(c1)C(=O)C[C@H](CCl)N(=O)=O,3/000000049,"InChI=1S/C10H9BrClNO4S/c11-7-1-5(2-9(15)10(7)18)8(14)3-6(4-12)13(16)17/h1-2,6,15,18H,3-4H2/t6-/m1/s1",C10H9NO4SClBr,354,3.3,4.94,2.28,2.22,-170,3.9236743070585733,1
NC(=O)C/C=C/c1ccc(cc1)c1cc(O)cnc1C=C,1/000000239,"InChI=1S/C17H16N2O2/c1-2-16-15(10-14(20)11-19-16)13-8-6-12(7-9-13)4-3-5-17(18)21/h2-4,6-11,20H,1,5H2,(H2,18,21)/b4-3+",C17H15N2O2,279,2.21,4.94,8.13,16.2,-160,2.854005028515612,1
Oc1cncc(c1O)c1ccc(cc1)C(=C)c1csc(=O)[nH]1,1/000000077,"InChI=1S/C16H12N2O3S/c1-9(13-8-22-16(21)18-13)10-2-4-11(5-3-10)12-6-17-7-14(19)15(12)20/h2-8,19H,1H2,(H,17,20)(H,18,21)",C16H12N2O3S,312,2.46,4.93,4.51,19.7,-160,3.1272255904373774,1
C#CCc1cc(ccc1/C=C\CN(=O)=O)c1cncc(c1CNN)O,1/000000269,"InChI=1S/C18H18N4O3/c1-2-4-14-9-15(7-6-13(14)5-3-8-22(24)25)16-10-20-12-18(23)17(16)11-21-19/h1,3,5-7,9-10,12,21,23H,4,8,11,19H2/b5-3-",C18H18N4O3,338,1.64,4.93,8.24,23.0,-160,3.591109697715104,1
OC(=O)C[C@H]([NH2+]Cc1cc(F)cc(c1F)N(=O)=O)c1cnc(nc1)O,25/000000012,"InChI=1S/C14H12F2N4O5/c15-9-1-7(13(16)11(2-9)20(24)25)4-17-10(3-12(21)22)8-5-18-14(23)19-6-8/h1-2,5-6,10,17H,3-4H2,(H,21,22)(H,18,19,23)/p+1/t10-/m0/s1",C14H13N4O5F2,355,1.13,4.91,6.42,3.7,-150,4.2901608681819745,0
Oc1cnc(c(c1O)C#CC(=O)N[C@H](CC[NH3+])C)CS,1/000000217,"InChI=1S/C13H17N3O3S/c1-8(4-5-14)16-12(18)3-2-9-10(7-20)15-6-11(17)13(9)19/h6,8,17,20H,4-5,7,14H2,1H3,(H,15,19)(H,16,18)/p+1/t8-/m0/s1",C13H18N3O3S,296,0.52,4.9,9.14,20.5,-170,4.616503481695412,0
Oc1c(cncc1O)c1ccc(cc1)C(=C)c1nccnc1,1/000000243,"InChI=1S/C17H13N3O2/c1-11(15-9-18-6-7-20-15)12-2-4-13(5-3-12)14-8-19-10-16(21)17(14)22/h2-10,21H,1H2,(H,19,22)",C17H13N3O2,291,1.86,4.9,4.79,14.4,-160,2.713938741802142,1
Oc1c(C#CC(=O)N[C@H](CBr)C(=C)CN)cncc1O,1/000000490,"InChI=1S/C13H14BrN3O3/c1-8(5-15)10(4-14)17-12(19)3-2-9-6-16-7-11(18)13(9)20/h6-7,10,18H,1,4-5,15H2,(H,16,20)(H,17,19)/t10-/m1/s1",C13H14N3O3Br,340,0.59,4.88,6.37,20.7,-150,4.250998353490283,0
Oc1c(O)c(c2nncs2)cc(c1)C(=O)CCNN,3/000000106,"InChI=1S/C11H12N4O3S/c12-13-2-1-8(16)6-3-7(10(18)9(17)4-6)11-15-14-5-19-11/h3-5,13,17-18H,1-2,12H2",C11H12N4O3S,280,1.08,4.87,1.33,21.7,-120,3.134951410868494,1
Oc1c(O)cc(cc1CSCC)C(=O)CCNN,3/000000159,"InChI=1S/C12H18N2O3S/c1-2-18-7-9-5-8(6-11(16)12(9)17)10(15)3-4-14-13/h5-6,14,16-17H,2-4,7,13H2,1H3",C12H18N2O3S,270,0.97,4.87,1.8,15.9,-40,2.8770688011881465,1
Oc1cnc(c(c1O)C#CC(=O)N[C@H](C)c1cc[nH]c1)CBr,1/000000407,"InChI=1S/C15H14BrN3O3/c1-9(10-4-5-17-7-10)19-14(21)3-2-11-12(6-16)18-8-13(20)15(11)22/h4-5,7-9,17,20H,6H2,1H3,(H,18,22)(H,19,21)/t9-/m1/s1",C15H14N3O3Br,364,1.86,4.83,7.06,23.3,-170,4.067183805155295,0
Oc1c(C#CC(=O)N[C@H](C)c2nnc([nH]2)S)cncc1O,1/000000225,"InChI=1S/C12H11N5O3S/c1-6(11-15-12(21)17-16-11)14-9(19)3-2-7-4-13-5-8(18)10(7)20/h4-6,18H,1H3,(H,13,20)(H,14,19)(H2,15,16,17,21)/t6-/m1/s1",C12H11N5O3S,305,1.68,4.83,3.44,24.5,-170,4.295812208592907,0
OC(=O)c1ncc(c(c1C#CC(=O)N[C@@H]1SCNCC1)O)O,1/000000126,"InChI=1S/C13H13N3O5S/c17-8-5-15-11(13(20)21)7(12(8)19)1-2-9(18)16-10-3-4-14-6-22-10/h5,10,14,17H,3-4,6H2,(H,15,19)(H,16,18)(H,20,21)/t10-/m1/s1",C13H13N3O5S,323,-0.22,4.82,7.29,24.3,-150,4.302970185987578,0
C#CCc1c(ccc(c1N)c1cncc(c1)O)/C=C\C,1/000000066,"InChI=1S/C17H16N2O/c1-3-5-12-7-8-16(17(18)15(12)6-4-2)13-9-14(20)11-19-10-13/h2-3,5,7-11,20H,6,18H2,1H3/b5-3-",C17H16N2O,264,2.63,4.82,5.66,15.8,-180,3.0940432679189103,1
C#C[C@@H](C1=CCC=CO1)NC(=O)C#Cc1cncc(c1O)O,1/000000134,"InChI=1S/C16H12N2O4/c1-2-12(14-5-3-4-8-22-14)18-15(20)7-6-11-9-17-10-13(19)16(11)21/h1,4-5,8-10,12,19H,3H2,(H,17,21)(H,18,20)/t12-/m0/s1",C16H12N2O4,296,1.04,4.81,4.14,24.8,-150,4.561409306518026,0
