SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
c1cc(N(=O)=O)c2c(c1)[nH]/c(=[NH]/[C@H]1C=CC1)/[nH]2;29/000000100;InChI=1S/C11H11N4O2/c16-15(17)9-6-2-5-8-10(9)14-11(13-8)12-7-3-1-4-7/h1-3,5-7,12-14H,4H2/b12-11-/t7-/m0/s1;C11H10N4O2;230;1.68;4.17;2.70;2.48;-190
O=Nc1c2c([nH]/c(=[NH]/CC)/[nH]2)ccc1CC;29/000000113;InChI=1S/C11H15N4O/c1-3-7-5-6-8-10(9(7)15-16)14-11(13-8)12-4-2/h5-6,12-14H,3-4H2,1-2H3/b12-11-;C11H14N4O;218;1.58;4.16;4.67;14.90;-120
S[C@@H](CN(=O)=O)c1cc(O)c(c(c1)O)N=O;29/000000063;InChI=1S/C8H8N2O5S/c11-5-1-4(7(16)3-10(14)15)2-6(12)8(5)9-13/h1-2,7,11-12,16H,3H2/t7-/m0/s1;C8H8N2O5S;244;0.96;4.11;4.25;17.90;-150
O=Nc1c2c([nH]/c(=[NH]/CC)/[nH]2)ccc1CC;29/000000108;InChI=1S/C11H15N4O/c1-3-7-5-6-8-10(9(7)15-16)14-11(13-8)12-4-2/h5-6,12-14H,3-4H2,1-2H3/b12-11-;C11H14N4O;218;1.58;4.53;4.84;14.90;-120
O=Nc1c2c([nH]/c(=[NH]/C/C=C/C)/[nH]2)ccc1CC;29/000000133;InChI=1S/C13H17N4O/c1-3-5-8-14-13-15-10-7-6-9(4-2)11(17-18)12(10)16-13/h3,5-7,14-16H,4,8H2,1-2H3/b5-3+,14-13-;C13H16N4O;244;2.09;4.51;5.68;17.10;-160
S[C@@H](c1ncncc1)/C=C/NC/C=C\Cc1nnsc1;29/000000156;InChI=1S/C13H15N5S2/c19-13(12-4-7-15-10-16-12)5-8-14-6-2-1-3-11-9-20-18-17-11/h1-2,4-5,7-10,13-14,19H,3,6H2/b2-1-,8-5+/t13-/m1/s1;C13H15N5S2;305;2.54;4.11;1.64;3.58;-190
O=Nc1c2c([nH]/c(=[NH]/CCCCS)/[nH]2)ccc1CC;29/000000075;InChI=1S/C13H19N4OS/c1-2-9-5-6-10-12(11(9)17-18)16-13(15-10)14-7-3-4-8-19/h5-6,14-16,19H,2-4,7-8H2,1H3/b14-13-;C13H18N4OS;278;2.55;4.25;4.86;18.60;-100
OCC(/[NH]=c\1/[nH]c2c([nH]1)c(N(=O)=O)ccc2)(F)F;29/000000053;InChI=1S/C9H9F2N4O3/c10-9(11,4-16)14-8-12-5-2-1-3-6(15(17)18)7(5)13-8/h1-3,12-14,16H,4H2/b14-8-;C9H8N4O3F2;258;0.89;4.69;3.02;21.30;-190
S[C@@H](c1ncncc1)/C=C/NC/C=C\Cc1nnsc1;29/000000154;InChI=1S/C13H15N5S2/c19-13(12-4-7-15-10-16-12)5-8-14-6-2-1-3-11-9-20-18-17-11/h1-2,4-5,7-10,13-14,19H,3,6H2/b2-1-,8-5+/t13-/m1/s1;C13H15N5S2;305;2.54;4.08;1.31;3.58;-190
O=Nc1c2c([nH]/c(=[NH]/CF)/[nH]2)ccc1CC;29/000000139;InChI=1S/C10H12FN4O/c1-2-6-3-4-7-9(8(6)15-16)14-10(13-7)12-5-11/h3-4,12-14H,2,5H2,1H3/b12-10-;C10H11N4OF;222;1.43;4.42;4.91;17.00;-60
