SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1c(I)cc(c(c1)[S@@](=O)c1cccc(c1)O)O	No_1_28,12/000000050,"InChI=1S/C12H9IO4S/c13-9-5-11(16)12(6-10(9)15)18(17)8-3-1-2-7(14)4-8/h1-6,14-16H/t18-/m0/s1",C12H9O4SI,376,2.04,4.51,2.79,14.5,0,3.5147568014638626,1
OC(=O)/C(=C\c1ccc(cc1)C(=O)O)/C=C(\C)/N(=O)=O	No_1_9,16/000000007,"InChI=1S/C13H11NO6/c1-8(14(19)20)6-11(13(17)18)7-9-2-4-10(5-3-9)12(15)16/h2-7H,1H3,(H,15,16)(H,17,18)/b8-6+,11-7-",C13H11NO6,277,2.16,4.51,6.5,3.58,-20,2.817022036320319,1
Oc1c(I)cc(c(c1)[S@@](=O)c1cc(OC)c2c(c1)SCC(=O)N2)O	No_1_419,12/000000242,"InChI=1S/C15H12INO5S2/c1-22-11-2-7(3-12-15(11)17-14(20)6-23-12)24(21)13-5-9(18)8(16)4-10(13)19/h2-5,18-19H,6H2,1H3,(H,17,20)/t24-/m0/s1",C15H12NO5S2I,477,1.55,4.51,5.82,22.8,-100,3.9523687420422435,1
Oc1cc(I)c(cc1[S@@](=O)c1cccc(c1)COC(=O)C)O	No_1_274,12/000000164,"InChI=1S/C15H13IO5S/c1-9(17)21-8-10-3-2-4-11(5-10)22(20)15-7-13(18)12(16)6-14(15)19/h2-7,18-19H,8H2,1H3/t22-/m0/s1",C15H13O5SI,432,2.37,4.5,3.72,18.5,-20,3.3429002742599616,1
Oc1cc(I)c(cc1[S@@](=O)c1ccccc1)O	No_1_12,12/000000047,"InChI=1S/C12H9IO3S/c13-9-6-11(15)12(7-10(9)14)17(16)8-4-2-1-3-5-8/h1-7,14-15H/t17-/m0/s1",C12H9O3SI,360,2.44,4.5,3.11,13.3,0,3.2599513221543504,1
Oc1cc(cc(c1)I)/C=C/[C@@H](c1oc(=O)[nH]n1)O	No_3_427,12/000000029,"InChI=1S/C11H9IN2O4/c12-7-3-6(4-8(15)5-7)1-2-9(16)10-13-14-11(17)18-10/h1-5,9,15-16H,(H,14,17)/b2-1+/t9-/m0/s1",C11H9N2O4I,360,2.4,4.5,3.56,2.22,-150,3.8872255738343506,1
SSc1ccc(c(c1O)I)C(=C)N(=O)=O	No_1_2,24/000000008,"InChI=1S/C8H6INO3S2/c1-4(10(12)13)5-2-3-6(15-14)8(11)7(5)9/h2-3,11,14H,1H2",C8H6NO3S2I,355,4.05,4.49,4.02,2.35,0,3.8882609294548045,1
OC(=O)c1scc(n1)C(=O)c1cc[nH]c1	No_2_538,3/000000004,"InChI=1S/C9H6N2O3S/c12-7(5-1-2-10-3-5)6-4-15-8(11-6)9(13)14/h1-4,10H,(H,13,14)",C9H6N2O3S,222,0.4,4.49,5.58,2.22,0,2.8946056462764442,1
Oc1ccc(cc1)c1c[nH]c(c1)CNC(=O)CCc1cnccc1	No_3_314,25/000000018,"InChI=1S/C19H19N3O2/c23-18-6-4-15(5-7-18)16-10-17(21-12-16)13-22-19(24)8-3-14-2-1-9-20-11-14/h1-2,4-7,9-12,21,23H,3,8,13H2,(H,22,24)",C19H19N3O2,321,2.13,4.48,3.58,4.94,-160,2.3164950017922177,1
OC(=O)/C(=C\c1ccc(c(c1)F)C(=O)O)/C=C(\C[NH3+])/N(=O)=O	No_1_167,16/000000030,"InChI=1S/C13H11FN2O6/c14-11-4-7(1-2-10(11)13(19)20)3-8(12(17)18)5-9(6-15)16(21)22/h1-5H,6,15H2,(H,17,18)(H,19,20)/p+1/b8-3-,9-5+",C13H12N2O6F,311,1.21,4.48,5.93,4.94,-60,3.5461363545342373,1
Oc1cc(I)c(cc1[S@@](=O)c1ccc(cc1)CC=C)O	No_1_557,12/000000306,"InChI=1S/C15H13IO3S/c1-2-3-10-4-6-11(7-5-10)20(19)15-9-13(17)12(16)8-14(15)18/h2,4-9,17-18H,1,3H2/t20-/m0/s1",C15H13O3SI,400,3.1,4.48,4.2,16.1,0,3.4721934117653426,1
NC(=O)Nc1ccc(cc1Cl)[C@@H](Cc1ccnn2c1nnc2)N=O	No_4_434,11/000000069,"InChI=1S/C14H12ClN7O2/c15-10-5-8(1-2-11(10)19-14(16)23)12(21-24)6-9-3-4-18-22-7-17-20-13(9)22/h1-5,7,12H,6H2,(H3,16,19,23)/t12-/m1/s1",C14H11N7O2Cl,344,1.41,4.48,5.01,4.94,-190,3.5766044269455772,1
Oc1c(I)cc(c(c1)[S@@](=O)c1ccc(c(c1)Cl)O)O	No_1_48,12/000000062,"InChI=1S/C12H8ClIO4S/c13-7-3-6(1-2-9(7)15)19(18)12-5-10(16)8(14)4-11(12)17/h1-5,15-17H/t19-/m0/s1",C12H8O4SClI,410,2.66,4.47,3.0,16.2,0,3.5207764488330167,1
OCc1c(S)c(/C=C/C)cc(c1)N(=O)=O	No_3_641,10/000000090,"InChI=1S/C10H11NO3S/c1-2-3-7-4-9(11(13)14)5-8(6-12)10(7)15/h2-5,12,15H,6H2,1H3/b3-2+",C10H11NO3S,225,2.31,4.46,4.0,2.47,-20,3.0553642726500705,1
C#Cc1c(C(=O)c2nn(cc2Br)C(=O)O)c[nH]c1	No_4_545,3/000000042,"InChI=1S/C11H6BrN3O3/c1-2-6-3-13-4-7(6)10(16)9-8(12)5-15(14-9)11(17)18/h1,3-5,13H,(H,17,18)",C11H5N3O3Br,307,1.01,4.45,7.02,2.22,0,3.6393193506386963,1
Oc1cc(C2=CCON2)c(cc1CC#CC/C=C/C)CO	No_3_154,12/000000022,"InChI=1S/C17H19NO3/c1-2-3-4-5-6-7-13-10-14(12-19)15(11-17(13)20)16-8-9-21-18-16/h2-3,8,10-11,18-20H,4,7,9,12H2,1H3/b3-2+",C17H19NO3,285,2.78,4.45,3.47,3.58,-160,3.9530813127398616,1
NC(=O)Nc1ccc(cc1Cl)[C@@H](Cc1ncnc2c1[nH]nc2)N=O	No_4_394,11/000000068,"InChI=1S/C14H12ClN7O2/c15-8-3-7(1-2-9(8)20-14(16)23)10(22-24)4-11-13-12(5-19-21-13)18-6-17-11/h1-3,5-6,10H,4H2,(H,19,21)(H3,16,20,23)/t10-/m1/s1",C14H11N7O2Cl,344,0.28,4.44,5.36,4.94,-190,3.5772641554523634,1
OCc1cc(/C=C/CNC)c(c(c1)c1sc(=N)[nH]c1)S	No_2_497,10/000000048,"InChI=1S/C14H17N3OS2/c1-16-4-2-3-10-5-9(8-18)6-11(13(10)19)12-7-17-14(15)20-12/h2-3,5-7,16,18-19H,4,8H2,1H3,(H2,15,17)/b3-2+",C14H17N3OS2,307,2.45,4.44,3.02,20.7,-160,3.9030493118749545,1
OCC(=O)[C@H](Cc1[nH]c2c(c1)c(ccc2)CBr)NCNN	No_4_187,19/000000001,"InChI=1S/C14H19BrN4O2/c15-6-9-2-1-3-12-11(9)4-10(19-12)5-13(14(21)7-20)17-8-18-16/h1-4,13,17-20H,5-8,16H2/t13-/m0/s1",C14H19N4O2Br,355,0.51,4.43,6.61,2.48,-190,3.595921137244618,1
Oc1c(O)c(F)cc(c1)CCc1c(Cl)ccc(c1C(=O)O)CO	No_4_562,11/000000017,"InChI=1S/C16H14ClFO5/c17-11-4-2-9(7-19)14(16(22)23)10(11)3-1-8-5-12(18)15(21)13(20)6-8/h2,4-6,19-21H,1,3,7H2,(H,22,23)",C16H13O5FCl,339,2.28,4.43,7.67,3.7,0,2.6206144628001358,1
Sc1c(O)ccc(c1)[S@](=O)c1cc(O)c(cc1O)I	No_1_53,12/000000064,"InChI=1S/C12H9IO4S2/c13-7-4-10(16)12(5-9(7)15)19(17)6-1-2-8(14)11(18)3-6/h1-5,14-16,18H/t19-/m0/s1",C12H9O4S2I,408,2.42,4.43,3.02,17.0,0,3.8702913809597117,1
OC(=O)/C(=C\c1ccc(c(c1)OC)C(=O)O)/C=C/N(=O)=O	No_1_38,16/000000025,"InChI=1S/C13H11NO7/c1-21-11-7-8(2-3-10(11)13(17)18)6-9(12(15)16)4-5-14(19)20/h2-7H,1H3,(H,15,16)(H,17,18)/b5-4+,9-6-",C13H11NO7,293,1.52,4.43,6.56,2.22,-50,2.851655708344257,1
Oc1cc(cc2c1CC(=C)N2)CC(=O)OCC/C=C/CC(=O)CO	No_4_239,12/000000009,"InChI=1S/C18H21NO5/c1-12-7-15-16(19-12)8-13(9-17(15)22)10-18(23)24-6-4-2-3-5-14(21)11-20/h2-3,8-9,19-20,22H,1,4-7,10-11H2/b3-2+",C18H21NO5,331,1.1,4.43,8.23,21.4,-40,3.3845522069750933,1
