SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
O=Nc1c2c([nH]c(=[NH2])[nH]2)cc(c1)C/C=C/C(=O)C	No_1_732,29/000000014,"InChI=1S/C12H13N4O2/c1-7(17)3-2-4-8-5-9-11(10(6-8)16-18)15-12(13)14-9/h2-3,5-6,14-15H,4,13H2,1H3/b3-2+",C12H12N4O2,244,0.55,4.61,1.67,18.7,-60
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)C[C@H](N2)CF)O	No_1_432,12/000000245,"InChI=1S/C15H13FINO3S/c16-7-9-3-8-4-10(1-2-12(8)18-9)22(21)15-6-13(19)11(17)5-14(15)20/h1-2,4-6,9,18-20H,3,7H2/t9-,22-/m0/s1",C15H13NO3SFI,433,2.6,4.6,4.08,19.6,-190
Sc1ccc2c(c1N(=O)=O)[nH]/c(=[NH]\C(F)F)/[nH]2	No_3_253,29/000000050,"InChI=1S/C8H7F2N4O2S/c9-7(10)13-8-11-3-1-2-4(17)6(14(15)16)5(3)12-8/h1-2,7,11-13,17H/b13-8-",C8H6N4O2SF2,260,1.99,4.6,5.57,22.0,-190
Oc1c(O)c(cc(c1)F)c1coc(c1)N(=O)=O	No_2_766,12/000000007,"InChI=1S/C10H6FNO5/c11-6-2-7(10(14)8(13)3-6)5-1-9(12(15)16)17-4-5/h1-4,13-14H",C10H6NO5F,239,1.98,4.6,3.26,2.22,-120
O=Nc1c2c([nH]/c(=[NH]/CCCl)/[nH]2)ccc1CC	No_5_49,29/000000080,"InChI=1S/C11H14ClN4O/c1-2-7-3-4-8-10(9(7)16-17)15-11(14-8)13-6-5-12/h3-4,13-15H,2,5-6H2,1H3/b13-11-",C11H13N4OCl,252,1.92,4.6,5.0,16.6,-100
OC(=O)/C(=C\c1ccc(c(c1)OC(=O)C)C(=O)O)/C=C(\CN)/N(=O)=O	No_1_482,16/000000034,"InChI=1S/C15H14N2O8/c1-8(18)25-13-5-9(2-3-12(13)15(21)22)4-10(14(19)20)6-11(7-16)17(23)24/h2-6H,7,16H2,1H3,(H,19,20)(H,21,22)/b10-4-,11-6+",C15H14N2O8,350,0.84,4.6,7.57,6.45,-200
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)c(C=C)cc(=O)o2)O	No_1_116,12/000000083,"InChI=1S/C17H11IO5S/c1-2-9-5-17(21)23-15-4-3-10(6-11(9)15)24(22)16-8-13(19)12(18)7-14(16)20/h2-8,19-20H,1H2/t24-/m0/s1",C17H11O5SI,454,2.63,4.6,5.08,22.1,-80
Oc1cc(/C=C/N)c(c(c1)CCc1cc(F)c(c(c1)N(=O)=O)O)Cl	No_4_608,11/000000020,"InChI=1S/C16H14ClFN2O4/c17-15-10(7-12(21)8-11(15)3-4-19)2-1-9-5-13(18)16(22)14(6-9)20(23)24/h3-8,21-22H,1-2,19H2/b4-3+",C16H14N2O4FCl,352,3.58,4.6,3.59,5.09,0
O=Nc1ccc(c(c1Cl)CCc1cc(F)c(c(c1)N(=O)=O)O)C(N)N	No_4_166,11/000000006,"InChI=1S/C15H14ClFN4O4/c16-13-8(9(15(18)19)3-4-11(13)20-23)2-1-7-5-10(17)14(22)12(6-7)21(24)25/h3-6,15,22H,1-2,18-19H2",C15H14N4O4FCl,368,2.34,4.59,7.45,24.8,-150
Oc1cc(I)c(cc1[S@@](=O)c1ccc(cc1)CN)O	No_1_225,12/000000137,"InChI=1S/C13H12INO3S/c14-10-5-12(17)13(6-11(10)16)19(18)9-3-1-8(7-15)2-4-9/h1-6,16-17H,7,15H2/t19-/m0/s1",C13H12NO3SI,389,1.57,4.57,3.23,15.3,0
SSc1ccc(c(c1O)I)P(=O)(O)O	No_2_510,24/000000005,"InChI=1S/C6H6IO4PS2/c7-5-3(12(9,10)11)1-2-4(14-13)6(5)8/h1-2,8,13H,(H2,9,10,11)",C6H6O4PS2I,364,1.5,4.56,4.1,3.46,0
O=Nc1c2c([nH]/c(=[NH]/CCF)/[nH]2)ccc1CC	No_5_99,29/000000094,"InChI=1S/C11H14FN4O/c1-2-7-3-4-8-10(9(7)16-17)15-11(14-8)13-6-5-12/h3-4,13-15H,2,5-6H2,1H3/b13-11-",C11H13N4OF,236,1.79,4.56,4.73,17.6,-100
Oc1cc(I)c(cc1[S@@](=O)c1ccc2c(c1)[nH]c(=O)c(=O)n2C)O	No_1_119,12/000000085,"InChI=1S/C15H11IN2O5S/c1-18-10-3-2-7(4-9(10)17-14(21)15(18)22)24(23)13-6-11(19)8(16)5-12(13)20/h2-6,19-20H,1H3,(H,17,21)/t24-/m0/s1",C15H11N2O5SI,458,0.57,4.56,4.97,22.7,-100
Oc1cc(I)c(cc1[S@@](=O)c1ccc(cc1)Br)O	No_1_470,12/000000257,"InChI=1S/C12H8BrIO3S/c13-7-1-3-8(4-2-7)18(17)12-6-10(15)9(14)5-11(12)16/h1-6,15-16H/t18-/m0/s1",C12H8O3SBrI,439,3.24,4.55,4.47,15.0,0
