SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
[nH]1ncc(n1)C1=CC(=COC1)C(=O)Nc1cccc(c1)Cl	No_2_299,4/000000346,"InChI=1S/C14H11ClN4O2/c15-11-2-1-3-12(5-11)17-14(20)10-4-9(7-21-8-10)13-6-16-19-18-13/h1-6,8H,7H2,(H,17,20)(H,16,18,19)",C14H11N4O2Cl,302,2.96,4.89,3.2,23.9,-120,3.1343142383388525,1
NCc1ccc(cc1)C/C(=C/[C@H]1OC(=O)CC1)/c1ncn[nH]1	No_4_195,6/000000005,"InChI=1S/C16H18N4O2/c17-9-12-3-1-11(2-4-12)7-13(16-18-10-19-20-16)8-14-5-6-15(21)22-14/h1-4,8,10,14H,5-7,9,17H2,(H,18,19,20)/b13-8-/t14-/m0/s1",C16H18N4O2,298,1.36,4.88,7.88,5.09,-150,3.5013598415676537,1
OC(=O)[C@@H](CO)Oc1ccccc1C/C=C/CCl	No_5_52,20/000000071,"InChI=1S/C13H15ClO4/c14-8-4-3-6-10-5-1-2-7-11(10)18-12(9-15)13(16)17/h1-5,7,12,15H,6,8-9H2,(H,16,17)/b4-3+/t12-/m1/s1",C13H15O4Cl,270,1.92,4.87,7.84,3.58,-150,3.092035419988197,1
OC(=O)[C@H](c1c[nH]c(=O)[nH]1)C#Cc1oc2c(c1)cccc2	No_4_531,20/000000107,"InChI=1S/C15H10N2O4/c18-14(19)11(12-8-16-15(20)17-12)6-5-10-7-9-3-1-2-4-13(9)21-10/h1-4,7-8,11H,(H,18,19)(H2,16,17,20)/t11-/m0/s1",C15H10N2O4,282,1.24,4.87,3.22,23.0,-190,3.647519768274605,1
Oc1cc(C#Cc2ccccc2)cc(c1)C(=O)NCC(=O)C	No_4_44,19/000000009,"InChI=1S/C18H15NO3/c1-13(20)12-19-18(22)16-9-15(10-17(21)11-16)8-7-14-5-3-2-4-6-14/h2-6,9-11,21H,12H2,1H3,(H,19,22)",C18H15NO3,293,3.27,4.85,1.56,3.58,-60,2.2719687666160375,1
C#C[C@H]([NH3+])c1cc(C(=O)O)cc(c1)C(=O)O	No_3_584,13/000000008,"InChI=1S/C11H9NO4/c1-2-9(12)6-3-7(10(13)14)5-8(4-6)11(15)16/h1,3-5,9H,12H2,(H,13,14)(H,15,16)/p+1/t9-/m0/s1",C11H10NO4,220,0.51,4.83,4.19,2.22,-150,3.5936702275863714,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)C=C	No_2_633,4/000000050,"InChI=1S/C11H12N2O3/c1-2-7-3-8(6-10(14)15)5-9(4-7)13-11(12)16/h2-5H,1,6H2,(H,14,15)(H3,12,13,16)",C11H12N2O3,220,0.34,4.79,3.96,3.58,0,2.3483087615737332,1
OC(=O)Cc1cc(ccc1CCNCc1cnoc1)NC(=O)N	No_4_252,4/000000266,"InChI=1S/C15H18N4O4/c16-15(22)19-13-2-1-11(12(5-13)6-14(20)21)3-4-17-7-10-8-18-23-9-10/h1-2,5,8-9,17H,3-4,6-7H2,(H,20,21)(H3,16,19,22)",C15H18N4O4,318,-0.15,4.77,4.15,5.09,0,2.6176472285951355,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)Br	No_4_18,4/000000232,"InChI=1S/C9H9BrN2O3/c10-6-1-5(3-8(13)14)2-7(4-6)12-9(11)15/h1-2,4H,3H2,(H,13,14)(H3,11,12,15)",C9H9N2O3Br,273,0.62,4.77,3.44,3.58,0,2.0741288880346858,1
OC/C(=C/c1ccc(cc1)N1C=NCC1=O)/c1nonc1CO	No_4_500,16/000000024,"InChI=1S/C15H14N4O4/c20-7-11(15-13(8-21)17-23-18-15)5-10-1-3-12(4-2-10)19-9-16-6-14(19)22/h1-5,9,20-21H,6-8H2/b11-5-",C15H14N4O4,314,-0.19,4.76,4.5,24.9,-120,3.437671940806002,1
OCc1c(/C=C/C2=CC(=O)O[C@@H]2CCCNC(=O)CN)cccc1	No_3_608,1/000000002,"InChI=1S/C18H22N2O4/c19-11-17(22)20-9-3-6-16-14(10-18(23)24-16)8-7-13-4-1-2-5-15(13)12-21/h1-2,4-5,7-8,10,16,21H,3,6,9,11-12,19H2,(H,20,22)/b8-7+/t16-/m1/s1",C18H22N2O4,330,0.51,4.76,5.05,3.58,-190,3.363933612465938,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)COC(=O)C	No_2_95,4/000000025,"InChI=1S/C12H14N2O5/c1-7(15)19-6-9-2-8(5-11(16)17)3-10(4-9)14-12(13)18/h2-4H,5-6H2,1H3,(H,16,17)(H3,13,14,18)",C12H14N2O5,266,-0.25,4.76,3.22,17.8,-20,2.136841703705512,1
[nH]1ncc(n1)/C(=C\CN)/c1cccc(c1Cl)Cl	No_4_654,29/000000013,"InChI=1S/C11H10Cl2N4/c12-9-3-1-2-8(11(9)13)7(4-5-14)10-6-15-17-16-10/h1-4,6H,5,14H2,(H,15,16,17)/b7-4-",C11H10N4Cl2,268,3.9,4.75,4.97,2.22,0,3.057903120302095,1
OC(=O)Cc1c(OCC)ccc(c1)NC(=O)N	No_4_107,4/000000259,"InChI=1S/C11H14N2O4/c1-2-17-9-4-3-8(13-11(12)16)5-7(9)6-10(14)15/h3-5H,2,6H2,1H3,(H,14,15)(H3,12,13,16)",C11H14N2O4,238,0.16,4.74,2.88,2.22,-20,1.900530461439219,1
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/COCCl	No_2_545,4/000000046,"InChI=1S/C13H15ClN2O4/c14-8-20-5-1-2-9-3-4-11(16-13(15)19)6-10(9)7-12(17)18/h1-4,6H,5,7-8H2,(H,17,18)(H3,15,16,19)/b2-1+",C13H15N2O4Cl,298,0.54,4.74,3.34,5.09,0,2.7380967744124156,1
OC(=O)c1ccc(cc1)/C=C(/[C@]1(N=C(CC1)C(=O)CO)CN)\CBr	No_6_83,21/000000004,"InChI=1S/C17H19BrN2O4/c18-8-13(7-11-1-3-12(4-2-11)16(23)24)17(10-19)6-5-14(20-17)15(22)9-21/h1-4,7,21H,5-6,8-10,19H2,(H,23,24)/b13-7+/t17-/m1/s1",C17H19N2O4Br,395,0.44,4.73,6.93,5.24,-150,3.8905351756086777,1
OC/C(=C\COc1ccc(c(c1)OC(=O)C)CO)/C1=CO[C@@H](CO1)CCl	No_7_492,4/000000180,"InChI=1S/C18H21ClO7/c1-12(22)26-17-6-15(3-2-13(17)8-20)23-5-4-14(9-21)18-11-24-16(7-19)10-25-18/h2-4,6,11,16,20-21H,5,7-10H2,1H3/b14-4+/t16-/m1/s1",C18H21O7Cl,384,1.72,4.72,4.75,6.58,-190,3.787260484513684,1
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CO[C@H]1COCC1	No_2_566,4/000000048,"InChI=1S/C16H20N2O5/c17-16(21)18-13-4-3-11(12(8-13)9-15(19)20)2-1-6-23-14-5-7-22-10-14/h1-4,8,14H,5-7,9-10H2,(H,19,20)(H3,17,18,21)/b2-1+/t14-/m1/s1",C16H20N2O5,320,0.13,4.71,4.1,5.09,-150,3.1355839089819506,1
OC(=O)CC#Cc1cccc(c1)[C@@H](c1n[nH]c(=O)[nH]1)Br	No_4_607,19/000000022,"InChI=1S/C13H10BrN3O3/c14-11(12-15-13(20)17-16-12)9-5-1-3-8(7-9)4-2-6-10(18)19/h1,3,5,7,11H,6H2,(H,18,19)(H2,15,16,17,20)/t11-/m0/s1",C13H10N3O3Br,336,2.22,4.7,7.66,22.0,-150,3.67251034982728,1
OC(=O)Cc1cc(ccc1C[C@@H](/C=C\C)N)NC(=O)N	No_3_362,4/000000015,"InChI=1S/C14H19N3O3/c1-2-3-11(15)6-9-4-5-12(17-14(16)20)7-10(9)8-13(18)19/h2-5,7,11H,6,8,15H2,1H3,(H,18,19)(H3,16,17,20)/b3-2-/t11-/m1/s1",C14H19N3O3,277,0.14,4.69,3.8,3.58,-170,3.1382573278492583,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)C	No_3_19,4/000000094,"InChI=1S/C10H12N2O3/c1-6-2-7(5-9(13)14)4-8(3-6)12-10(11)15/h2-4H,5H2,1H3,(H,13,14)(H3,11,12,15)",C10H12N2O3,208,0.05,4.68,3.37,3.58,-20,1.9383535034193002,1
OC(=O)Cc1cc(ccc1C)NC(=O)N	No_4_2,4/000000222,"InChI=1S/C10H12N2O3/c1-6-2-3-8(12-10(11)15)4-7(6)5-9(13)14/h2-4H,5H2,1H3,(H,13,14)(H3,11,12,15)",C10H12N2O3,208,0.05,4.67,3.13,2.22,-20,1.877250426496225,1
OCC1=C[C@@H](C=C(O1)C(=O)NCC)CCCCN	No_3_709,20/000000158,"InChI=1S/C13H22N2O3/c1-2-15-13(17)12-8-10(5-3-4-6-14)7-11(9-16)18-12/h7-8,10,16H,2-6,9,14H2,1H3,(H,15,17)/t10-/m0/s1",C13H22N2O3,254,0.31,4.66,1.2,5.24,-190,3.81616434306512,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)CF	No_4_41,4/000000246,"InChI=1S/C10H11FN2O3/c11-5-7-1-6(4-9(14)15)2-8(3-7)13-10(12)16/h1-3H,4-5H2,(H,14,15)(H3,12,13,16)",C10H11N2O3F,226,0.15,4.65,3.35,3.58,0,2.2905316596059357,1
O[C@H](CO)c1cc(NC(=O)N)cc(c1)CCBr	No_3_162,4/000000111,"InChI=1S/C11H15BrN2O3/c12-2-1-7-3-8(10(16)6-15)5-9(4-7)14-11(13)17/h3-5,10,15-16H,1-2,6H2,(H3,13,14,17)/t10-/m1/s1",C11H15N2O3Br,303,0.14,4.65,4.26,14.5,-150,3.0164967430609178,1
Oc1ccc(cc1c1ncc(cc1)/C(=C\c1nonc1)/CN)Cl	No_3_634,16/000000008,"InChI=1S/C16H13ClN4O2/c17-12-2-4-16(22)14(6-12)15-3-1-10(8-19-15)11(7-18)5-13-9-20-23-21-13/h1-6,8-9,22H,7,18H2/b11-5-",C16H13N4O2Cl,328,3.27,4.65,6.3,21.7,-160,3.202788724022784,1
OC(=O)[C@@H](CO)Oc1ccccc1C/C=C\CN	No_4_84,20/000000012,"InChI=1S/C13H17NO4/c14-8-4-3-6-10-5-1-2-7-11(10)18-12(9-15)13(16)17/h1-5,7,12,15H,6,8-9,14H2,(H,16,17)/b4-3-/t12-/m1/s1",C13H17NO4,251,0.58,4.63,8.29,3.58,-150,3.07690157383435,1
OC(=O)[C@H](c1cc(NC(=O)N)cc(c1)COC(=O)Cc1ncn[nH]1)Br	No_4_117,4/000000261,"InChI=1S/C14H14BrN5O5/c15-12(13(22)23)8-1-7(2-9(3-8)19-14(16)24)5-25-11(21)4-10-17-6-18-20-10/h1-3,6,12H,4-5H2,(H,22,23)(H3,16,19,24)(H,17,18,20)/t12-/m0/s1",C14H14N5O5Br,412,-0.26,4.63,8.3,5.09,-150,3.3408372502398134,1
OC(=O)Cc1cc(ccc1CC=C)NC(=O)N	No_3_544,4/000000147,"InChI=1S/C12H14N2O3/c1-2-3-8-4-5-10(14-12(13)17)6-9(8)7-11(15)16/h2,4-6H,1,3,7H2,(H,15,16)(H3,13,14,17)",C12H14N2O3,234,0.49,4.62,2.77,3.58,0,2.293270595218484,1
OC(=O)[C@H](C)c1ncc(cc1)C(=C)Cc1n[nH]c(=O)o1	No_6_115,14/000000003,"InChI=1S/C13H13N3O4/c1-7(5-11-15-16-13(19)20-11)9-3-4-10(14-6-9)8(2)12(17)18/h3-4,6,8H,1,5H2,2H3,(H,16,19)(H,17,18)/t8-/m1/s1",C13H13N3O4,275,1.04,4.62,5.01,20.4,-170,3.624941663513594,1
c1nc([nH]c1c1cc([nH]c1CN)/C=C/C)CCCCCCC	No_6_370,4/000000201,"InChI=1S/C18H28N4/c1-3-5-6-7-8-10-18-20-13-17(22-18)15-11-14(9-4-2)21-16(15)12-19/h4,9,11,13,21H,3,5-8,10,12,19H2,1-2H3,(H,20,22)/b9-4+",C18H28N4,300,2.88,4.61,3.08,21.5,-200,3.1479409396043394,1
O=C(Nc1cc(/C=C/CNC[C@H]2C=CCC2)cc(c1)CN)N	No_4_531,4/000000313,"InChI=1S/C17H24N4O/c18-11-15-8-14(9-16(10-15)21-17(19)22)6-3-7-20-12-13-4-1-2-5-13/h1,3-4,6,8-10,13,20H,2,5,7,11-12,18H2,(H3,19,21,22)/b6-3+/t13-/m0/s1",C17H24N4O,300,0.57,4.61,4.27,6.77,-150,3.412606647886335,1
OC(=O)Cc1cc(NC(=O)N)cc(c1)F	No_4_47,4/000000250,"InChI=1S/C9H9FN2O3/c10-6-1-5(3-8(13)14)2-7(4-6)12-9(11)15/h1-2,4H,3H2,(H,13,14)(H3,11,12,15)",C9H9N2O3F,212,-0.01,4.61,2.83,3.58,0,1.98456504188084,1
[nH]1ncc(n1)/C(=C\CCN)/c1cccc(c1Cl)Cl	No_5_431,29/000000039,"InChI=1S/C12H12Cl2N4/c13-10-5-1-3-9(12(10)14)8(4-2-6-15)11-7-16-18-17-11/h1,3-5,7H,2,6,15H2,(H,16,17,18)/b8-4-",C12H12N4Cl2,282,4.06,4.61,6.35,2.22,0,3.016096873955716,1
OCC1=CCC=C(O1)C(=O)N[C@H](C)c1ncn[nH]1	No_3_654,20/000000151,"InChI=1S/C11H14N4O3/c1-7(10-12-6-13-15-10)14-11(17)9-4-2-3-8(5-16)18-9/h3-4,6-7,16H,2,5H2,1H3,(H,14,17)(H,12,13,15)/t7-/m1/s1",C11H14N4O3,250,-0.04,4.58,1.65,3.58,-190,3.9965302616171563,1
OC(=O)[C@@H](CO)Oc1ccccc1CC=C	No_5_7,20/000000051,"InChI=1S/C12H14O4/c1-2-5-9-6-3-4-7-10(9)16-11(8-13)12(14)15/h2-4,6-7,11,13H,1,5,8H2,(H,14,15)/t11-/m1/s1",C12H14O4,222,1.37,4.56,8.48,2.22,-150,2.7594613364774823,1
Oc1c(ccc(c1)CC)C(=O)C1=C(C(=O)NC1=O)/C=C/1\N=COC1=O	No_4_530,23/000000077,"InChI=1S/C17H12N2O6/c1-2-8-3-4-9(12(20)5-8)14(21)13-10(15(22)19-16(13)23)6-11-17(24)25-7-18-11/h3-7,20H,2H2,1H3,(H,19,22,23)/b11-6-",C17H12N2O6,340,0.59,4.56,5.45,4.94,-20,3.380785015440857,1
OCc1ccc(cc1F)C/C(=C/[C@H]1OC(=O)CC1)/c1ncn[nH]1	No_6_28,6/000000053,"InChI=1S/C16H16FN3O3/c17-14-6-10(1-2-11(14)8-21)5-12(16-18-9-19-20-16)7-13-3-4-15(22)23-13/h1-2,6-7,9,13,21H,3-5,8H2,(H,18,19,20)/b12-7-/t13-/m0/s1",C16H16N3O3F,317,1.58,4.56,8.06,5.09,-150,3.648661725012074,1
Oc1c(F)cccc1CC[C@H](n1nnc(c1)CN)C=C	No_5_84,23/000000015,"InChI=1S/C14H17FN4O/c1-2-12(19-9-11(8-16)17-18-19)7-6-10-4-3-5-13(15)14(10)20/h2-5,9,12,20H,1,6-8,16H2/t12-/m1/s1",C14H17N4OF,276,1.73,4.56,2.05,4.94,-190,3.526416119058049,1
O=C(Nc1cc(cc(c1)CN)/C=C/Cc1c[nH]c2c1N=CNC2)N	No_3_662,4/000000152,"InChI=1S/C17H20N6O/c18-7-12-4-11(5-14(6-12)23-17(19)24)2-1-3-13-8-21-15-9-20-10-22-16(13)15/h1-2,4-6,8,10,21H,3,7,9,18H2,(H,20,22)(H3,19,23,24)/b2-1+",C17H20N6O,324,-0.01,4.54,5.02,6.58,-40,3.526527787267611,1
OC/C=C(\c1cccc(c1Cl)Cl)/c1n[nH]nc1C[NH3+]	No_5_251,29/000000034,"InChI=1S/C12H12Cl2N4O/c13-9-3-1-2-7(11(9)14)8(4-5-19)12-10(6-15)16-18-17-12/h1-4,19H,5-6,15H2,(H,16,17,18)/p+1/b8-4+",C12H13N4OCl2,299,3.01,4.54,3.82,3.58,0,3.621596693887361,1
OC/C=C(\c1oc(cc1)CCCCC)/c1n[nH]nc1	No_5_457,29/000000041,"InChI=1S/C14H19N3O2/c1-2-3-4-5-11-6-7-14(19-11)12(8-9-18)13-10-15-17-16-13/h6-8,10,18H,2-5,9H2,1H3,(H,15,16,17)/b12-8-",C14H19N3O2,261,2.99,4.52,5.54,21.6,-20,3.046887544923119,1
OCc1c(c2cnc([nH]2)C(=O)/C=C\C)cc([nH]1)COC	No_3_323,4/000000336,"InChI=1S/C14H17N3O3/c1-3-4-13(19)14-15-6-11(17-14)10-5-9(8-20-2)16-12(10)7-18/h3-6,16,18H,7-8H2,1-2H3,(H,15,17)/b4-3-",C14H17N3O3,275,0.0,4.5,4.17,23.2,-200,3.4305221140727564,1
