SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OCc1cc(C#Cc2ccccc2)cc(c1)C(=O)N	No_4_631;19/000000026;InChI=1S/C16H13NO2/c17-16(19)15-9-13(8-14(10-15)11-18)7-6-12-4-2-1-3-5-12/h1-5,8-10,18H,11H2,(H2,17,19);C16H13NO2;251;2.70;4.33;3.09;2.22;0
OC(=O)CC#Cc1cccc(c1)[C@@H](CCO)Br	No_4_360;19/000000019;InChI=1S/C13H13BrO3/c14-12(7-8-15)11-5-1-3-10(9-11)4-2-6-13(16)17/h1,3,5,9,12,15H,6-8H2,(H,16,17)/t12-/m1/s1;C13H13O3Br;297;2.43;4.18;4.94;15.70;-150
NC(=[NH2])Nc1ccc(cc1C#Cc1cccc(c1)CC)COC	No_3_126;19/000000007;InChI=1S/C19H22N3O/c1-3-14-5-4-6-15(11-14)7-9-17-12-16(13-23-2)8-10-18(17)22-19(20)21/h4-6,8,10-12,22H,3,13,20-21H2,1-2H3;C19H21N3O;307;3.64;4.15;6.10;18.30;-80
OC(=O)CC#Cc1cccc(c1)[C@@H](c1n[nH]c(=O)[nH]1)Br	No_4_608;19/000000023;InChI=1S/C13H10BrN3O3/c14-11(12-15-13(20)17-16-12)9-5-1-3-8(7-9)4-2-6-10(18)19/h1,3,5,7,11H,6H2,(H,18,19)(H2,15,16,17,20)/t11-/m0/s1;C13H10N3O3Br;336;2.22;4.11;7.79;22.00;-150
OC(=O)CC#Cc1cccc(c1)[C@@H](C(=O)O)Br	No_4_111;19/000000012;InChI=1S/C12H9BrO4/c13-11(12(16)17)9-5-1-3-8(7-9)4-2-6-10(14)15/h1,3,5,7,11H,6H2,(H,14,15)(H,16,17)/t11-/m0/s1;C12H9O4Br;297;2.07;4.09;5.56;4.81;-150
OC[C@@H](CBr)C(=O)Nc1c(F)cc2c(c1)[nH]cc2	No_2_391;19/000000003;InChI=1S/C12H12BrFN2O2/c13-5-8(6-17)12(18)16-11-4-10-7(1-2-15-10)3-9(11)14/h1-4,8,15,17H,5-6H2,(H,16,18)/t8-/m1/s1;C12H12N2O2FBr;315;1.68;4.13;4.32;18.00;-190
OC(=O)CC#Cc1cccc(c1)[C@@H](C1=CCNCN1)Br	No_4_578;19/000000021;InChI=1S/C15H15BrN2O2/c16-15(13-7-8-17-10-18-13)12-5-1-3-11(9-12)4-2-6-14(19)20/h1,3,5,7,9,15,17-18H,6,8,10H2,(H,19,20)/t15-/m0/s1;C15H15N2O2Br;335;2.47;4.01;7.24;19.90;-150
Oc1cc(C#Cc2ccccc2)cc(c1)C(=O)NCC(=O)C	No_4_44;19/000000009;InChI=1S/C18H15NO3/c1-13(20)12-19-18(22)16-9-15(10-17(21)11-16)8-7-14-5-3-2-4-6-14/h2-6,9-11,21H,12H2,1H3,(H,19,22);C18H15NO3;293;3.27;4.85;1.56;3.58;-60
OC[C@@H](CBr)C(=O)Nc1c(F)cc2c(c1)[nH]cc2	No_2_79;19/000000002;InChI=1S/C12H12BrFN2O2/c13-5-8(6-17)12(18)16-11-4-10-7(1-2-15-10)3-9(11)14/h1-4,8,15,17H,5-6H2,(H,16,18)/t8-/m1/s1;C12H12N2O2FBr;315;1.68;4.01;4.15;18.00;-190
OC(=O)CC#Cc1cccc(c1)[C@@H](c1[nH]c(=O)[nH]c1)Br	No_4_202;19/000000018;InChI=1S/C14H11BrN2O3/c15-13(11-8-16-14(20)17-11)10-5-1-3-9(7-10)4-2-6-12(18)19/h1,3,5,7-8,13H,6H2,(H,18,19)(H2,16,17,20)/t13-/m0/s1;C14H11N2O3Br;335;1.80;4.11;8.05;21.50;-150
