SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC(=O)Cc1cc(NC(=O)N)cc(c1)C=C	No_4_8;4/000000227;InChI=1S/C11H12N2O3/c1-2-7-3-8(6-10(14)15)5-9(4-7)13-11(12)16/h2-5H,1,6H2,(H,14,15)(H3,12,13,16);C11H12N2O3;220;0.34;4.79;3.96;3.58;0
O=C(Nc1cc(cc(c1)CN)/C=C/CCOc1cccc(c1F)Cl)N	No_4_508;4/000000308;InChI=1S/C18H19ClFN3O2/c19-15-5-3-6-16(17(15)20)25-7-2-1-4-12-8-13(11-21)10-14(9-12)23-18(22)24/h1,3-6,8-10H,2,7,11,21H2,(H3,22,23,24)/b4-1+;C18H19N3O2FCl;363;2.69;5.32;4.41;8.12;0
OC(=O)Cc1cc(NC(=O)N)cc(c1)F	No_4_47;4/000000250;InChI=1S/C9H9FN2O3/c10-6-1-5(3-8(13)14)2-7(4-6)12-9(11)15/h1-2,4H,3H2,(H,13,14)(H3,11,12,15);C9H9N2O3F;212;-0.01;4.61;2.83;3.58;0
OC(=O)Cc1cc(NC(=O)N)cc(c1)CF	No_3_11;4/000000090;InChI=1S/C10H11FN2O3/c11-5-7-1-6(4-9(14)15)2-8(3-7)13-10(12)16/h1-3H,4-5H2,(H,14,15)(H3,12,13,16);C10H11N2O3F;226;0.15;4.56;4.15;3.58;0
OC(=O)Cc1c(C=C)ccc(c1)NC(=O)N	No_3_660;4/000000151;InChI=1S/C11H12N2O3/c1-2-7-3-4-9(13-11(12)16)5-8(7)6-10(14)15/h2-5H,1,6H2,(H,14,15)(H3,12,13,16);C11H12N2O3;220;0.34;4.91;2.99;3.58;0
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/COC	No_2_477;4/000000041;InChI=1S/C13H16N2O4/c1-19-6-2-3-9-4-5-11(15-13(14)18)7-10(9)8-12(16)17/h2-5,7H,6,8H2,1H3,(H,16,17)(H3,14,15,18)/b3-2+;C13H16N2O4;264;0.14;4.37;2.95;17.20;-20
OC(=O)Cc1cc(NC(=O)N)cc(c1)COC(=O)CC=C	No_3_442;4/000000138;InChI=1S/C14H16N2O5/c1-2-3-13(19)21-8-10-4-9(7-12(17)18)5-11(6-10)16-14(15)20/h2,4-6H,1,3,7-8H2,(H,17,18)(H3,15,16,20);C14H16N2O5;292;0.19;4.85;4.56;20.00;-30
OC(=O)Cc1cc(NC(=O)N)cc(c1)Br	No_4_18;4/000000232;InChI=1S/C9H9BrN2O3/c10-6-1-5(3-8(13)14)2-7(4-6)12-9(11)15/h1-2,4H,3H2,(H,13,14)(H3,11,12,15);C9H9N2O3Br;273;0.62;4.77;3.44;3.58;0
OC/C=C/c1cn(cc1CO)[C@H](CCC)CCl	No_6_467;4/000000065;InChI=1S/C13H20ClNO2/c1-2-4-13(7-14)15-8-11(5-3-6-16)12(9-15)10-17/h3,5,8-9,13,16-17H,2,4,6-7,10H2,1H3/b5-3+/t13-/m1/s1;C13H20NO2Cl;257;1.88;4.02;3.40;3.58;-170
NC(=O)Nc1c(ccc(c1)C/C=C/CCl)NC(=O)[C@H]1NC=CN1	No_7_677;4/000000183;InChI=1S/C15H18ClN5O2/c16-6-2-1-3-10-4-5-11(12(9-10)21-15(17)23)20-14(22)13-18-7-8-19-13/h1-2,4-5,7-9,13,18-19H,3,6H2,(H,20,22)(H3,17,21,23)/b2-1+;C15H18N5O2Cl;335;0.62;4.17;4.34;6.77;-170
OC(=O)Cc1cc(NC(=O)N)cc(c1)COC(=O)CC(=C)C	No_4_327;4/000000275;InChI=1S/C15H18N2O5/c1-9(2)3-14(20)22-8-11-4-10(7-13(18)19)5-12(6-11)17-15(16)21/h4-6H,1,3,7-8H2,2H3,(H,18,19)(H3,16,17,21);C15H18N2O5;306;0.04;4.23;5.08;5.09;-80
O=C(Nc1cc(cc(c1)CN)/C=C/C[NH2+][C@@H]1C=CC=CC1)N	No_4_273;4/000000270;InChI=1S/C17H22N4O/c18-12-14-9-13(10-16(11-14)21-17(19)22)5-4-8-20-15-6-2-1-3-7-15/h1-6,9-11,15,20H,7-8,12,18H2,(H3,19,21,22)/p+1/b5-4+/t15-/m1/s1;C17H23N4O;299;0.56;4.09;5.20;6.77;-150
O=C(Nc1cc(C=C)cc(c1)[C@H](CBr)N)N	No_3_138;4/000000110;InChI=1S/C11H14BrN3O/c1-2-7-3-8(10(13)6-12)5-9(4-7)15-11(14)16/h2-5,10H,1,6,13H2,(H3,14,15,16)/t10-/m0/s1;C11H14N3OBr;284;1.24;4.20;5.81;3.58;-150
Oc1ccc(c(c1)NC(=O)N)/C=C/Cc1cocc1	No_2_445;4/000000166;InChI=1S/C14H14N2O3/c15-14(18)16-13-8-12(17)5-4-11(13)3-1-2-10-6-7-19-9-10/h1,3-9,17H,2H2,(H3,15,16,18)/b3-1+;C14H14N2O3;258;0.95;4.04;2.43;3.58;-60
OC(=O)Cc1cc(NC(=O)N)cc(c1)C=C	No_4_49;4/000000251;InChI=1S/C11H12N2O3/c1-2-7-3-8(6-10(14)15)5-9(4-7)13-11(12)16/h2-5H,1,6H2,(H,14,15)(H3,12,13,16);C11H12N2O3;220;0.34;4.70;2.76;3.58;0
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CO	No_2_22;4/000000021;InChI=1S/C12H14N2O4/c13-12(18)14-10-4-3-8(2-1-5-15)9(6-10)7-11(16)17/h1-4,6,15H,5,7H2,(H,16,17)(H3,13,14,18)/b2-1+;C12H14N2O4;250;-0.38;4.35;2.39;5.09;0
Oc1ccc(c(c1)NC(=O)N)/C=C/CC(CO)(F)F	No_7_611;4/000000181;InChI=1S/C12H14F2N2O3/c13-12(14,7-17)5-1-2-8-3-4-9(18)6-10(8)16-11(15)19/h1-4,6,17-18H,5,7H2,(H3,15,16,19)/b2-1+;C12H14N2O3F2;272;0.68;4.03;2.85;3.58;-190
OC(=O)Cc1cc(ccc1CCNCc1cnoc1)NC(=O)N	No_4_252;4/000000266;InChI=1S/C15H18N4O4/c16-15(22)19-13-2-1-11(12(5-13)6-14(20)21)3-4-17-7-10-8-18-23-9-10/h1-2,5,8-9,17H,3-4,6-7H2,(H,20,21)(H3,16,19,22);C15H18N4O4;318;-0.15;4.77;4.15;5.09;0
OC(=O)[C@@H](C)c1cc(NC(=O)N)cc(c1)CF	No_4_136;4/000000262;InChI=1S/C11H13FN2O3/c1-6(10(15)16)8-2-7(5-12)3-9(4-8)14-11(13)17/h2-4,6H,5H2,1H3,(H,15,16)(H3,13,14,17)/t6-/m0/s1;C11H13N2O3F;240;0.37;5.03;5.48;4.69;-170
O[C@H](CO)c1cc(NC(=O)N)cc(c1)CCBr	No_3_162;4/000000111;InChI=1S/C11H15BrN2O3/c12-2-1-7-3-8(10(16)6-15)5-9(4-7)14-11(13)17/h3-5,10,15-16H,1-2,6H2,(H3,13,14,17)/t10-/m1/s1;C11H15N2O3Br;303;0.14;4.65;4.26;14.50;-150
Oc1ccc(c(c1)NC(=O)N)/C=C/[C@@H](CN)OC	No_3_30;4/000000326;InChI=1S/C12H17N3O3/c1-18-10(7-13)5-3-8-2-4-9(16)6-11(8)15-12(14)17/h2-6,10,16H,7,13H2,1H3,(H3,14,15,17)/b5-3+/t10-/m0/s1;C12H17N3O3;251;-0.37;4.11;3.93;3.58;-190
OC(=O)Cc1cc(NC(=O)N)cc(c1)CF	No_4_36;4/000000242;InChI=1S/C10H11FN2O3/c11-5-7-1-6(4-9(14)15)2-8(3-7)13-10(12)16/h1-3H,4-5H2,(H,14,15)(H3,12,13,16);C10H11N2O3F;226;0.15;4.61;3.53;3.58;0
OC(=O)Cc1cc(NC(=O)N)cc(c1)C	No_3_26;4/000000098;InChI=1S/C10H12N2O3/c1-6-2-7(5-9(13)14)4-8(3-6)12-10(11)15/h2-4H,5H2,1H3,(H,13,14)(H3,11,12,15);C10H12N2O3;208;0.05;4.60;3.18;3.58;-20
OC(=O)Cc1cc(NC(=O)N)ccc1	No_1_3;4/000000002;InChI=1S/C9H10N2O3/c10-9(14)11-7-3-1-2-6(4-7)5-8(12)13/h1-4H,5H2,(H,12,13)(H3,10,11,14);C9H10N2O3;194;-0.17;4.45;2.79;2.22;0
OC(=O)Cc1cc(NC(=O)N)ccc1	No_1_5;4/000000003;InChI=1S/C9H10N2O3/c10-9(14)11-7-3-1-2-6(4-7)5-8(12)13/h1-4H,5H2,(H,12,13)(H3,10,11,14);C9H10N2O3;194;-0.17;4.22;2.91;2.22;0
OC(=O)Cc1cc(NC(=O)N)cc(c1)CF	No_2_195;4/000000029;InChI=1S/C10H11FN2O3/c11-5-7-1-6(4-9(14)15)2-8(3-7)13-10(12)16/h1-3H,4-5H2,(H,14,15)(H3,12,13,16);C10H11N2O3F;226;0.15;4.61;3.81;3.58;0
Oc1ccc(c(c1)NC(=O)N)/C=C/Cc1n[nH]c(=O)o1	No_2_223;4/000000158;InChI=1S/C12H12N4O4/c13-11(18)14-9-6-8(17)5-4-7(9)2-1-3-10-15-16-12(19)20-10/h1-2,4-6,17H,3H2,(H,16,19)(H3,13,14,18)/b2-1+;C12H12N4O4;276;0.70;4.13;2.37;3.58;-60
OCc1cc(c([nH]1)CN)c1cnc([nH]1)CCCCCC	No_6_226;4/000000194;InChI=1S/C15H24N4O/c1-2-3-4-5-6-15-17-9-14(19-15)12-7-11(10-20)18-13(12)8-16/h7,9,18,20H,2-6,8,10,16H2,1H3,(H,17,19);C15H24N4O;276;0.88;4.07;2.57;19.90;-120
OCCc1cc(NC(=O)N)cc(c1)CCCCl	No_2_415;4/000000039;InChI=1S/C12H17ClN2O2/c13-4-1-2-9-6-10(3-5-16)8-11(7-9)15-12(14)17/h6-8,16H,1-5H2,(H3,14,15,17);C12H17N2O2Cl;256;0.92;4.16;4.83;3.58;0
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CO	No_4_437;4/000000298;InChI=1S/C12H14N2O4/c13-12(18)14-10-4-3-8(2-1-5-15)9(6-10)7-11(16)17/h1-4,6,15H,5,7H2,(H,16,17)(H3,13,14,18)/b2-1+;C12H14N2O4;250;-0.38;4.04;2.07;5.09;0
OC(=O)Cc1cc(NC(=O)N)cc(c1)CF	No_3_18;4/000000093;InChI=1S/C10H11FN2O3/c11-5-7-1-6(4-9(14)15)2-8(3-7)13-10(12)16/h1-3H,4-5H2,(H,14,15)(H3,12,13,16);C10H11N2O3F;226;0.15;4.65;3.35;3.58;0
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/COCCl	No_3_64;4/000000107;InChI=1S/C13H15ClN2O4/c14-8-20-5-1-2-9-3-4-11(16-13(15)19)6-10(9)7-12(17)18/h1-4,6H,5,7-8H2,(H,17,18)(H3,15,16,19)/b2-1+;C13H15N2O4Cl;298;0.54;4.68;3.57;5.09;0
OC(=O)Cc1cc(NC(=O)N)cc(c1)C	No_2_658;4/000000056;InChI=1S/C10H12N2O3/c1-6-2-7(5-9(13)14)4-8(3-6)12-10(11)15/h2-4H,5H2,1H3,(H,13,14)(H3,11,12,15);C10H12N2O3;208;0.05;4.60;3.18;3.58;-20
OC(=O)Cc1c(OCC)ccc(c1)NC(=O)N	No_4_106;4/000000258;InChI=1S/C11H14N2O4/c1-2-17-9-4-3-8(13-11(12)16)5-7(9)6-10(14)15/h3-5H,2,6H2,1H3,(H,14,15)(H3,12,13,16);C11H14N2O4;238;0.16;4.72;2.94;2.22;-20
OC(=O)Cc1cc(NC(=O)N)cc(c1)CF	No_2_196;4/000000030;InChI=1S/C10H11FN2O3/c11-5-7-1-6(4-9(14)15)2-8(3-7)13-10(12)16/h1-3H,4-5H2,(H,14,15)(H3,12,13,16);C10H11N2O3F;226;0.15;4.44;4.73;3.58;0
OC(=O)[C@@H](C)c1cc(NC(=O)N)cc(c1)CF	No_4_137;4/000000263;InChI=1S/C11H13FN2O3/c1-6(10(15)16)8-2-7(5-12)3-9(4-8)14-11(13)17/h2-4,6H,5H2,1H3,(H,15,16)(H3,13,14,17)/t6-/m0/s1;C11H13N2O3F;240;0.37;5.11;5.33;4.69;-170
O=C(Nc1cc(/C=C/CNC[C@H]2C=CCC2)cc(c1)CN)N	No_4_530;4/000000312;InChI=1S/C17H24N4O/c18-11-15-8-14(9-16(10-15)21-17(19)22)6-3-7-20-12-13-4-1-2-5-13/h1,3-4,6,8-10,13,20H,2,5,7,11-12,18H2,(H3,19,21,22)/b6-3+/t13-/m0/s1;C17H24N4O;300;0.57;4.52;4.29;6.77;-150
OC(=O)[C@H](c1cc(NC(=O)N)ccc1)C=C	No_3_34;4/000000101;InChI=1S/C11H12N2O3/c1-2-9(10(14)15)7-4-3-5-8(6-7)13-11(12)16/h2-6,9H,1H2,(H,14,15)(H3,12,13,16)/t9-/m0/s1;C11H12N2O3;220;0.40;4.99;5.91;4.81;-150
OC/C=C/c1cn(cc1CO)[C@H](CCC)CCl	No_6_466;4/000000064;InChI=1S/C13H20ClNO2/c1-2-4-13(7-14)15-8-11(5-3-6-16)12(9-15)10-17/h3,5,8-9,13,16-17H,2,4,6-7,10H2,1H3/b5-3+/t13-/m1/s1;C13H20NO2Cl;257;1.88;4.27;2.95;3.58;-170
O=C(Nc1cc(cc(c1)CN)/C=C/Cc1c[nH]c2c1N=CNC2)N	No_3_663;4/000000153;InChI=1S/C17H20N6O/c18-7-12-4-11(5-14(6-12)23-17(19)24)2-1-3-13-8-21-15-9-20-10-22-16(13)15/h1-2,4-6,8,10,21H,3,7,9,18H2,(H,20,22)(H3,19,23,24)/b2-1+;C17H20N6O;324;-0.01;4.48;4.86;6.58;-40
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/COC	No_2_476;4/000000040;InChI=1S/C13H16N2O4/c1-19-6-2-3-9-4-5-11(15-13(14)18)7-10(9)8-12(16)17/h2-5,7H,6,8H2,1H3,(H,16,17)(H3,14,15,18)/b3-2+;C13H16N2O4;264;0.14;4.45;3.06;17.20;-20
O=C(COCCl)c1ncc([nH]1)c1cc([nH]c1C)C(=O)C	No_3_508;4/000000340;InChI=1S/C13H14ClN3O3/c1-7-9(3-10(16-7)8(2)18)11-4-15-13(17-11)12(19)5-20-6-14/h3-4,16H,5-6H2,1-2H3,(H,15,17);C13H14N3O3Cl;295;0.46;4.04;2.37;24.30;-200
O=C(Nc1cc(/C=C/CNCCBr)cc(c1)CN)N	No_4_460;4/000000300;InChI=1S/C13H19BrN4O/c14-3-5-17-4-1-2-10-6-11(9-15)8-12(7-10)18-13(16)19/h1-2,6-8,17H,3-5,9,15H2,(H3,16,18,19)/b2-1+;C13H19N4OBr;327;0.74;4.06;3.42;5.09;0
O=C(Nc1cc(cc(c1)CCC/C=C/Nc1cnccc1)CCl)N	No_4_528;4/000000310;InChI=1S/C18H21ClN4O/c19-12-15-9-14(10-17(11-15)23-18(20)24)5-2-1-3-8-22-16-6-4-7-21-13-16/h3-4,6-11,13,22H,1-2,5,12H2,(H3,20,23,24)/b8-3+;C18H21N4OCl;344;2.08;4.37;6.00;6.58;0
O=C(Nc1cc(/C=C/CNC[C@H]2C=CCC2)cc(c1)CN)N	No_4_531;4/000000313;InChI=1S/C17H24N4O/c18-11-15-8-14(9-16(10-15)21-17(19)22)6-3-7-20-12-13-4-1-2-5-13/h1,3-4,6,8-10,13,20H,2,5,7,11-12,18H2,(H3,19,21,22)/b6-3+/t13-/m0/s1;C17H24N4O;300;0.57;4.61;4.27;6.77;-150
C#C[C@H](CO)c1cc(NC(=O)N)ccc1	No_3_278;4/000000112;InChI=1S/C11H12N2O2/c1-2-8(7-14)9-4-3-5-10(6-9)13-11(12)15/h1,3-6,8,14H,7H2,(H3,12,13,15)/t8-/m1/s1;C11H12N2O2;204;-0.21;4.09;4.40;3.85;-170
OC(=O)Cc1cc(NC(=O)N)cc(c1)C=C	No_3_7;4/000000086;InChI=1S/C11H12N2O3/c1-2-7-3-8(6-10(14)15)5-9(4-7)13-11(12)16/h2-5H,1,6H2,(H,14,15)(H3,12,13,16);C11H12N2O3;220;0.34;4.79;3.96;3.58;0
C#C[C@H](CO)c1cc(NC(=O)N)ccc1	No_3_62;4/000000106;InChI=1S/C11H12N2O2/c1-2-8(7-14)9-4-3-5-10(6-9)13-11(12)15/h1,3-6,8,14H,7H2,(H3,12,13,15)/t8-/m1/s1;C11H12N2O2;204;-0.21;4.02;4.36;3.85;-150
O=C(Nc1cc(Br)cc(c1)CCC/C=C/Nc1cnccc1)N	No_4_441;4/000000299;InChI=1S/C17H19BrN4O/c18-14-9-13(10-16(11-14)22-17(19)23)5-2-1-3-8-21-15-6-4-7-20-12-15/h3-4,6-12,21H,1-2,5H2,(H3,19,22,23)/b8-3+;C17H19N4OBr;375;2.41;4.28;4.12;6.45;0
O=C(Nc1cc(C=C)cc(c1)[C@H](CF)N)N	No_4_166;4/000000264;InChI=1S/C11H14FN3O/c1-2-7-3-8(10(13)6-12)5-9(4-7)15-11(14)16/h2-5,10H,1,6,13H2,(H3,14,15,16)/t10-/m0/s1;C11H14N3OF;223;0.77;4.03;4.78;15.50;-150
OCc1c(c2cnc([nH]2)C(=O)CCl)cc([nH]1)COC	No_3_107;4/000000330;InChI=1S/C12H14ClN3O3/c1-19-6-7-2-8(10(5-17)15-7)9-4-14-12(16-9)11(18)3-13/h2,4,15,17H,3,5-6H2,1H3,(H,14,16);C12H14N3O3Cl;283;-0.36;4.24;3.34;22.70;-120
O=C(Nc1cc(/C=C/CNC[C@@H]2COCC2)cc(c1)CN)N	No_4_411;4/000000287;InChI=1S/C16H24N4O2/c17-9-14-6-12(7-15(8-14)20-16(18)21)2-1-4-19-10-13-3-5-22-11-13/h1-2,6-8,13,19H,3-5,9-11,17H2,(H3,18,20,21)/b2-1+/t13-/m1/s1;C16H24N4O2;304;-0.18;4.26;4.58;6.77;-150
OC(=O)Cc1cc(NC(=O)N)cc(c1)C=C	No_3_6;4/000000085;InChI=1S/C11H12N2O3/c1-2-7-3-8(6-10(14)15)5-9(4-7)13-11(12)16/h2-5H,1,6H2,(H,14,15)(H3,12,13,16);C11H12N2O3;220;0.34;4.73;4.26;3.58;0
OCCc1cc(NC(=O)N)cc(c1)CCCCl	No_3_29;4/000000099;InChI=1S/C12H17ClN2O2/c13-4-1-2-9-6-10(3-5-16)8-11(7-9)15-12(14)17/h6-8,16H,1-5H2,(H3,14,15,17);C12H17N2O2Cl;256;0.92;4.08;4.60;3.58;0
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CCl	No_4_337;4/000000279;InChI=1S/C12H13ClN2O3/c13-5-1-2-8-3-4-10(15-12(14)18)6-9(8)7-11(16)17/h1-4,6H,5,7H2,(H,16,17)(H3,14,15,18)/b2-1+;C12H13N2O3Cl;268;0.89;5.13;2.01;5.09;0
OC/C=C/c1cn(cc1CO)C[C@H](CC)[NH3+]	No_6_161;4/000000060;InChI=1S/C12H20N2O2/c1-2-12(13)8-14-6-10(4-3-5-15)11(7-14)9-16/h3-4,6-7,12,15-16H,2,5,8-9,13H2,1H3/p+1/b4-3+/t12-/m0/s1;C12H21N2O2;225;-0.02;4.11;3.12;3.58;-170
OC(=O)Cc1cc(ccc1C)NC(=O)N	No_3_4;4/000000083;InChI=1S/C10H12N2O3/c1-6-2-3-8(12-10(11)15)4-7(6)5-9(13)14/h2-4H,5H2,1H3,(H,13,14)(H3,11,12,15);C10H12N2O3;208;0.05;4.67;3.13;2.22;-20
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CO	No_1_721;4/000000009;InChI=1S/C12H14N2O4/c13-12(18)14-10-4-3-8(2-1-5-15)9(6-10)7-11(16)17/h1-4,6,15H,5,7H2,(H,16,17)(H3,13,14,18)/b2-1+;C12H14N2O4;250;-0.38;4.55;2.15;5.09;0
c1nc([nH]c1c1cc([nH]c1CN)/C=C/C)CCCC	No_5_480;4/000000073;InChI=1S/C15H22N4/c1-3-5-7-15-17-10-14(19-15)12-8-11(6-4-2)18-13(12)9-16/h4,6,8,10,18H,3,5,7,9,16H2,1-2H3,(H,17,19)/b6-4+;C15H22N4;258;1.81;4.13;2.88;19.70;-200
OC(=O)Cc1cc(NC(=O)N)cc(c1)CF	No_3_16;4/000000091;InChI=1S/C10H11FN2O3/c11-5-7-1-6(4-9(14)15)2-8(3-7)13-10(12)16/h1-3H,4-5H2,(H,14,15)(H3,12,13,16);C10H11N2O3F;226;0.15;4.61;3.81;3.58;0
OC(=O)Cc1cc(NC(=O)N)ccc1	No_2_3;4/000000018;InChI=1S/C9H10N2O3/c10-9(14)11-7-3-1-2-6(4-7)5-8(12)13/h1-4H,5H2,(H,12,13)(H3,10,11,14);C9H10N2O3;194;-0.17;4.22;2.91;2.22;0
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CO	No_4_435;4/000000296;InChI=1S/C12H14N2O4/c13-12(18)14-10-4-3-8(2-1-5-15)9(6-10)7-11(16)17/h1-4,6,15H,5,7H2,(H,16,17)(H3,13,14,18)/b2-1+;C12H14N2O4;250;-0.38;4.93;2.11;5.09;0
OC(=O)Cc1cc(NC(=O)N)ccc1	No_4_4;4/000000224;InChI=1S/C9H10N2O3/c10-9(14)11-7-3-1-2-6(4-7)5-8(12)13/h1-4H,5H2,(H,12,13)(H3,10,11,14);C9H10N2O3;194;-0.17;4.45;2.79;2.22;0
OCc1cc(c([nH]1)CF)c1cnc([nH]1)C(=O)CC=C	No_3_497;4/000000339;InChI=1S/C13H14FN3O2/c1-2-3-12(19)13-15-6-11(17-13)9-4-8(7-18)16-10(9)5-14/h2,4,6,16,18H,1,3,5,7H2,(H,15,17);C13H14N3O2F;263;0.45;4.18;2.80;24.10;-100
O[C@H](CN)/C=C/c1ccc(cc1NC(=O)N)Br	No_6_561;4/000000067;InChI=1S/C11H14BrN3O2/c12-8-3-1-7(2-4-9(16)6-13)10(5-8)15-11(14)17/h1-5,9,16H,6,13H2,(H3,14,15,17)/b4-2+/t9-/m0/s1;C11H14N3O2Br;300;0.31;4.14;2.93;3.58;-170
O=C(Nc1cc(/C=C/CNC[C@@H]2COCC2)cc(c1)CN)N	No_4_413;4/000000289;InChI=1S/C16H24N4O2/c17-9-14-6-12(7-15(8-14)20-16(18)21)2-1-4-19-10-13-3-5-22-11-13/h1-2,6-8,13,19H,3-5,9-11,17H2,(H3,18,20,21)/b2-1+/t13-/m1/s1;C16H24N4O2;304;-0.18;4.20;4.99;6.77;-150
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CCl	No_4_336;4/000000278;InChI=1S/C12H13ClN2O3/c13-5-1-2-8-3-4-10(15-12(14)18)6-9(8)7-11(16)17/h1-4,6H,5,7H2,(H,16,17)(H3,14,15,18)/b2-1+;C12H13N2O3Cl;268;0.89;5.13;1.95;5.09;0
C=Cc1[nH]c(cc1c1cnc([nH]1)CF)C(=O)C	No_4_137;4/000000013;InChI=1S/C12H12FN3O/c1-3-9-8(4-10(15-9)7(2)17)11-6-14-12(5-13)16-11/h3-4,6,15H,1,5H2,2H3,(H,14,16);C12H12N3OF;233;1.35;4.01;4.40;21.40;-140
O=C(Nc1cc(cc(c1)CN)/C=C/CC1=CNCC=N1)N	No_3_363;4/000000119;InChI=1S/C15H19N5O/c16-9-12-6-11(7-14(8-12)20-15(17)21)2-1-3-13-10-18-4-5-19-13/h1-2,5-8,10,18H,3-4,9,16H2,(H3,17,20,21)/b2-1+;C15H19N5O;285;-0.08;4.15;3.68;5.09;0
OC(=O)Cc1cc(ccc1C)NC(=O)N	No_4_1;4/000000221;InChI=1S/C10H12N2O3/c1-6-2-3-8(12-10(11)15)4-7(6)5-9(13)14/h2-4H,5H2,1H3,(H,13,14)(H3,11,12,15);C10H12N2O3;208;0.05;4.67;3.13;2.22;-20
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/COCCl	No_2_545;4/000000046;InChI=1S/C13H15ClN2O4/c14-8-20-5-1-2-9-3-4-11(16-13(15)19)6-10(9)7-12(17)18/h1-4,6H,5,7-8H2,(H,17,18)(H3,15,16,19)/b2-1+;C13H15N2O4Cl;298;0.54;4.74;3.34;5.09;0
c1nc([nH]c1c1cc([nH]c1CN)/C=C/C)CCCCCCC	No_6_369;4/000000200;InChI=1S/C18H28N4/c1-3-5-6-7-8-10-18-20-13-17(22-18)15-11-14(9-4-2)21-16(15)12-19/h4,9,11,13,21H,3,5-8,10,12,19H2,1-2H3,(H,20,22)/b9-4+;C18H28N4;300;2.88;4.50;3.24;21.50;-200
OC(=O)Cc1cc(NC(=O)N)cc(c1)[C@@H](C)F	No_3_447;4/000000143;InChI=1S/C11H13FN2O3/c1-6(12)8-2-7(4-10(15)16)3-9(5-8)14-11(13)17/h2-3,5-6H,4H2,1H3,(H,15,16)(H3,13,14,17)/t6-/m1/s1;C11H13N2O3F;240;0.44;4.98;5.11;3.58;-170
Oc1ccc(c(c1)NC(=O)N)/C=C/Cc1cocc1	No_3_48;4/000000329;InChI=1S/C14H14N2O3/c15-14(18)16-13-8-12(17)5-4-11(13)3-1-2-10-6-7-19-9-10/h1,3-9,17H,2H2,(H3,15,16,18)/b3-1+;C14H14N2O3;258;0.95;4.04;2.43;3.58;-60
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/CO	No_4_434;4/000000295;InChI=1S/C12H14N2O4/c13-12(18)14-10-4-3-8(2-1-5-15)9(6-10)7-11(16)17/h1-4,6,15H,5,7H2,(H,16,17)(H3,13,14,18)/b2-1+;C12H14N2O4;250;-0.38;4.93;2.12;5.09;0
OC(=O)Cc1cc(NC(=O)N)ccc1	No_2_2;4/000000017;InChI=1S/C9H10N2O3/c10-9(14)11-7-3-1-2-6(4-7)5-8(12)13/h1-4H,5H2,(H,12,13)(H3,10,11,14);C9H10N2O3;194;-0.17;4.45;2.79;2.22;0
c1nc([nH]c1c1cc([nH]c1CN)/C=C/C)CCCCCCC	No_6_370;4/000000201;InChI=1S/C18H28N4/c1-3-5-6-7-8-10-18-20-13-17(22-18)15-11-14(9-4-2)21-16(15)12-19/h4,9,11,13,21H,3,5-8,10,12,19H2,1-2H3,(H,20,22)/b9-4+;C18H28N4;300;2.88;4.61;3.08;21.50;-200
O=C(Nc1cc(/C=C/CNC[C@H]2C=CCC2)cc(c1)CN)N	No_4_536;4/000000318;InChI=1S/C17H24N4O/c18-11-15-8-14(9-16(10-15)21-17(19)22)6-3-7-20-12-13-4-1-2-5-13/h1,3-4,6,8-10,13,20H,2,5,7,11-12,18H2,(H3,19,21,22)/b6-3+/t13-/m0/s1;C17H24N4O;300;0.57;4.21;4.90;6.77;-150
OC/C=C/c1cn(cc1CO)CC[C@H](C)Oc1[nH]ncc1	No_6_323;4/000000061;InChI=1S/C15H21N3O3/c1-12(21-15-4-6-16-17-15)5-7-18-9-13(3-2-8-19)14(10-18)11-20/h2-4,6,9-10,12,19-20H,5,7-8,11H2,1H3,(H,16,17)/b3-2+/t12-/m0/s1;C15H21N3O3;291;1.75;4.21;4.07;4.94;-170
[nH]1ncc(n1)C1=CC(=COC1)C(=O)Nc1cccc(c1)Cl	No_2_298;4/000000345;InChI=1S/C14H11ClN4O2/c15-11-2-1-3-12(5-11)17-14(20)10-4-9(7-21-8-10)13-6-16-19-18-13/h1-6,8H,7H2,(H,17,20)(H,16,18,19);C14H11N4O2Cl;302;2.96;4.81;3.61;23.90;-120
OC(=O)Cc1cc(NC(=O)N)cc(c1)C	No_3_22;4/000000095;InChI=1S/C10H12N2O3/c1-6-2-7(5-9(13)14)4-8(3-6)12-10(11)15/h2-4H,5H2,1H3,(H,13,14)(H3,11,12,15);C10H12N2O3;208;0.05;4.58;3.51;3.58;-20
