SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)CC#Cc1ccc(c2c1[nH]cn2)I,12/000000036,"InChI=1S/C11H7IN2O2/c12-8-5-4-7(2-1-3-9(15)16)10-11(8)14-6-13-10/h4-6H,3H2,(H,13,14)(H,15,16)",C11H7N2O2I,326,2.47,4.49,5.4,17.2,-40,3.3378684753483325,1
NC(=[NH2])Nc1cncc(c1)Nc1nc(ncc1)NC/C=C\C,12/000000002,"InChI=1S/C14H19N8/c1-2-3-5-18-14-19-6-4-12(22-14)20-10-7-11(9-17-8-10)21-13(15)16/h2-4,6-9,21H,5,15-16H2,1H3,(H2,18,19,20,22)/b3-2-",C14H18N8,298,0.56,4.49,3.07,18.7,-20,,0
OC(=O)c1ccn(c1C#CCO)C[C@H](C)Cl,6/000000046,"InChI=1S/C11H12ClNO3/c1-8(12)7-13-5-4-9(11(15)16)10(13)3-2-6-14/h4-5,8,14H,6-7H2,1H3,(H,15,16)/t8-/m0/s1",C11H12NO3Cl,241,1.58,4.48,6.64,3.85,-170,3.7321767698812867,1
O[C@H](C)/C=C(/c1n[nH]nc1)\c1nc(cnc1)NCCl,29/000000032,"InChI=1S/C11H13ClN6O/c1-7(19)2-8(10-4-15-18-17-10)9-3-13-5-11(16-9)14-6-12/h2-5,7,19H,6H2,1H3,(H,14,16)(H,15,17,18)/b8-2+/t7-/m1/s1",C11H13N6OCl,280,1.62,4.47,5.73,20.9,-170,4.095418681110543,0
Oc1c(ccc(c1)C)C(=O)C1=C(C(=O)NC1=O)/C=C/1\N=COC1=O,23/000000075,"InChI=1S/C16H10N2O6/c1-7-2-3-8(11(19)4-7)13(20)12-9(14(21)18-15(12)22)5-10-16(23)24-6-17-10/h2-6,19H,1H3,(H,18,21,22)/b10-5-",C16H10N2O6,326,0.34,4.46,5.07,4.94,-20,3.383904831962046,1
O=C(Nc1cc(/C=C/CNC[C@H]2CNCCC2)cc(c1)CN)N,4/000000269,"InChI=1S/C17H27N5O/c18-10-15-7-13(8-16(9-15)22-17(19)23)3-1-5-20-11-14-4-2-6-21-12-14/h1,3,7-9,14,20-21H,2,4-6,10-12,18H2,(H3,19,22,23)/b3-1+/t14-/m0/s1",C17H27N5O,317,-0.01,4.46,5.53,6.77,-150,3.215400885851234,1
Oc1ccc(c(c1)NC(=O)N)/C=C/Cc1ncn[nH]1,4/000000176,"InChI=1S/C12H13N5O2/c13-12(19)16-10-6-9(18)5-4-8(10)2-1-3-11-14-7-15-17-11/h1-2,4-7,18H,3H2,(H3,13,16,19)(H,14,15,17)/b2-1+",C12H13N5O2,259,0.27,4.45,2.33,3.58,-60,2.914330994806569,1
OC(=O)Cc1c(ccc(c1)NC(=O)N)/C=C/COC,4/000000040,"InChI=1S/C13H16N2O4/c1-19-6-2-3-9-4-5-11(15-13(14)18)7-10(9)8-12(16)17/h2-5,7H,6,8H2,1H3,(H,16,17)(H3,14,15,18)/b3-2+",C13H16N2O4,264,0.14,4.45,3.06,17.2,-20,2.470037700920967,1
OCc1cc(c([nH]1)CN)c1cnc([nH]1)CCCC,4/000000070,"InChI=1S/C13H20N4O/c1-2-3-4-13-15-7-12(17-13)10-5-9(8-18)16-11(10)6-14/h5,7,16,18H,2-4,6,8,14H2,1H3,(H,15,17)",C13H20N4O,248,0.17,4.44,2.75,18.7,-120,3.1150425753131827,1
N[C@@H](NCCCCCl)NCCCc1cc(oc(=O)c1)c1cnoc1,23/000000069,"InChI=1S/C16H23ClN4O3/c17-5-1-2-6-19-16(18)20-7-3-4-12-8-14(24-15(22)9-12)13-10-21-23-11-13/h8-11,16,19-20H,1-7,18H2",C16H21N4O3Cl,352,2.24,4.44,6.6,4.94,-120,3.758636878253858,1
Oc1c(cccc1C)/C(=C/C1=C(C(=O)OC1)c1nn[nH]n1)/C,5/000000005,"InChI=1S/C15H14N4O3/c1-8-4-3-5-11(13(8)20)9(2)6-10-7-22-15(21)12(10)14-16-18-19-17-14/h3-6,20H,7H2,1-2H3,(H,16,17,18,19)/b9-6+",C15H14N4O3,298,2.38,4.43,5.61,24.6,-160,3.19750822071033,1
O=C(Nc1cc(cc(c1)CN)/C=C/CC1=CNCC=N1)N,4/000000121,"InChI=1S/C15H19N5O/c16-9-12-6-11(7-14(8-12)20-15(17)21)2-1-3-13-10-18-4-5-19-13/h1-2,5-8,10,18H,3-4,9,16H2,(H3,17,20,21)/b2-1+",C15H19N5O,285,-0.08,4.42,4.34,5.09,0,3.4691674665860157,1
OCc1ccc(cc1)C/C(=C/[C@H]1OC(=O)CC1)/c1ncn[nH]1,6/000000009,"InChI=1S/C16H17N3O3/c20-9-12-3-1-11(2-4-12)7-13(16-17-10-18-19-16)8-14-5-6-15(21)22-14/h1-4,8,10,14,20H,5-7,9H2,(H,17,18,19)/b13-8-/t14-/m0/s1",C16H17N3O3,299,1.42,4.42,7.85,5.09,-150,3.4716295531061157,1
OC(=O)c1c[nH]c(c1C(=O)OC(=O)C)/C=C/C1NCNCN1,6/000000128,"InChI=1S/C13H16N4O5/c1-7(18)22-13(21)11-8(12(19)20)4-15-9(11)2-3-10-16-5-14-6-17-10/h2-4,10,14-17H,5-6H2,1H3,(H,19,20)/b3-2+",C13H16N4O5,308,-0.26,4.42,4.41,5.09,-170,3.8994131428109693,1
OC(=O)CC[C@@H]1C=C(OC(=C1)CO)C(=O)NCC,20/000000145,"InChI=1S/C12H17NO5/c1-2-13-12(17)10-6-8(3-4-11(15)16)5-9(7-14)18-10/h5-6,8,14H,2-4,7H2,1H3,(H,13,17)(H,15,16)/t8-/m0/s1",C12H17NO5,255,-0.09,4.41,1.02,5.24,-190,3.819736707272341,1
OC(=O)c1cc(cc(c1)CO)C/C=C/CC,13/000000001,"InChI=1S/C13H16O3/c1-2-3-4-5-10-6-11(9-14)8-12(7-10)13(15)16/h3-4,6-8,14H,2,5,9H2,1H3,(H,15,16)/b4-3+",C13H16O3,220,2.05,4.41,2.87,3.58,-40,2.399045328495186,1
