SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
Sc1nnc([nH]1)/C=C/C1=C(C(=O)C1=O)/C=C/[C@H](C)Cl	No_1_540;1/000000001;InChI=1S/C12H10ClN3O2S/c1-6(13)2-3-7-8(11(18)10(7)17)4-5-9-14-12(19)16-15-9/h2-6H,1H3,(H2,14,15,16,19)/b3-2+,5-4+/t6-/m0/s1;C12H10N3O2SCl;295;2.33;4.02;3.36;3.58;-190
OC(=O)c1cc2c([nH]1)c(=O)[nH]cc2CNOCC=C	No_3_140;3/000000005;InChI=1S/C12H13N3O4/c1-2-3-19-14-6-7-5-13-11(16)10-8(7)4-9(15-10)12(17)18/h2,4-5,14-15H,1,3,6H2,(H,13,16)(H,17,18);C12H13N3O4;263;0.50;4.04;4.53;22.60;-40
OC(=O)c1oc(c(n1)CN)C/C=C/[C@H](C=C)c1sccn1	No_3_637;3/000000141;InChI=1S/C14H15N3O3S/c1-2-9(13-16-6-7-21-13)4-3-5-11-10(8-15)17-12(20-11)14(18)19/h2-4,6-7,9H,1,5,8,15H2,(H,18,19)/b4-3+/t9-/m0/s1;C14H15N3O3S;305;0.21;4.02;6.20;5.21;-150
OC(=O)c1nc(c(o1)C/C=C/[C@@H](c1cnn[nH]1)C=C)CN	No_3_308;3/000000081;InChI=1S/C13H15N5O3/c1-2-8(10-7-15-18-17-10)4-3-5-11-9(6-14)16-12(21-11)13(19)20/h2-4,7-8H,1,5-6,14H2,(H,19,20)(H,15,17,18)/b4-3+/t8-/m0/s1;C13H15N5O3;289;-0.22;4.00;6.87;5.21;-150
OCc1nc(oc1CC/C=C/CC(=C)NC)C(=O)O	No_4_496;3/000000285;InChI=1S/C13H18N2O4/c1-9(14-2)6-4-3-5-7-11-10(8-16)15-12(19-11)13(17)18/h3-4,14,16H,1,5-8H2,2H3,(H,17,18)/b4-3+;C13H18N2O4;266;0.22;4.05;2.54;3.85;-110
OC(=O)c1oc(c(c1)C/C=C/CNC(=S)N)N(=O)=O	No_5_486;3/000000217;InChI=1S/C10H11N3O5S/c11-10(19)12-4-2-1-3-6-5-7(9(14)15)18-8(6)13(16)17/h1-2,5H,3-4H2,(H,14,15)(H3,11,12,19)/b2-1+;C10H11N3O5S;285;0.42;4.28;4.37;4.16;-90
OC(=O)c1coc(c1)C(=S)COC[C@H](c1c[nH]c(c1)CO)S	No_5_285;3/000000186;InChI=1S/C14H15NO5S2/c16-4-10-1-8(3-15-10)12(21)6-19-7-13(22)11-2-9(5-20-11)14(17)18/h1-3,5,12,15-16,21H,4,6-7H2,(H,17,18)/t12-/m1/s1;C14H15NO5S2;341;-0.21;4.10;7.08;5.39;-150
OCc1nc(oc1C/C=C/CBr)C(=O)O	No_4_543;3/000000297;InChI=1S/C9H10BrNO4/c10-4-2-1-3-7-6(5-12)11-8(15-7)9(13)14/h1-2,12H,3-5H2,(H,13,14)/b2-1+;C9H10NO4Br;276;0.55;4.18;1.32;3.85;0
OC(=O)c1cc2c([nH]1)c(=O)[nH]cc2CNOCC=C	No_3_147;3/000000011;InChI=1S/C12H13N3O4/c1-2-3-19-14-6-7-5-13-11(16)10-8(7)4-9(15-10)12(17)18/h2,4-5,14-15H,1,3,6H2,(H,13,16)(H,17,18);C12H13N3O4;263;0.50;4.22;6.16;22.60;-40
O[C@H](c1nnc[nH]1)c1nc(oc1)C(=O)O	No_4_510;3/000000288;InChI=1S/C7H6N4O4/c12-4(5-8-2-9-11-5)3-1-15-6(10-3)7(13)14/h1-2,4,12H,(H,13,14)(H,8,9,11)/t4-/m0/s1;C7H6N4O4;210;-0.39;4.35;6.50;2.22;-150
OCc1nc(oc1CC/C=C/C/C=C/C)C(=O)O	No_4_575;3/000000311;InChI=1S/C13H17NO4/c1-2-3-4-5-6-7-8-11-10(9-15)14-12(18-11)13(16)17/h2-3,5-6,15H,4,7-9H2,1H3,(H,16,17)/b3-2+,6-5+;C13H17NO4;251;0.89;4.28;3.81;3.85;-80
OC(=O)c1coc(c1)C(=S)COC[C@H](c1c[nH]c(c1)CO)S	No_5_278;3/000000179;InChI=1S/C14H15NO5S2/c16-4-10-1-8(3-15-10)12(21)6-19-7-13(22)11-2-9(5-20-11)14(17)18/h1-3,5,12,15-16,21H,4,6-7H2,(H,17,18)/t12-/m1/s1;C14H15NO5S2;341;-0.21;4.10;7.90;5.39;-150
Oc1cc2[nH][nH]c(=O)c2cc1CO	No_2_53;3/000000142;InChI=1S/C8H8N2O3/c11-3-4-1-5-6(2-7(4)12)9-10-8(5)13/h1-2,11-12H,3H2,(H2,9,10,13);C8H8N2O3;180;0.13;4.19;2.98;11.40;-40
Sc1ccc(cc1CCC1=NCON1)c1cnccc1	No_3_247;3/000000320;InChI=1S/C15H15N3OS/c20-14-5-3-11(13-2-1-7-16-9-13)8-12(14)4-6-15-17-10-19-18-15/h1-3,5,7-9,20H,4,6,10H2,(H,17,18);C15H15N3OS;285;3.13;4.11;6.05;15.80;-160
SC/C=C/Cc1cc(oc1N(=O)=O)C(=O)O	No_5_445;3/000000213;InChI=1S/C9H9NO5S/c11-9(12)7-5-6(3-1-2-4-16)8(15-7)10(13)14/h1-2,5,16H,3-4H2,(H,11,12)/b2-1+;C9H9NO5S;243;1.44;4.49;3.66;2.48;0
N=C1CCC[C@H]1/C=C/CCc1oc(nc1CO)C(=O)O	No_4_388;3/000000265;InChI=1S/C14H18N2O4/c15-10-6-3-5-9(10)4-1-2-7-12-11(8-17)16-13(20-12)14(18)19/h1,4,9,15,17H,2-3,5-8H2,(H,18,19)/b4-1+,15-10+/t9-/m1/s1;C14H18N2O4;278;0.14;4.31;5.12;3.85;-150
