SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)c1cc(OC(=O)/C=C/C[C@@H]2OC=COC2)c(c(c1)ON)Br,12/000001238,"InChI=1S/C15H14BrNO7/c16-14-11(6-9(15(19)20)7-12(14)24-17)23-13(18)3-1-2-10-8-21-4-5-22-10/h1,3-7,10H,2,8,17H2,(H,19,20)/b3-1+/t10-/m0/s1",C15H14NO7Br,400.0,1.62,5.11,6.46,23.7,-150.0,3.9380617072859554,1
OC(=O)c1cc(ON)c(c(c1)C#CCCCC=C)Br,12/000001336,"InChI=1S/C14H14BrNO3/c1-2-3-4-5-6-7-10-8-11(14(17)18)9-12(19-16)13(10)15/h2,8-9H,1,3-5,16H2,(H,17,18)",C14H14NO3Br,324.0,2.82,5.11,5.19,18.7,0.0,3.1288536772523283,1
O=Nc1cc(F)c(cc1c1c(C=C)[nH]c(c1)C(=O)OC)O,6/000000149,"InChI=1S/C14H11FN2O4/c1-3-10-7(4-12(16-10)14(19)21-2)8-5-13(18)9(15)6-11(8)17-20/h3-6,16,18H,1H2,2H3",C14H11N2O4F,290.0,2.45,5.11,4.49,23.5,-160.0,3.3904225678005906,1
Oc1c(F)cc(c(c1)c1c[nH]c(c1)CO)N=O,6/000000064,"InChI=1S/C11H9FN2O3/c12-9-3-10(14-17)8(2-11(9)16)6-1-7(5-15)13-4-6/h1-4,13,15-16H,5H2",C11H9N2O3F,236.0,1.17,5.1,2.88,18.5,-140.0,3.3000901497619965,1
OC(=O)c1cc(c(c(c1)ON)Br)[C@H](CC#CC)N,12/000001193,"InChI=1S/C12H13BrN2O3/c1-2-3-4-9(14)8-5-7(12(16)17)6-10(18-15)11(8)13/h5-6,9H,4,14-15H2,1H3,(H,16,17)/t9-/m0/s1",C12H13N2O3Br,313.0,1.01,5.1,7.09,17.9,-170.0,3.7599213815266577,1
Oc1c(F)cc(c(c1)c1c[nH]c(c1)C[NH3+])N=O,6/000000065,"InChI=1S/C11H10FN3O2/c12-9-3-10(15-17)8(2-11(9)16)6-1-7(4-13)14-5-6/h1-3,5,14,16H,4,13H2/p+1",C11H11N3O2F,236.0,1.1,5.1,2.87,18.7,-140.0,3.8953510335590504,1
OCCCC#Cc1cc(cc(c1Br)O)N1C(=O)NCC1,28/000000449,"InChI=1S/C14H15BrN2O3/c15-13-10(4-2-1-3-7-18)8-11(9-12(13)19)17-6-5-16-14(17)20/h8-9,18-19H,1,3,5-7H2,(H,16,20)",C14H15N2O3Br,339.0,1.61,5.1,4.23,19.5,-120.0,3.072166344841987,1
Oc1cccc(c1)C#C[C@@H](CCO)/C=C/CNOC,23/000000053,"InChI=1S/C15H19NO3/c1-19-16-10-3-5-13(9-11-17)7-8-14-4-2-6-15(18)12-14/h2-6,12-13,16-18H,9-11H2,1H3/b5-3+/t13-/m0/s1",C15H19NO3,261.0,2.52,5.09,3.53,16.6,-170.0,3.9020802195720803,1
N/C(=C\c1cnc(cc1Br)C1=C(C(=O)C=C(C1=O)CN)CCl)/CC,10/000000153,"InChI=1S/C17H17BrClN3O2/c1-2-11(21)3-10-8-22-14(5-13(10)18)16-12(6-19)15(23)4-9(7-20)17(16)24/h3-5,8H,2,6-7,20-21H2,1H3/b11-3-",C17H17N3O2ClBr,410.0,0.94,5.09,8.38,24.2,-180.0,3.7765151708539237,1
ONCC#CCc1cc(C(=O)N=O)cc(c1Br)O,12/000000827,"InChI=1S/C11H9BrN2O4/c12-10-7(3-1-2-4-13-17)5-8(6-9(10)15)11(16)14-18/h5-6,13,15,17H,3-4H2",C11H9N2O4Br,313.0,1.91,5.09,5.92,3.85,0.0,3.659195645772135,1
Oc1cc(C(=O)N=O)cc(c1Br)CCC#C[C@H](CCF)[NH3+],12/000000844,"InChI=1S/C14H14BrFN2O3/c15-13-9(3-1-2-4-11(17)5-6-16)7-10(8-12(13)19)14(20)18-21/h7-8,11,19H,1,3,5-6,17H2/p+1/t11-/m1/s1",C14H15N2O3FBr,358.0,2.83,5.09,5.85,5.21,-180.0,4.431801752080272,0
O=Nc1cc(cc(c1Br)CCON)C(=O)C[NH3+],12/000000144,"InChI=1S/C10H12BrN3O3/c11-10-6(1-2-17-13)3-7(9(15)5-12)4-8(10)14-16/h3-4H,1-2,5,12-13H2/p+1",C10H13N3O3Br,303.0,-0.07,5.08,5.32,3.58,0.0,3.9187458460546027,1
