SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
Oc1cc(N)cc(c1)C#CCC[C@@H](CO)N(=O)=O,23/000000239,"InChI=1S/C12H14N2O4/c13-10-5-9(6-12(16)7-10)3-1-2-4-11(8-15)14(17)18/h5-7,11,15-16H,2,4,8,13H2/t11-/m0/s1",C12H14N2O4,250.0,1.24,4.64,4.21,17.8,-150.0
OC(=O)c1cc(c(c(c1)ON)Br)C/C=C/C,12/000001117,"InChI=1S/C11H12BrNO3/c1-2-3-4-7-5-8(11(14)15)6-9(16-13)10(7)12/h2-3,5-6H,4,13H2,1H3,(H,14,15)/b3-2+",C11H12NO3Br,286.0,1.94,4.64,5.97,2.48,-20.0
OC(=O)c1cc2c([nH]1)c(=O)[nH]cc2CNO[C@H](CCl)C=C,3/000000046,"InChI=1S/C13H14ClN3O4/c1-2-8(4-14)21-16-6-7-5-15-12(18)11-9(7)3-10(17-11)13(19)20/h2-3,5,8,16-17H,1,4,6H2,(H,15,18)(H,19,20)/t8-/m0/s1",C13H14N3O4Cl,311.0,1.37,4.64,7.31,24.9,-190.0
O=Nc1cc(cc(c1Br)CCNCCC=C1NCCN1)C(=O)CCl,12/000000438,"InChI=1S/C16H20BrClN4O2/c17-16-11(8-12(14(23)10-18)9-13(16)22-24)3-5-19-4-1-2-15-20-6-7-21-15/h2,8-9,19-21H,1,3-7,10H2",C16H20N4O2ClBr,415.0,2.52,4.64,6.69,4.94,0.0
ONCCC#Cc1cc(cc(c1C=C)O)N1C(=O)NCC1,28/000000461,"InChI=1S/C15H17N3O3/c1-2-13-11(5-3-4-6-17-21)9-12(10-14(13)19)18-8-7-16-15(18)20/h2,9-10,17,19,21H,1,4,6-8H2,(H,16,20)",C15H17N3O3,287.0,1.23,4.64,3.22,20.8,-120.0
Oc1cc(cc(c1Cl)CSCNCN)N1C(=O)NCC1,28/000000498,"InChI=1S/C12H17ClN4O2S/c13-11-8(5-20-7-15-6-14)3-9(4-10(11)18)17-2-1-16-12(17)19/h3-4,15,18H,1-2,5-7,14H2,(H,16,19)",C12H17N4O2SCl,316.0,0.35,4.63,5.1,19.6,-120.0
Oc1cc(cc(c1)CCc1n[nH]c2c1ccnc2)N1C(=O)NCC1,28/000000029,"InChI=1S/C17H17N5O2/c23-13-8-11(7-12(9-13)22-6-5-19-17(22)24)1-2-15-14-3-4-18-10-16(14)21-20-15/h3-4,7-10,23H,1-2,5-6H2,(H,19,24)(H,20,21)",C17H17N5O2,323.0,1.16,4.63,2.4,20.8,-140.0
O[C@H](c1nc(oc1CC(=O)/C=C\c1nnc(o1)S)C(=O)O)C=C,3/000000079,"InChI=1S/C13H11N3O6S/c1-2-7(18)10-8(21-11(14-10)12(19)20)5-6(17)3-4-9-15-16-13(23)22-9/h2-4,7,18H,1,5H2,(H,16,23)(H,19,20)/b4-3-/t7-/m0/s1",C13H11N3O6S,337.0,0.44,4.63,9.21,6.6,-150.0
OC(=O)c1cc(ON)c(c(c1)CCN)Br,12/000000017,"InChI=1S/C9H11BrN2O3/c10-8-5(1-2-11)3-6(9(13)14)4-7(8)15-12/h3-4H,1-2,11-12H2,(H,13,14)",C9H11N2O3Br,275.0,0.25,4.63,5.74,2.48,0.0
Oc1cc(cc(c1CC)C#CCC)N1C(=O)NCC1,28/000000194,"InChI=1S/C15H18N2O2/c1-3-5-6-11-9-12(10-14(18)13(11)4-2)17-8-7-16-15(17)19/h9-10,18H,3-4,7-8H2,1-2H3,(H,16,19)",C15H18N2O2,258.0,2.06,4.63,3.21,17.2,-200.0
O=Nc1cc(cc(c1Br)CNCNCC=C)C(=O)[C@@H]1ONC=C1,12/000000431,"InChI=1S/C15H17BrN4O3/c1-2-4-17-9-18-8-11-6-10(7-12(20-22)14(11)16)15(21)13-3-5-19-23-13/h2-3,5-7,13,17-19H,1,4,8-9H2/t13-/m1/s1",C15H17N4O3Br,381.0,2.0,4.63,3.89,5.09,-150.0
OC(=O)c1cc(ON)c(c(c1)CN)Br,12/000001103,"InChI=1S/C8H9BrN2O3/c9-7-5(3-10)1-4(8(12)13)2-6(7)14-11/h1-2H,3,10-11H2,(H,12,13)",C8H9N2O3Br,261.0,0.09,4.63,5.59,12.7,0.0
OC(=O)Cc1n[nH]c(n1)c1nc(/C=C/CNC=C)ccc1I,4/000000116,"InChI=1S/C14H14IN5O2/c1-2-16-7-3-4-9-5-6-10(15)13(17-9)14-18-11(19-20-14)8-12(21)22/h2-6,16H,1,7-8H2,(H,21,22)(H,18,19,20)/b4-3+",C14H14N5O2I,411.0,2.48,4.63,5.74,23.8,-140.0
Oc1cc(C#CCCCC(=C)C)cc(c1)N1C(=O)NCC1,28/000000174,"InChI=1S/C17H20N2O2/c1-13(2)6-4-3-5-7-14-10-15(12-16(20)11-14)19-9-8-18-17(19)21/h10-12,20H,1,3-4,6,8-9H2,2H3,(H,18,21)",C17H20N2O2,284.0,2.14,4.63,1.76,19.4,-140.0
OC(=O)c1cc(c(c(c1)ON)Br)CC(=O)CCC=C,12/000001322,"InChI=1S/C13H14BrNO4/c1-2-3-4-10(16)6-8-5-9(13(17)18)7-11(19-15)12(8)14/h2,5,7H,1,3-4,6,15H2,(H,17,18)",C13H14NO4Br,328.0,1.26,4.62,6.95,2.64,0.0
OC(=O)c1cc(OCC(=O)NCC=C)c(c(c1)ON)Br,12/000001396,"InChI=1S/C12H13BrN2O5/c1-2-3-15-10(16)6-19-8-4-7(12(17)18)5-9(20-14)11(8)13/h2,4-5H,1,3,6,14H2,(H,15,16)(H,17,18)",C12H13N2O5Br,345.0,0.67,4.62,4.51,19.5,0.0
Oc1cc(O)cc(c1)C#C[C@@H](CCCO)CCN,23/000000199,"InChI=1S/C14H19NO3/c15-6-5-11(2-1-7-16)3-4-12-8-13(17)10-14(18)9-12/h8-11,16-18H,1-2,5-7,15H2/t11-/m1/s1",C14H19NO3,249.0,1.39,4.62,6.11,15.0,-150.0
Oc1cc(C#C[C@@H](CCO)C=C)cc(c1Br)CNOC,23/000000174,"InChI=1S/C15H18BrNO3/c1-3-11(6-7-18)4-5-12-8-13(10-17-20-2)15(16)14(19)9-12/h3,8-9,11,17-19H,1,6-7,10H2,2H3/t11-/m0/s1",C15H18NO3Br,340.0,3.23,4.62,2.37,18.3,-170.0
OC(=O)c1nc(c(o1)C/C=C/[C@@H](N1N=CCC1=O)C=C)CN,3/000000131,"InChI=1S/C14H16N4O4/c1-2-9(18-12(19)6-7-16-18)4-3-5-11-10(8-15)17-13(22-11)14(20)21/h2-4,7,9H,1,5-6,8,15H2,(H,20,21)/b4-3+/t9-/m0/s1",C14H16N4O4,304.0,-0.08,4.62,6.97,6.72,-150.0
O=Nc1cc(C(=O)C=C)cc(c1Br)/[NH]=c\1/[nH]nc[nH]1,12/000000593,"InChI=1S/C11H9BrN5O2/c1-2-9(18)6-3-7(10(12)8(4-6)17-19)15-11-13-5-14-16-11/h2-5,15-16H,1H2,(H,13,14)/b15-11+",C11H8N5O2Br,322.0,2.66,4.62,5.5,21.9,0.0
Oc1cc(cc(c1)C(=C)CN)N1C(=O)NCC1,28/000000233,"InChI=1S/C12H15N3O2/c1-8(7-13)9-4-10(6-11(16)5-9)15-3-2-14-12(15)17/h4-6,16H,1-3,7,13H2,(H,14,17)",C12H15N3O2,233.0,-0.0,4.61,2.62,15.0,-140.0
Oc1cccc(c1)C#C[C@@H](CCO)C=C,23/000000011,"InChI=1S/C13H14O2/c1-2-11(8-9-14)6-7-12-4-3-5-13(15)10-12/h2-5,10-11,14-15H,1,8-9H2/t11-/m0/s1",C13H14O2,202.0,2.38,4.61,2.95,12.8,-150.0
OC/C(=C\C=C/N(=O)=O)/C(=O)c1cc(N=O)c(cc1O)Br,12/000000512,"InChI=1S/C12H9BrN2O6/c13-9-5-11(17)8(4-10(9)14-19)12(18)7(6-16)2-1-3-15(20)21/h1-5,16-17H,6H2/b3-1-,7-2+",C12H9N2O6Br,357.0,1.11,4.61,3.7,3.7,-90.0
O=Nc1c(Br)c(Cl)cc(c1)C(=O)[C@@H](CCCO)O,12/000000383,"InChI=1S/C11H11BrClNO4/c12-10-7(13)4-6(5-8(10)14-18)11(17)9(16)2-1-3-15/h4-5,9,15-16H,1-3H2/t9-/m1/s1",C11H11NO4ClBr,336.0,1.9,4.61,2.62,2.35,-170.0
O=NC(=O)c1cc(N)c(c(c1)[C@H](C/C=C/CC1=CCCC1)S)Br,12/000000353,"InChI=1S/C17H19BrN2O2S/c18-16-13(9-12(10-14(16)19)17(21)20-22)15(23)8-4-3-7-11-5-1-2-6-11/h3-5,9-10,15,23H,1-2,6-8,19H2/b4-3+/t15-/m0/s1",C17H19N2O2SBr,395.0,3.3,4.61,5.82,23.4,-150.0
OC(=O)c1cc(/C=C\C)c(c(c1)ON)Br,12/000001126,"InChI=1S/C10H10BrNO3/c1-2-3-6-4-7(10(13)14)5-8(15-12)9(6)11/h2-5H,12H2,1H3,(H,13,14)/b3-2-",C10H10NO3Br,272.0,1.8,4.61,5.68,13.5,-20.0
O=NC(=O)c1cc(c(c(c1)CO)Br)C[C@H](c1[nH]ccc1)Cl,12/000000790,"InChI=1S/C14H12BrClN2O3/c15-13-8(6-11(16)12-2-1-3-17-12)4-9(14(20)18-21)5-10(13)7-19/h1-5,11,17,19H,6-7H2/t11-/m1/s1",C14H12N2O3ClBr,371.0,2.58,4.61,4.74,22.0,-150.0
Oc1cc(cc(c1CN)C#CCCC1=CCC1)N1C(=O)NCC1,28/000000468,"InChI=1S/C18H21N3O2/c19-12-16-14(7-2-1-4-13-5-3-6-13)10-15(11-17(16)22)21-9-8-20-18(21)23/h5,10-11,22H,1,3-4,6,8-9,12,19H2,(H,20,23)",C18H21N3O2,311.0,0.67,4.61,4.44,21.8,-140.0
Oc1cc(cc(c1CCl)CCS)N1C(=O)NCC1,28/000000326,"InChI=1S/C12H15ClN2O2S/c13-7-10-8(1-4-18)5-9(6-11(10)16)15-3-2-14-12(15)17/h5-6,16,18H,1-4,7H2,(H,14,17)",C12H15N2O2SCl,286.0,1.63,4.61,5.32,16.8,-120.0
OC(=O)c1cc(ON)c(c(c1)CO)Br,12/000001101,"InChI=1S/C8H8BrNO4/c9-7-5(3-11)1-4(8(12)13)2-6(7)14-10/h1-2,11H,3,10H2,(H,12,13)",C8H8NO4Br,262.0,0.16,4.61,5.75,12.5,0.0
OC(=O)Cc1n[nH]c(n1)c1nc(C=S)c(cc1I)C,4/000000204,"InChI=1S/C11H9IN4O2S/c1-5-2-6(12)10(13-7(5)4-19)11-14-8(15-16-11)3-9(17)18/h2,4H,3H2,1H3,(H,17,18)(H,14,15,16)",C11H9N4O2SI,388.0,1.81,4.6,7.78,22.3,-140.0
Oc1cc(cc(c1Cl)CSCCl)N1C(=O)NCC1,28/000000552,"InChI=1S/C11H12Cl2N2O2S/c12-6-18-5-7-3-8(4-9(16)10(7)13)15-2-1-14-11(15)17/h3-4,16H,1-2,5-6H2,(H,14,17)",C11H12N2O2SCl2,306.0,2.14,4.6,4.27,17.9,-120.0
Oc1cc(cc(c1C)C#CCCCOC)N1C(=O)NCC1,28/000000458,"InChI=1S/C16H20N2O3/c1-12-13(6-4-3-5-9-21-2)10-14(11-15(12)19)18-8-7-17-16(18)20/h10-11,19H,3,5,7-9H2,1-2H3,(H,17,20)",C16H20N2O3,288.0,1.55,4.6,2.71,19.0,-200.0
