scaffold;frequency;mean_zscore;shrunk_zscore
O=C(Cc1ccon1)OCC#CCc1n[nH]c(=O)[nH]1;4;0.4141;0.2188
C(#Cc1ccccc1)Cc1cncnc1;4;0.1532;0.0809
O=C(C#CCc1ccccc1)c1ccco1;4;-0.0853;-0.0451
O=C(CC#Cc1cnon1)c1cccnc1;4;0.2341;0.1237
C(=Cc1cnon1)c1cccnc1;4;-0.7206;-0.3806
c1ccc(-n2cccn2)cc1;4;0.0755;0.0399
c1cncc(-c2cccnc2)c1;3;-0.5285;-0.2412
O=C1C=C(c2ccccc2)CN1;3;-0.1896;-0.0866
O=C(C=CC1=CCON1)CCC1=CNNC1;3;-0.5027;-0.2294
C(=Cc1ccccc1)Cc1cnn[nH]1;3;0.4978;0.2272
O=C1C=CC(C#Cc2ccccn2)N1;3;-0.2729;-0.1246
c1nnc(C2=NOCN2)[nH]1;3;-0.1822;-0.0831
O=C(CC1CCN1)c1cc[nH]c1;3;-0.3125;-0.1427
O=C(Cc1ccc(-c2cc[nH]n2)cc1)Cc1ccccn1;3;0.8344;0.3808
C(=Cc1nnco1)c1nnn[nH]1;3;-0.4905;-0.2239
O=C(OCc1ccccn1)c1ccccc1;3;0.2344;0.107
O=C(OCc1ccoc1)c1cccnc1;3;-0.3635;-0.1659
c1n[nH]cc1CCN=C1CCCN1;3;-0.4461;-0.2036
O=C(C#Cc1cccnc1)NCc1ccno1;3;0.7334;0.3348
O=C1C=C(C=Cc2ccccc2)CN1;3;-0.0628;-0.0287
O=C(C#Cc1cccnc1)NC1CCCC1;3;0.8001;0.3652
O=C(c1ncc(C=Cc2ccccc2)cn1)c1ncn[nH]1;3;1.2779;0.5833
O=C(c1ncc(C=Cc2ccccc2)cn1)c1ccno1;3;1.9393;0.8852
O=C(c1ccncn1)c1cc[nH]n1;3;-0.3493;-0.1594
O=C(c1ccccn1)C1C=CC=CC1;3;-0.4684;-0.2138
C1=NCCc2cc([SH+]c3ccccc3)ccc21;3;0.6608;0.3016
O=C(c1cc(=O)[nH]cn1)c1ccc[nH]1;3;-0.3558;-0.1624
O=C(c1ccccc1)c1nnco1;3;-0.1219;-0.0556
O=C(c1ccccc1)C1CCNC1;3;-0.977;-0.4459
C=C(CCc1ccccc1)c1n[nH]c(=O)o1;3;0.78;0.356
O=C(c1ccccc1)C1C=CC=CC1;3;-0.745;-0.3401
O=C(c1ccc[nH]1)c1ccco1;3;-0.3304;-0.1508
O=C(CC=CCc1cccnc1)OCc1cnc[nH]1;3;0.0045;0.0021
O=C1CNc2ccccc2N1;3;-0.3608;-0.1647
O=C1COc2c(OCc3ccccn3)cccc21;3;0.3006;0.1372
c1ccc(-c2cn[nH]c2)cc1;3;0.0975;0.0445
C1=CN=CNC1;3;-0.9788;-0.4467
c1cn[nH]n1;3;-1.0349;-0.4723
c1cn2cnnc2cn1;3;-0.9505;-0.4338
c1cc(-c2nnco2)ccn1;3;-0.7314;-0.3338
C(=CCc1cnco1)CC1=CCOC1;3;0.3353;0.153
c1ccc(-c2ccc[nH]2)cc1;3;0.045;0.0205
O=C1CSc2cc([SH+]c3ccccc3)ccc2N1;3;0.9495;0.4334
c1ccc(-c2ccco2)cc1;3;-0.1412;-0.0644
