SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset,Database,HBA,HBD,TPSA,RotBonds,NumCarbons,NumOxygens,NumNitrogens,FractionCarbons,FractionOxygens,FractionNitrogens,CSP3,ChiralCarbonFraction,HeavyAtoms,NumRings,AliphaticRings,AromaticRings,Heterocycles,AliphaticHeterocycles,AromaticHeterocycles,SpiroAtoms,BridgeheadAtoms
NOC1=CC(C(=O)O)=CC(C[C@@H](N)C2=NNC=N2)=C1Br,12/000000725,"InChI=1S/C11H12BrN5O3/c12-9-5(2-7(13)10-15-4-16-17-10)1-6(11(18)19)3-8(9)20-14/h1,3-4,7H,2,13-14H2,(H,18,19)(H,15,16,17)/t7-/m1/s1",C11H12N5O3Br,341.01235134399997,0.7604000000000003,5.21,5.36,2.48,-150.0,3.9465903348422646,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,4,140.14,5,11,3,5,0.55,0.15,0.25,0.18181818181818182,0.09090909090909091,20,2,0,2,1,0,1,0,0
O=NC1=CC(C(=O)[C@H]2C=CC(=O)N2)=CC(CO)=C1Br,12/000000427,"InChI=1S/C12H9BrN2O4/c13-11-7(5-16)3-6(4-9(11)15-19)12(18)8-1-2-10(17)14-8/h1-4,8,16H,5H2,(H,14,17)/t8-/m1/s1",C12H9N2O4Br,323.974568868,1.5766,5.21,3.93,2.48,-170.0,4.037280120952751,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,2,95.83,4,12,4,2,0.631578947368421,0.21052631578947367,0.10526315789473684,0.16666666666666666,0.08333333333333333,19,2,1,1,1,1,0,0,0
NC(N)NC1=C(Br)C(N=O)=CC(C(=O)[C@H]2C=CCCC2)=C1,12/000000712,"InChI=1S/C14H17BrN4O2/c15-12-10(18-14(16)17)6-9(7-11(12)19-21)13(20)8-4-2-1-3-5-8/h2,4,6-8,14,18H,1,3,5,16-17H2/t8-/m0/s1",C14H15N4O2Br,352.053487884,2.9989000000000017,5.21,3.14,21.6,-190.0,4.05929364095365,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,3,110.57,5,14,2,4,0.6666666666666666,0.09523809523809523,0.19047619047619047,0.35714285714285715,0.07142857142857142,21,2,1,1,0,0,0,0,0
O=C1NCCN1C1=CC(O)=CC(C#CCCC2=CC=CC=C2)=C1,28/000000082,"InChI=1S/C19H18N2O2/c22-18-13-16(9-5-4-8-15-6-2-1-3-7-15)12-17(14-18)21-11-10-20-19(21)23/h1-3,6-7,12-14,22H,4,8,10-11H2,(H,20,23)",C19H18N2O2,306.136827816,2.9061000000000012,5.2,2.73,18.8,-120.0,2.5348160071873806,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,2,2,52.57000000000001,3,19,2,2,0.8260869565217391,0.08695652173913043,0.08695652173913043,0.21052631578947367,0.0,23,3,1,2,1,1,0,0,0
CC(=O)C1=CC(=O)C(CCl)=C(C2=C(O)C(Br)=C(S)C=N2)C1=O,10/000000121,"InChI=1S/C14H9BrClNO4S/c1-5(18)6-2-8(19)7(3-16)10(13(6)20)12-14(21)11(15)9(22)4-17-12/h2,4,21-22H,3H2,1H3",C14H9NO4SClBr,400.912418548,2.498000000000001,5.2,6.53,24.5,-180.0,3.751121500422831,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,2,84.33000000000001,3,14,4,1,0.6363636363636364,0.18181818181818182,0.045454545454545456,0.14285714285714285,0.0,22,2,1,1,1,0,1,0,0
N[C@H](C#CCCC1=CC(C(=O)N=O)=CC(O)=C1Br)CO,12/000000846,"InChI=1S/C13H13BrN2O4/c14-12-8(3-1-2-4-10(15)7-17)5-9(6-11(12)18)13(19)16-20/h5-6,10,17-18H,1,3,7,15H2/p+1/t10-/m1/s1",C13H14N2O4Br,340.005868996,1.3168999999999997,5.2,4.5,3.85,-150.0,4.354954763746694,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,3,112.98000000000002,4,13,4,2,0.65,0.2,0.1,0.3076923076923077,0.07692307692307693,20,1,0,1,0,0,0,0,0
NOC1=C(Br)C(C#CCCCCF)=CC(C(=O)O)=C1,12/000001312,"InChI=1S/C13H13BrFNO3/c14-12-9(5-3-1-2-4-6-15)7-10(13(17)18)8-11(12)19-16/h7-8H,1-2,4,6,16H2,(H,17,18)",C13H13NO3FBr,329.006283596,2.8911000000000007,5.2,5.26,19.8,0.0,3.134844801512683,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,3,2,72.55,5,13,3,1,0.6842105263157895,0.15789473684210525,0.05263157894736842,0.3076923076923077,0.0,19,1,0,1,0,0,0,0,0
CN(CC#CCCC1=CC(C(=O)N=O)=CC(O)=C1Br)CCO,12/000000870,"InChI=1S/C15H17BrN2O4/c1-18(7-8-19)6-4-2-3-5-11-9-12(15(21)17-22)10-13(20)14(11)16/h9-10,19-20H,3,5-8H2,1H3",C15H17N2O4Br,368.037169124,1.9213999999999998,5.19,5.39,5.21,-80.0,3.3385041264175266,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,5,2,90.2,6,15,4,2,0.6818181818181818,0.18181818181818182,0.09090909090909091,0.4,0.0,22,1,0,1,0,0,0,0,0
O=NC(=O)C1=CC(C[C@@H](Cl)C2=NNN=N2)=C(Br)C(O)=C1,12/000000266,"InChI=1S/C10H7BrClN5O3/c11-8-4(2-6(12)9-13-16-17-14-9)1-5(3-7(8)18)10(19)15-20/h1,3,6,18H,2H2,(H,13,14,16,17)/t6-/m1/s1",C10H7N5O3ClBr,358.942078864,2.0969999999999995,5.19,4.97,3.85,-150.0,3.874607957219887,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,2,121.19000000000001,4,10,3,5,0.5,0.15,0.25,0.2,0.1,20,2,0,2,1,0,1,0,0
NOC1=C(Br)C(C[C@@H](N)C2=NC=NC=C2)=CC(C(=O)O)=C1,12/000000642,"InChI=1S/C13H13BrN4O3/c14-12-7(3-8(13(19)20)5-11(12)21-16)4-9(15)10-1-2-17-6-18-10/h1-3,5-6,9H,4,15-16H2,(H,19,20)/t9-/m1/s1",C13H13N4O3Br,352.01710237599997,1.4323000000000004,5.19,5.52,2.64,-150.0,3.3757878054098844,1,HIGHDIVERSITY_CONCAT,HsDHODH_HighDiv,6,3,124.35000000000001,5,13,3,4,0.6190476190476191,0.14285714285714285,0.19047619047619047,0.15384615384615385,0.07692307692307693,21,2,0,2,1,0,1,0,0
