SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical
Brc1oc(c(c1)CC[C@@H](Cc1c(Cl)nc[nH]1)[NH3+])C(=O)N,6/000000018,"InChI=1S/C12H14BrClN4O2/c13-9-3-6(10(20-9)12(16)19)1-2-7(15)4-8-11(14)18-5-17-8/h3,5,7H,1-2,4,15H2,(H2,16,19)(H,17,18)/p+1/t7-/m0/s1",C12H15N4O2ClBr,362,0.77,4.14,7.89,3.72,-150
O[C@@H](CC#CCn1cnc(c1)CBr)c1ncn(n1)C(=O)N,30/000000007,"InChI=1S/C12H13BrN6O2/c13-5-9-6-18(7-15-9)4-2-1-3-10(20)11-16-8-19(17-11)12(14)21/h6-8,10,20H,3-5H2,(H2,14,21)/t10-/m0/s1",C12H13N6O2Br,353,-0.09,4.13,4.58,4.94,-150
C1=C/C(=C\c2nnn[nH]2)/c2c1ccc(c2)[C@H](CBr)[NH3+],17/000000008,"InChI=1S/C13H12BrN5/c14-7-12(15)10-4-2-8-1-3-9(11(8)5-10)6-13-16-18-19-17-13/h1-6,12H,7,15H2,(H,16,17,18,19)/p+1/b9-6+/t12-/m0/s1",C13H13N5Br,319,1.87,4.13,5.99,21.9,-190
Oc1ccc(cc1C#C[C@H]1NOCC1)Cl,22/000000001,"InChI=1S/C11H10ClNO2/c12-9-2-4-11(14)8(7-9)1-3-10-5-6-15-13-10/h2,4,7,10,13-14H,5-6H2/t10-/m1/s1",C11H10NO2Cl,223,3.2,4.13,3.51,14.1,-150
Oc1ccc2c(c1)C(=O)N[C@H]2CC#Cc1[nH]ccc1CN,3/000000006,"InChI=1S/C16H15N3O2/c17-9-10-6-7-18-14(10)2-1-3-15-12-5-4-11(20)8-13(12)16(21)19-15/h4-8,15,18,20H,3,9,17H2,(H,19,21)/t15-/m0/s1",C16H15N3O2,281,1.19,4.13,5.36,6.45,-190
OC(=O)[C@@H](C1=CC(=O)CO1)c1nnc(o1)/C(=C\CO)/CCCl,1/000000022,"InChI=1S/C13H13ClN2O6/c14-3-1-7(2-4-17)11-15-16-12(22-11)10(13(19)20)9-5-8(18)6-21-9/h2,5,10,17H,1,3-4,6H2,(H,19,20)/b7-2-/t10-/m0/s1",C13H13N2O6Cl,328,0.46,4.13,7.42,6.77,-150
Oc1noc(c1)C/C=C(/C[NH3+])\C1=C(C)C[C@H](O1)C(=O)CBr,4/000000099,"InChI=1S/C14H17BrN2O4/c1-8-4-12(11(18)6-15)20-14(8)9(7-16)2-3-10-5-13(19)17-21-10/h2,5,12H,3-4,6-7,16H2,1H3,(H,17,19)/p+1/b9-2-/t12-/m0/s1",C14H18N2O4Br,358,0.99,4.13,8.21,3.72,-170
OCC1=C(CC1)[C@H](CCc1cccc(c1)Cl)N,22/000000003,"InChI=1S/C14H18ClNO/c15-12-3-1-2-10(8-12)4-7-14(16)13-6-5-11(13)9-17/h1-3,8,14,17H,4-7,9,16H2/t14-/m0/s1",C14H18NOCl,251,1.43,4.13,5.83,2.22,-150
Oc1ccccc1C(=O)O[C@H]1C=C(C=C(C1)CC=C)CO,19/000000012,"InChI=1S/C17H18O4/c1-2-5-12-8-13(11-18)10-14(9-12)21-17(20)15-6-3-4-7-16(15)19/h2-4,6-8,10,14,18-19H,1,5,9,11H2/t14-/m1/s1",C17H18O4,286,1.87,4.12,4.27,5.09,-150
C(=C\c1cccc2c1cccc2)/NCc1nc(n[nH]1)C[NH3+],10/000000023,"InChI=1S/C16H17N5/c17-10-15-19-16(21-20-15)11-18-9-8-13-6-3-5-12-4-1-2-7-14(12)13/h1-9,18H,10-11,17H2,(H,19,20,21)/p+1/b9-8+",C16H18N5,280,2.6,4.12,1.29,3.58,-80
OC/C(=C/c1nnn[nH]1)/c1nnc(o1)CCCCC,29/000000015,"InChI=1S/C11H16N6O2/c1-2-3-4-5-10-14-15-11(19-10)8(7-18)6-9-12-16-17-13-9/h6,18H,2-5,7H2,1H3,(H,12,13,16,17)/b8-6-",C11H16N6O2,264,1.04,4.12,5.32,6.77,-20
OCc1occc1c1n[nH]c(=O)c(c1)CC,15/000000282,"InChI=1S/C11H12N2O3/c1-2-7-5-9(12-13-11(7)15)8-3-4-16-10(8)6-14/h3-5,14H,2,6H2,1H3,(H,13,15)",C11H12N2O3,220,0.36,4.11,2.69,19.0,-140
OC/C(=C/c1nnn[nH]1)/c1nnc(o1)CC[C@@H]1C=CCCC1,29/000000010,"InChI=1S/C14H18N6O2/c21-9-11(8-12-15-19-20-16-12)14-18-17-13(22-14)7-6-10-4-2-1-3-5-10/h2,4,8,10,21H,1,3,5-7,9H2,(H,15,16,19,20)/b11-8-/t10-/m1/s1",C14H18N6O2,302,1.19,4.11,5.15,5.09,-150
O[C@@H](CC#CCn1cncc1)c1ncn(n1)C(=O)NCCl,30/000000003,"InChI=1S/C12H13ClN6O2/c13-7-15-12(21)19-9-16-11(17-19)10(20)3-1-2-5-18-6-4-14-8-18/h4,6,8-10,20H,3,5,7H2,(H,15,21)/t10-/m0/s1",C12H13N6O2Cl,308,-0.29,4.11,1.92,3.58,-150
OCc1occ(c1c1n[nH]c(=O)cc1)/C=C/C,15/000000281,"InChI=1S/C12H12N2O3/c1-2-3-8-7-17-10(6-15)12(8)9-4-5-11(16)14-13-9/h2-5,7,15H,6H2,1H3,(H,14,16)/b3-2+",C12H12N2O3,232,0.71,4.11,3.74,20.6,-140
OC[C@H](CCNCC#CC1=CCc2c1cccc2)CN,21/000000001,"InChI=1S/C17H22N2O/c18-12-14(13-20)9-11-19-10-3-5-16-8-7-15-4-1-2-6-17(15)16/h1-2,4,6,8,14,19-20H,7,9-13,18H2/t14-/m1/s1",C17H22N2O,270,1.55,4.11,8.66,17.2,-190
