SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OCc1nc(oc1c1n[nH]c(=O)c(c1)CCF)CC	No_6_359,15/000000232,"InChI=1S/C12H14FN3O3/c1-2-10-14-9(6-17)11(19-10)8-5-7(3-4-13)12(18)16-15-8/h5,17H,2-4,6H2,1H3,(H,16,18)",C12H14N3O3F,267,0.61,4.34,2.65,24.3,-180,3.299780728720453,1
OCc1nc(oc1c1n[nH]c(=O)c(c1)CC)CCCCCCC	No_6_605,15/000000270,"InChI=1S/C17H25N3O3/c1-3-5-6-7-8-9-15-18-14(11-21)16(23-15)13-10-12(4-2)17(22)20-19-13/h10,21H,3-9,11H2,1-2H3,(H,20,22)",C17H25N3O3,319,2.19,4.34,2.28,24.6,-200,2.8781807197193956,1
OCc1nc(oc1c1n[nH]c(=O)c(c1)CCC)C=C	No_5_669,15/000000151,"InChI=1S/C13H15N3O3/c1-3-5-8-6-9(15-16-13(8)18)12-10(7-17)14-11(4-2)19-12/h4,6,17H,2-3,5,7H2,1H3,(H,16,18)",C13H15N3O3,261,0.8,4.34,2.44,23.2,-180,3.3703987258176964,1
OC(=O)c1[nH]ncc1c1ccc(cc1C(=O)O)F	No_5_609,3/000000004,"InChI=1S/C11H7FN2O4/c12-5-1-2-6(7(3-5)10(15)16)8-4-13-14-9(8)11(17)18/h1-4H,(H,13,14)(H,15,16)(H,17,18)",C11H6N2O4F,249,1.61,4.33,5.42,2.35,-120,2.3624100884722914,1
OC(=O)[C@@](c1nnco1)(N)C#Cc1cc[nH]c1	No_2_241,25/000000003,"InChI=1S/C10H8N4O3/c11-10(9(15)16,8-14-13-6-17-8)3-1-7-2-4-12-5-7/h2,4-6,12H,11H2,(H,15,16)/t10-/m1/s1",C10H8N4O3,232,0.66,4.33,3.12,24.6,-150,4.439058114298376,0
OC[C@H]1OC(=CC1)/C(=C\Cc1onc(c1CC(=O)N)O)/CF	No_5_159,4/000000009,"InChI=1S/C14H17FN2O5/c15-6-8(11-4-2-9(7-18)21-11)1-3-12-10(5-13(16)19)14(20)17-22-12/h1,4,9,18H,2-3,5-7H2,(H2,16,19)(H,17,20)/b8-1-/t9-/m0/s1",C14H17N2O5F,312,-0.03,4.32,8.97,5.35,-150,4.498017096454161,0
OCC1=C[C@@H](CC=C1CF)C(=O)c1ncc(c(c1)CO)Cl	No_6_404,19/000000036,"InChI=1S/C15H15ClFNO3/c16-13-6-18-14(4-12(13)8-20)15(21)9-1-2-10(5-17)11(3-9)7-19/h2-4,6,9,19-20H,1,5,7-8H2/t9-/m1/s1",C15H15NO3FCl,311,0.29,4.32,6.46,3.7,-150,4.010118309388663,0
O[C@@H](C/C=C/c1cc(Cl)ccc1O)C	No_1_134,22/000000004,"InChI=1S/C11H13ClO2/c1-8(13)3-2-4-9-7-10(12)5-6-11(9)14/h2,4-8,13-14H,3H2,1H3/b4-2+/t8-/m1/s1",C11H13O2Cl,212,2.65,4.32,5.22,3.72,-170,2.8546994460851796,1
Oc1cccc2c1[nH]/c(=[NH]\CC(=O)C)/[nH]2	No_2_460,5/000000008,"InChI=1S/C10H12N3O2/c1-6(14)5-11-10-12-7-3-2-4-8(15)9(7)13-10/h2-4,11-13,15H,5H2,1H3/b11-10-",C10H11N3O2,205,0.38,4.32,-0.17,13.5,-100,,0
OCc1nc(oc1c1n[nH]c(=O)c(c1)C)C=C	No_5_60,15/000000101,"InChI=1S/C11H11N3O3/c1-3-9-12-8(5-15)10(17-9)7-4-6(2)11(16)14-13-7/h3-4,15H,1,5H2,2H3,(H,14,16)",C11H11N3O3,233,0.19,4.31,2.4,22.0,-140,3.460790968092602,1
c1nc(c(o1)C[NH3+])CC/C(=C/Cc1nonc1)/CN	No_4_542,28/000000006,"InChI=1S/C12H17N5O2/c13-5-9(1-3-10-7-16-19-17-10)2-4-11-12(6-14)18-8-15-11/h1,7-8H,2-6,13-14H2/p+1/b9-1-",C12H18N5O2,264,-0.27,4.31,2.01,3.58,-20,4.519791041426615,0
OCc1occ(c1c1n[nH]c(=O)c(c1)CNC)C=C	No_4_557,15/000000286,"InChI=1S/C13H15N3O3/c1-3-8-7-19-11(6-17)12(8)10-4-9(5-14-2)13(18)16-15-10/h3-4,7,14,17H,1,5-6H2,2H3,(H,16,18)",C13H15N3O3,261,-0.17,4.31,4.0,22.6,-160,3.3204297853242277,1
OCC1=C(/C=C/[C@@](c2ccccc2)(N)O)C(=O)CO1	No_4_263,1/000000004,"InChI=1S/C14H15NO4/c15-14(18,10-4-2-1-3-5-10)7-6-11-12(17)9-19-13(11)8-16/h1-7,16,18H,8-9,15H2/b7-6+/t14-/m1/s1",C14H15NO4,261,-0.18,4.3,4.3,3.58,-150,3.871506441149246,1
OCc1nc(oc1c1n[nH]c(=O)c(c1)C)CC#C	No_5_119,15/000000106,"InChI=1S/C12H11N3O3/c1-3-4-10-13-9(6-16)11(18-10)8-5-7(2)12(17)15-14-8/h1,5,16H,4,6H2,2H3,(H,15,17)",C12H11N3O3,245,-0.02,4.3,3.26,24.4,-140,3.478752964453453,1
OCc1nc(oc1c1n[nH]c(=O)cc1)COCCC	No_4_151,15/000000034,"InChI=1S/C12H15N3O4/c1-2-5-18-7-11-13-9(6-16)12(19-11)8-3-4-10(17)15-14-8/h3-4,16H,2,5-7H2,1H3,(H,15,17)",C12H15N3O4,265,0.02,4.3,4.96,22.8,-140,3.0065489435245176,1
OC(=O)c1nn(cn1)C(=O)Cc1nnc[nH]1	No_4_346,30/000000001,"InChI=1S/C7H6N6O3/c14-5(1-4-8-2-10-11-4)13-3-9-6(12-13)7(15)16/h2-3H,1H2,(H,15,16)(H,8,10,11)",C7H6N6O3,222,0.01,4.3,0.39,2.22,-60,3.686920783040639,1
OCN[C@@]1(c2ccc([nH]2)CN)C=C(C1)/C=C/c1cocc1	No_4_152,20/000000008,"InChI=1S/C16H19N3O2/c17-9-14-3-4-15(19-14)16(18-11-20)7-13(8-16)2-1-12-5-6-21-10-12/h1-7,10,18-20H,8-9,11,17H2/b2-1+/t16-/m0/s1",C16H19N3O2,285,-0.19,4.29,2.0,23.0,-190,4.361796691351528,0
c1c(Cl)cc(c(c1)Cl)C#C[C@@H](CCn1cc[nH]c1=[NH2])N	No_3_119,1/000000039,"InChI=1S/C14H15Cl2N4/c15-11-2-4-13(16)10(9-11)1-3-12(17)5-7-20-8-6-19-14(20)18/h2,4,6,8-9,12,19H,5,7,17-18H2/t12-/m0/s1",C14H14N4Cl2,308,3.0,4.27,6.52,5.08,-150,,0
O[C@@H](CNCC#Cc1cc(Cl)cc(c1)Cl)C	No_1_347,10/000000005,"InChI=1S/C12H13Cl2NO/c1-9(16)8-15-4-2-3-10-5-11(13)7-12(14)6-10/h5-7,9,15-16H,4,8H2,1H3/t9-/m1/s1",C12H13NOCl2,257,3.19,4.26,2.19,2.48,-170,3.070877070743215,1
c1c(F)cc(c(c1)c1cn[nH]c1CN)C(=O)O	No_5_589,3/000000003,"InChI=1S/C11H10FN3O2/c12-6-1-2-7(8(3-6)11(16)17)9-5-14-15-10(9)4-13/h1-3,5H,4,13H2,(H,14,15)(H,16,17)",C11H9N3O2F,234,1.12,4.26,5.73,2.22,-120,2.5465824574543046,1
OCc1nc(oc1c1n[nH]c(=O)c(c1)CC)CC	No_6_637,15/000000279,"InChI=1S/C12H15N3O3/c1-3-7-5-8(14-15-12(7)17)11-9(6-16)13-10(4-2)18-11/h5,16H,3-4,6H2,1-2H3,(H,15,17)",C12H15N3O3,249,0.4,4.26,2.43,21.6,-200,3.0669074259919142,1
OCc1ccc2c(c1)C=C/C/2=C\c1noc(c1)CCCCC[NH3+]	No_4_461,17/000000026,"InChI=1S/C19H22N2O2/c20-9-3-1-2-4-18-12-17(21-23-18)11-16-7-6-15-10-14(13-22)5-8-19(15)16/h5-8,10-12,22H,1-4,9,13,20H2/p+1/b16-11+",C19H23N2O2,311,2.54,4.25,4.49,20.8,-60,3.480528980780952,1
OC(=O)[C@H]1OC(=CC1)/C(=C\Cc1onc(c1CCCC)O)/CF	No_6_344,4/000000038,"InChI=1S/C16H20FNO5/c1-2-3-4-11-13(23-18-15(11)19)6-5-10(9-17)12-7-8-14(22-12)16(20)21/h5,7,14H,2-4,6,8-9H2,1H3,(H,18,19)(H,20,21)/b10-5-/t14-/m0/s1",C16H20NO5F,325,2.62,4.25,8.4,5.35,-170,4.2998115938931925,0
OCc1nc(oc1c1n[nH]c(=O)cc1)CC[NH2+]CCBr	No_6_153,15/000000193,"InChI=1S/C12H15BrN4O3/c13-4-6-14-5-3-11-15-9(7-18)12(20-11)8-1-2-10(19)17-16-8/h1-2,14,18H,3-7H2,(H,17,19)/p+1",C12H16N4O3Br,344,0.3,4.25,3.05,24.7,-120,4.123310127375243,0
OCc1nc(oc1c1n[nH]c(=O)cc1)/C=C/CN(C)C	No_4_624,15/000000080,"InChI=1S/C13H16N4O3/c1-17(2)7-3-4-12-14-10(8-18)13(20-12)9-5-6-11(19)16-15-9/h3-6,18H,7-8H2,1-2H3,(H,16,19)/b4-3+",C13H16N4O3,276,-0.12,4.24,4.57,24.6,-200,3.2956655206661623,1
OCc1ccc2c(c1)C=C/C/2=C\C1=NN(C(=O)C1)CCCCO	No_1_369,17/000000011,"InChI=1S/C18H20N2O3/c21-8-2-1-7-20-18(23)11-16(19-20)10-15-5-4-14-9-13(12-22)3-6-17(14)15/h3-6,9-10,21-22H,1-2,7-8,11-12H2/b15-10+",C18H20N2O3,312,1.17,4.24,5.99,21.4,-40,3.235012500246561,1
