SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OCC1=C(/C=C/[C@@](c2ccccc2)(N)O)C(=O)CO1	No_4_262;1/000000003;InChI=1S/C14H15NO4/c15-14(18,10-4-2-1-3-5-10)7-6-11-12(17)9-19-13(11)8-16/h1-7,16,18H,8-9,15H2/b7-6+/t14-/m1/s1;C14H15NO4;261;-0.18;4.17;4.48;3.58;-150
OC(=O)[C@@H](C1=C(C(=O)CO1)C)c1nnc(o1)/C=C/CCCN	No_5_325;1/000000029;InChI=1S/C14H17N3O5/c1-8-9(18)7-21-12(8)11(14(19)20)13-17-16-10(22-13)5-3-2-4-6-15/h3,5,11H,2,4,6-7,15H2,1H3,(H,19,20)/b5-3+/t11-/m0/s1;C14H17N3O5;307;0.31;4.44;6.16;5.09;-170
O=C(N1C(=C[C@@H](C1)C(=O)O)CCF)NCCC	No_2_400;2/000000001;InChI=1S/C11H17FN2O3/c1-2-5-13-11(17)14-7-8(10(15)16)6-9(14)3-4-12/h6,8H,2-5,7H2,1H3,(H,13,17)(H,15,16)/t8-/m0/s1;C11H16N2O3F;243;0.11;4.03;3.12;3.58;-190
OC(=O)[C@@H](/C(=C\C)/c1nnco1)Cl	No_3_75;2/000000003;InChI=1S/C7H7ClN2O3/c1-2-4(5(8)7(11)12)6-10-9-3-13-6/h2-3,5H,1H3,(H,11,12)/b4-2+/t5-/m1/s1;C7H6N2O3Cl;201;0.92;4.08;5.83;2.22;-170
OC(=O)C[C@H]1C(=NC(=CC1)CO)CBr	No_5_512;2/000000002;InChI=1S/C9H12BrNO3/c10-4-8-6(3-9(13)14)1-2-7(5-12)11-8/h2,6,12H,1,3-5H2,(H,13,14)/t6-/m0/s1;C9H12NO3Br;262;-0.32;4.00;6.58;2.35;-150
c1ccc(c2c1[C@@H](NC2=O)CC#Cc1[nH]ccc1CN)Br	No_3_181;3/000000005;InChI=1S/C16H14BrN3O/c17-12-4-1-3-11-14(20-16(21)15(11)12)6-2-5-13-10(9-18)7-8-19-13/h1,3-4,7-8,14,19H,6,9,18H2,(H,20,21)/t14-/m0/s1;C16H14N3OBr;344;2.39;4.07;5.57;6.45;-190
Oc1ccc2c(c1)C(=O)N[C@H]2CC#Cc1[nH]ccc1CN	No_3_427;3/000000008;InChI=1S/C16H15N3O2/c17-9-10-6-7-18-14(10)2-1-3-15-12-5-4-11(20)8-13(12)16(21)19-15/h4-8,15,18,20H,3,9,17H2,(H,19,21)/t15-/m0/s1;C16H15N3O2;281;1.19;4.11;5.48;6.45;-190
Oc1ccc2c(c1)C(=O)N[C@H]2CC#Cc1[nH]ccc1CN	No_3_430;3/000000011;InChI=1S/C16H15N3O2/c17-9-10-6-7-18-14(10)2-1-3-15-12-5-4-11(20)8-13(12)16(21)19-15/h4-8,15,18,20H,3,9,17H2,(H,19,21)/t15-/m0/s1;C16H15N3O2;281;1.19;4.11;5.48;6.45;-190
OC(=O)c1[nH]ncc1c1ccc(cc1C(=O)O)F	No_5_609;3/000000004;InChI=1S/C11H7FN2O4/c12-5-1-2-6(7(3-5)10(15)16)8-4-13-14-9(8)11(17)18/h1-4H,(H,13,14)(H,15,16)(H,17,18);C11H6N2O4F;249;1.61;4.33;5.42;2.35;-120
Oc1ccc2c(c1)C(=O)N[C@H]2CC#Cc1[nH]ccc1CN	No_3_425;3/000000006;InChI=1S/C16H15N3O2/c17-9-10-6-7-18-14(10)2-1-3-15-12-5-4-11(20)8-13(12)16(21)19-15/h4-8,15,18,20H,3,9,17H2,(H,19,21)/t15-/m0/s1;C16H15N3O2;281;1.19;4.13;5.36;6.45;-190
Oc1ccc2c(c1)C(=O)N[C@H]2CC#Cc1[nH]ccc1CN	No_3_426;3/000000007;InChI=1S/C16H15N3O2/c17-9-10-6-7-18-14(10)2-1-3-15-12-5-4-11(20)8-13(12)16(21)19-15/h4-8,15,18,20H,3,9,17H2,(H,19,21)/t15-/m0/s1;C16H15N3O2;281;1.19;4.11;5.48;6.45;-190
