SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OC(=O)c1cc(c([nH]1)CN)C(=O)C/C(=C/C1CCCC1)/C	No_3_751,5/000000172,"InChI=1S/C16H22N2O3/c1-10(6-11-4-2-3-5-11)7-15(19)12-8-13(16(20)21)18-14(12)9-17/h6,8,11,18H,2-5,7,9,17H2,1H3,(H,20,21)/b10-6+",C16H22N2O3,290,0.86,4.55,5.43,3.7,-170,3.2604125859494104,1
Brc1ccc(cc1)c1cc(=O)cc([nH]1)/C=C/CCN	No_4_545,15/000000171,"InChI=1S/C15H15BrN2O/c16-12-6-4-11(5-7-12)15-10-14(19)9-13(18-15)3-1-2-8-17/h1,3-7,9-10H,2,8,17H2,(H,18,19)/b3-1+",C15H15N2OBr,319,3.08,4.54,1.6,5.09,-160,2.800589969165543,1
OCc1cccc(c1)c1cc(=O)cc([nH]1)CN	No_4_627,15/000000195,"InChI=1S/C13H14N2O2/c14-7-11-5-12(17)6-13(15-11)10-3-1-2-9(4-10)8-16/h1-6,16H,7-8,14H2,(H,15,17)",C13H14N2O2,230,0.71,4.54,5.17,2.22,-160,2.5019079279944023,1
Oc1cc(C#CC(=O)OCCN2C=C(CC2)C)cc(c1)CO	No_3_470,1/000000083,"InChI=1S/C17H19NO4/c1-13-4-5-18(11-13)6-7-22-17(21)3-2-14-8-15(12-19)10-16(20)9-14/h8-11,19-20H,4-7,12H2,1H3",C17H19NO4,301,2.09,4.53,4.54,20.4,-20,3.29586057803043,1
Oc1cc(c2coc(c2)CNCc2ncc(cc2F)F)cc(c1)CO	No_4_442,1/000000174,"InChI=1S/C18H16F2N2O3/c19-14-5-17(20)18(22-6-14)8-21-7-16-4-13(10-25-16)12-1-11(9-23)2-15(24)3-12/h1-6,10,21,23-24H,7-9H2",C18H16N2O3F2,346,1.74,4.53,3.66,3.58,-140,2.8488345514529154,1
OC(=O)c1cc(c([nH]1)CN)C(=O)CCCCc1nonc1	No_3_237,5/000000097,"InChI=1S/C13H16N4O4/c14-6-11-9(5-10(16-11)13(19)20)12(18)4-2-1-3-8-7-15-21-17-8/h5,7,16H,1-4,6,14H2,(H,19,20)",C13H16N4O4,292,0.76,4.53,6.12,3.7,0,3.371496814695533,1
OCCc1[nH]c(c2ccc(cc2)CCc2cocc2)cc(=O)c1	No_3_688,15/000000058,"InChI=1S/C19H19NO3/c21-9-7-17-11-18(22)12-19(20-17)16-5-3-14(4-6-16)1-2-15-8-10-23-13-15/h3-6,8,10-13,21H,1-2,7,9H2,(H,20,22)",C19H19NO3,309,2.27,4.53,4.78,3.58,-160,2.6305177293458186,1
OC(=O)c1cc([nH]c1CC=C)[C@@H](C)C(=O)O	No_3_134,19/000000004,"InChI=1S/C11H13NO4/c1-3-4-8-7(11(15)16)5-9(12-8)6(2)10(13)14/h3,5-6,12H,1,4H2,2H3,(H,13,14)(H,15,16)/t6-/m1/s1",C11H13NO4,223,0.67,4.52,5.7,2.22,-170,3.561022974839119,1
Oc1cc(C#CC(=O)O[C@H]2CN=CC2)cc(c1)CO	No_2_197,1/000000013,"InChI=1S/C14H13NO4/c16-9-11-5-10(6-12(17)7-11)1-2-14(18)19-13-3-4-15-8-13/h4-7,13,16-17H,3,8-9H2/t13-/m1/s1",C14H13NO4,259,1.39,4.52,4.33,19.2,-150,3.933146886238748,1
O=C(c1ccc(cc1)c1cc(=O)cc([nH]1)CCF)OCC(=O)O	No_4_362,15/000000162,"InChI=1S/C16H14FNO5/c17-6-5-12-7-13(19)8-14(18-12)10-1-3-11(4-2-10)16(22)23-9-15(20)21/h1-4,7-8H,5-6,9H2,(H,18,19)(H,20,21)",C16H13NO5F,318,2.0,4.52,6.2,3.58,-160,2.5494236672046036,1
NC(=C)CCC1=CC(=O)[C@@H](O1)CCNC(=O)c1ccc(cc1)CN	No_4_175,27/000000075,"InChI=1S/C18H23N3O3/c1-12(20)2-7-15-10-16(22)17(24-15)8-9-21-18(23)14-5-3-13(11-19)4-6-14/h3-6,10,17H,1-2,7-9,11,19-20H2,(H,21,23)/t17-/m0/s1",C18H23N3O3,329,0.7,4.52,7.75,4.94,-150,3.4636387451734407,1
OCc1nnc(o1)c1cc(=O)cc([nH]1)C(=O)O	No_3_114,15/000000262,"InChI=1S/C9H7N3O5/c13-3-7-11-12-8(17-7)5-1-4(14)2-6(10-5)9(15)16/h1-2,13H,3H2,(H,10,14)(H,15,16)",C9H6N3O5,236,-0.3,4.51,3.83,23.2,-120,2.9741192823315554,1
Oc1cc(C(=O)OCCC)cc(c1)c1coc(c1)CNCCO	No_4_443,1/000000175,"InChI=1S/C17H21NO5/c1-2-5-22-17(21)13-6-12(7-15(20)8-13)14-9-16(23-11-14)10-18-3-4-19/h6-9,11,18-20H,2-5,10H2,1H3",C17H21NO5,319,1.69,4.5,3.67,3.58,-180,2.587138826228271,1
c1c2c([nH]c1C(=O)C[NH3+])c(=O)[nH]cc2CC/C=C/CC	No_4_262,14/000000006,"InChI=1S/C15H19N3O2/c1-2-3-4-5-6-10-9-17-15(20)14-11(10)7-12(18-14)13(19)8-16/h3-4,7,9,18H,2,5-6,8,16H2,1H3,(H,17,20)/p+1/b4-3+",C15H20N3O2,274,0.35,4.5,3.49,22.0,-60,3.558235575611218,1
Oc1cc(C#CC(=O)OCC[NH2+]CCC)cc(c1)CO	No_4_281,1/000000156,"InChI=1S/C15H19NO4/c1-2-5-16-6-7-20-15(19)4-3-12-8-13(11-17)10-14(18)9-12/h8-10,16-18H,2,5-7,11H2,1H3/p+1",C15H20NO4,278,1.8,4.5,1.25,17.8,-20,3.827904256929899,1
OC(=O)c1cc(=O)c(c([nH]1)c1nnc(o1)CC)CCl	No_2_168,15/000000076,"InChI=1S/C11H10ClN3O4/c1-2-8-14-15-10(19-8)9-5(4-12)7(16)3-6(13-9)11(17)18/h3H,2,4H2,1H3,(H,13,16)(H,17,18)",C11H10N3O4Cl,283,1.81,4.49,5.64,24.9,-140,3.001783263051145,1
Oc1ncc(cc1NC(=O)c1cccc(c1)Br)C(=O)NC[C@@H](C)O	No_4_507,27/000000088,"InChI=1S/C16H16BrN3O4/c1-9(21)7-18-14(22)11-6-13(16(24)19-8-11)20-15(23)10-3-2-4-12(17)5-10/h2-6,8-9,21H,7H2,1H3,(H,18,22)(H,19,24)(H,20,23)/t9-/m1/s1",C16H16N3O4Br,394,2.02,4.48,3.4,3.58,-170,2.7647673434408446,1
OCc1c(C(=O)O)ccc(c1)c1cc(=O)cc([nH]1)COC	No_4_268,15/000000155,"InChI=1S/C15H15NO5/c1-21-8-11-5-12(18)6-14(16-11)9-2-3-13(15(19)20)10(4-9)7-17/h2-6,17H,7-8H2,1H3,(H,16,18)(H,19,20)",C15H14NO5,288,0.47,4.48,4.84,3.85,-180,2.6049308883366784,1
