SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC/C=C/c1nnc(n1CCl)c1occ(n1)CN	No_4_197;27/000000011;InChI=1S/C10H12ClN5O2/c11-6-16-8(2-1-3-17)14-15-9(16)10-13-7(4-12)5-18-10/h1-2,5,17H,3-4,6,12H2/b2-1+;C10H12N5O2Cl;269;0.81;4.19;6.47;24.30;-80
OC/C=C/c1nnc(n1CCl)c1occ(n1)CN	No_5_691;27/000000062;InChI=1S/C10H12ClN5O2/c11-6-16-8(2-1-3-17)14-15-9(16)10-13-7(4-12)5-18-10/h1-2,5,17H,3-4,6,12H2/b2-1+;C10H12N5O2Cl;269;0.81;4.09;6.08;24.30;-80
OC(=O)CCNC(=O)c1cccc(c1)CC=C	No_4_15;27/000000066;InChI=1S/C13H15NO3/c1-2-4-10-5-3-6-11(9-10)13(17)14-8-7-12(15)16/h2-3,5-6,9H,1,4,7-8H2,(H,14,17)(H,15,16);C13H15NO3;233;1.63;4.01;6.27;3.58;0
OC(=O)C[C@H](NC(=O)c1cccc(c1)CCC)Br	No_2_788;27/000000008;InChI=1S/C13H16BrNO3/c1-2-4-9-5-3-6-10(7-9)13(18)15-11(14)8-12(16)17/h3,5-7,11H,2,4,8H2,1H3,(H,15,18)(H,16,17)/t11-/m0/s1;C13H16NO3Br;314;2.59;4.39;6.39;3.58;-170
Oc1ncc(cc1NC(=O)c1ccc(c(c1)Br)NC=C)C(=O)N	No_4_612;27/000000096;InChI=1S/C15H13BrN4O3/c1-2-18-11-4-3-8(5-10(11)16)14(22)20-12-6-9(13(17)21)7-19-15(12)23/h2-7,18H,1H2,(H2,17,21)(H,19,23)(H,20,22);C15H13N4O3Br;377;1.85;4.24;6.46;20.70;0
OC(=O)CCNC(=O)c1cccc(c1)[C@H](CO)C=C	No_3_648;27/000000045;InChI=1S/C14H17NO4/c1-2-10(9-16)11-4-3-5-12(8-11)14(19)15-7-6-13(17)18/h2-5,8,10,16H,1,6-7,9H2,(H,15,19)(H,17,18)/t10-/m0/s1;C14H17NO4;263;0.71;4.50;7.49;3.58;-150
OC(=O)CCNC(=O)c1cccc(c1)C[C@H](/C=C/C)O	No_3_591;27/000000034;InChI=1S/C15H19NO4/c1-2-4-13(17)10-11-5-3-6-12(9-11)15(20)16-8-7-14(18)19/h2-6,9,13,17H,7-8,10H2,1H3,(H,16,20)(H,18,19)/b4-2+/t13-/m0/s1;C15H19NO4;277;1.35;4.49;4.13;3.58;-170
OC/C=C/c1nnc(n1CCl)c1occ(n1)CN	No_4_200;27/000000014;InChI=1S/C10H12ClN5O2/c11-6-16-8(2-1-3-17)14-15-9(16)10-13-7(4-12)5-18-10/h1-2,5,17H,3-4,6,12H2/b2-1+;C10H12N5O2Cl;269;0.81;4.11;5.73;24.30;-80
C#CCC[C@@H](Cc1cccc(c1)C(=O)NCCC(=O)O)O	No_3_498;27/000000024;InChI=1S/C16H19NO4/c1-2-3-7-14(18)11-12-5-4-6-13(10-12)16(21)17-9-8-15(19)20/h1,4-6,10,14,18H,3,7-9,11H2,(H,17,21)(H,19,20)/t14-/m0/s1;C16H19NO4;289;1.14;4.23;3.64;3.58;-200
OC/C=C/c1nnc(n1CCl)c1occ(n1)CN	No_5_61;27/000000054;InChI=1S/C10H12ClN5O2/c11-6-16-8(2-1-3-17)14-15-9(16)10-13-7(4-12)5-18-10/h1-2,5,17H,3-4,6,12H2/b2-1+;C10H12N5O2Cl;269;0.81;4.11;5.73;24.30;-80
C#CCC[C@@H](Cc1cccc(c1)C(=O)NCCC(=O)O)O	No_3_502;27/000000028;InChI=1S/C16H19NO4/c1-2-3-7-14(18)11-12-5-4-6-13(10-12)16(21)17-9-8-15(19)20/h1,4-6,10,14,18H,3,7-9,11H2,(H,17,21)(H,19,20)/t14-/m0/s1;C16H19NO4;289;1.14;4.38;2.65;3.58;-200
OC(=O)CCNC(=O)c1ccc(cc1O)O	No_4_358;27/000000082;InChI=1S/C10H11NO5/c12-6-1-2-7(8(13)5-6)10(16)11-4-3-9(14)15/h1-2,5,12-13H,3-4H2,(H,11,16)(H,14,15);C10H11NO5;225;0.16;4.23;4.67;3.58;0
OC(=O)CCNC(=O)c1cccc(c1)C[C@H](/C=C/C)O	No_3_595;27/000000038;InChI=1S/C15H19NO4/c1-2-4-13(17)10-11-5-3-6-12(9-11)15(20)16-8-7-14(18)19/h2-6,9,13,17H,7-8,10H2,1H3,(H,16,20)(H,18,19)/b4-2+/t13-/m0/s1;C15H19NO4;277;1.35;4.49;3.79;3.58;-170
C#CCC[C@@H](Cc1cccc(c1)C(=O)NCCC(=O)O)O	No_3_501;27/000000027;InChI=1S/C16H19NO4/c1-2-3-7-14(18)11-12-5-4-6-13(10-12)16(21)17-9-8-15(19)20/h1,4-6,10,14,18H,3,7-9,11H2,(H,17,21)(H,19,20)/t14-/m0/s1;C16H19NO4;289;1.14;4.19;2.83;3.58;-200
OC(=O)CCNC(=O)c1cccc(c1)CC=C	No_2_7;27/000000004;InChI=1S/C13H15NO3/c1-2-4-10-5-3-6-11(9-10)13(17)14-8-7-12(15)16/h2-3,5-6,9H,1,4,7-8H2,(H,14,17)(H,15,16);C13H15NO3;233;1.63;4.13;5.79;3.58;0
OC(=O)CCNC(=O)c1cccc(c1)[C@@H](CC)C=C	No_4_185;27/000000077;InChI=1S/C15H19NO3/c1-3-11(4-2)12-6-5-7-13(10-12)15(19)16-9-8-14(17)18/h3,5-7,10-11H,1,4,8-9H2,2H3,(H,16,19)(H,17,18)/t11-/m1/s1;C15H19NO3;261;2.20;4.67;7.08;3.58;-170
