ID,library,SMILES,Name,Formula,MW,LogP,pKd,score,z_pkd,z_vina,consensus_z,SA_Score,Structure,Synthesize,Chemical,Dataset
HighDiv_460,HighDiv,O=C(O)CC1=NNC(C2=NC=C(CCl)C=C2I)=N1,4/000000025,C10H8N4O2ClI,378.0,2.01,4.51,-7.869,0.3465921810813341,-0.45105853917362987,-0.05223317904614788,3.168707118299606,6.98,19.7,-120.0,HIGHDIVERSITY_CONCAT
HighDiv_596,HighDiv,CCNCCC1=C(Br)C(ON)=CC(C(=O)OCF)=C1,12/000001382,C12H16N2O3FBr,335.0,1.65,4.4,-8.16,0.023625974706684625,-0.1301037371135308,-0.053238881203423086,2.9673649198558785,3.76,3.87,-20.0,HIGHDIVERSITY_CONCAT
HighDiv_573,HighDiv,C=C(CO)C1=NOC(C2=CC(O)=C(F)C=C2O)=N1,6/000000026,C11H9N2O4F,252.0,1.14,4.41,-8.132,0.052986538922561374,-0.16098598610900472,-0.05399972359322167,3.165139444830219,1.79,20.3,-160.0,HIGHDIVERSITY_CONCAT
HighDiv_800,HighDiv,C=CCONCC1=CNC(=O)C2=C1C=C(C(=O)O)N2,3/000000010,C12H13N3O4,263.0,0.5,4.24,-8.583,-0.4461430527473538,0.3364388102109425,-0.05485212126820563,3.2099557650049233,6.36,22.6,-40.0,HIGHDIVERSITY_CONCAT
HighDiv_1914,HighDiv,NC(=S)C1=N/C(=C\C2=CC=C3NC(=O)CSC3=C2)C(=O)N1,27/000000039,C13H10N4O2S2,318.0,-0.05,4.02,-9.168,-1.092075465496658,0.981657226723511,-0.055209119386573524,3.36738286423921,2.2,3.58,-80.0,HIGHDIVERSITY_LANAPDB
Druglike_821,Druglike,CCCC1=CC(O)=CC(/C=C/C2=NC(=O)ON2)=C1,28/000000010,C13H14N2O3,246.0,2.1,4.1,-8.955,-0.8571909517696387,0.7467315468650891,-0.055229702452274765,2.927332168073363,1.27,3.58,-80.0,DRUGLIKE_CONCAT
Druglike_474,Druglike,OCC/C=C/CCC1=CC(O)=CC(C2=NNN=C2)=C1,28/000000179,C14H17N3O2,259.0,2.87,4.29,-8.449,-0.2993402316679674,0.18864519001831942,-0.055347520824824,2.898361111356685,1.34,18.4,-120.0,DRUGLIKE_CONCAT
HighDiv_2203,HighDiv,NC[C@H](OCC1=CC=C(ON)C(F)=C1)C1=CC=CC(CF)=C1,27/000000357,C16H18N2O2F2,308.0,1.79,4.17,-8.768,-0.6516670022584963,0.5404822410738924,-0.055592380592301927,3.097276800314551,4.43,3.98,-150.0,HIGHDIVERSITY_MAYBRIDGE
Druglike_2043,Druglike,O=C(O)C1=CC2=C(N1)C(=O)NC=C2C#CCC[C@@H]1CN1,14/000000029,C14H13N3O3,271.0,0.34,4.04,-9.114,-1.0333543370649019,0.9220986036608139,-0.055627866702044004,3.800092767409698,6.59,24.8,-190.0,DRUGLIKE_MAYBRIDGE
HighDiv_1879,HighDiv,NCC1=C(CCC#CC2=CC(O)=CC=C2N)NC(C(N)=O)=C1,8/000000012,C16H18N4O2,298.0,0.13,4.05,-9.087,-1.0039937728490251,0.8923192921294634,-0.05583724035978088,3.2248943534036547,3.39,22.6,0.0,HIGHDIVERSITY_LANAPDB
Druglike_1228,Druglike,NCC1=CC=C([C@]2(NCO)C=C(/C=C/C3=COC=C3)C2)N1,20/000000008,C16H19N3O2,285.0,-0.19,4.29,-8.448,-0.2993402316679674,0.187542252554196,-0.055898989556885714,4.361796691351528,2.0,23.0,-190.0,DRUGLIKE_CRAFT
Druglike_894,Druglike,C[C@H](C(=O)O)C1=NNC(/C=C/C2=C(I)C=CC(O)=C2)=C1,28/000000276,C14H13N2O3I,384.0,3.24,4.06,-9.059,-0.9746332086331483,0.8614370431339895,-0.05659808274957939,3.658779146031076,5.34,3.85,-170.0,DRUGLIKE_CONCAT
Druglike_1469,Druglike,O=C1CC[C@@H](/C=C(/CC2=CC=C(CO)C=C2)C2=NC=NN2)O1,6/000000009,C16H17N3O3,299.0,1.42,4.42,-8.099,0.08234710313843813,-0.1973829224250978,-0.05751790964332984,3.4716295531061157,7.85,5.09,-150.0,DRUGLIKE_LANAPDB
Druglike_1871,Druglike,NC/C=C/C1=CC(=O)C=C(C2=CN=C(CCCl)CN2)N1,15/000000032,C14H18N4OCl,293.0,0.31,4.29,-8.445,-0.2993402316679674,0.1842334401618237,-0.05755339575307186,4.539940896606011,2.63,23.9,-160.0,DRUGLIKE_MAYBRIDGE
Druglike_1011,Druglike,C=C(CBr)C(=O)CCCC1=CC=C(C(=O)C2=NC(=O)ON2)N1,23/000000032,C14H14N3O4Br,368.0,1.02,4.01,-9.189,-1.1214360297125348,1.0048189134701169,-0.05830855812120894,3.6218431554213097,6.93,3.58,0.0,DRUGLIKE_CONCAT
HighDiv_1501,HighDiv,C=C(CC#CC1=CC(NCCN)=CC=C1O)[C@H]1C=COCC1,3/000000071,C18H23N2O2,299.0,2.01,4.09,-8.976,-0.8865515159855155,0.769893233611695,-0.05832914118691024,4.536015439095126,4.1,20.0,-150.0,HIGHDIVERSITY_CRAFT
Druglike_1890,Druglike,COC1=CC(C2=CC(=O)C=C(CN)N2)=CC=C1,15/000000226,C13H14N2O2,230.0,1.43,4.25,-8.55,-0.41678248853147704,0.30004187389484943,-0.0583703073183138,2.3556319664559418,4.53,2.22,-180.0,DRUGLIKE_MAYBRIDGE
HighDiv_662,HighDiv,O=C1NCCN1[C@H](CO)CCCOC1=NC(Br)=CC=C1,28/000000005,C13H18N3O3Br,344.0,1.42,4.35,-8.283,-0.12317684637270433,0.005557570973726654,-0.05880963769948884,3.307497408820918,2.7,5.09,-150.0,HIGHDIVERSITY_CONCAT
Druglike_412,Druglike,COC1=CC=C(O)C(/C=C/[C@@H]2CNC(=O)N2)=C1,22/000000021,C12H14N2O3,234.0,1.06,4.35,-8.283,-0.12317684637270433,0.005557570973726654,-0.05880963769948884,3.39292926814453,4.29,2.22,-170.0,DRUGLIKE_CONCAT
Druglike_932,Druglike,CCCC#CC(=O)C1=CCC(C2=CC(CO)=C(CO)O2)=CO1,23/000000018,C17H18O5,302.0,0.84,4.05,-9.081,-1.0039937728490251,0.8857016673447189,-0.05914605275215312,3.9554913472611983,2.64,24.4,-160.0,DRUGLIKE_CONCAT
Druglike_749,Druglike,CNCC1=CC=C(C2=NNC(C(=O)O)=N2)C=C1C(=O)O,6/000000007,C12H12N4O4,276.0,0.95,4.14,-8.841,-0.7397486949061292,0.6209966759549466,-0.059376009475591296,2.549028802384445,0.13,3.72,-200.0,DRUGLIKE_CONCAT
Druglike_560,Druglike,CCCC1=NC(C[C@@H](CO)C2=CCC(CN)=CO2)=CC=C1O,12/000000013,C17H24N2O3,304.0,0.38,4.23,-8.601,-0.47550361696323057,0.3562916845651762,-0.059605966199027194,4.051381763093708,10.43,7.96,-170.0,DRUGLIKE_CONCAT
HighDiv_365,HighDiv,C=CCOC1=C(Br)C(ON)=CC(C(=O)O)=C1,12/000001158,C10H10NO4Br,288.0,1.5,4.6,-7.616,0.61083725902423,-0.7301017175970147,-0.059632229286392335,2.65311734833581,4.67,14.7,0.0,HIGHDIVERSITY_CONCAT
Druglike_2078,Druglike,C#CC1=C(O)N=CC=C1COC(=O)C1=CN=C(C(=O)O)N1,5/000000004,C13H9N3O5,287.0,0.82,4.0,-9.212,-1.1507965939284115,1.0301864751449696,-0.06030505939172093,3.2498537000077654,2.22,3.7,0.0,DRUGLIKE_MAYBRIDGE
Druglike_1544,Druglike,CC/C=C/CC1=CC(CC(=O)O)=CC(NC(N)=O)=C1,4/000000265,C14H18N2O3,262.0,1.05,4.23,-8.599,-0.47550361696323057,0.3540858096369274,-0.0607089036631516,2.468716990861795,3.42,3.58,-20.0,DRUGLIKE_LANAPDB
Druglike_1475,Druglike,O=C(O)CC#CC1=CC=C(NC(=O)CCl)C2=C1NC=N2,12/000000038,C13H10N3O3Cl,291.0,0.9,4.39,-8.173,-0.0057345895091947315,-0.11576555007991825,-0.06075006979455649,3.0291938173694595,5.39,22.0,-40.0,DRUGLIKE_LANAPDB
Druglike_497,Druglike,CCC(=O)C1=C[C@@H](/C=C/C2=CN=CC(Br)=C2)NC(CO)=C1,13/000000034,C16H17N2O2Br,349.0,1.54,4.27,-8.491,-0.35806136009972356,0.2349685635115293,-0.061546398294097124,4.0837352180790365,5.75,3.58,-170.0,DRUGLIKE_CONCAT
HighDiv_2023,HighDiv,NOC1=CC=C(S)C2=C1N(CC(F)F)C=N2,22/000000056,C9H9N3OSF2,245.0,1.31,4.62,-7.559,0.6695583874559862,-0.792969153052085,-0.061705382798049435,3.4084802935301504,2.25,18.6,-190.0,HIGHDIVERSITY_MAYBRIDGE
HighDiv_755,HighDiv,NC(=S)NC1=CC(C(=O)[N+](=O)[O-])=C(S)C(O)=C1,29/000000056,C8H7N3O4S2,273.0,1.11,4.27,-8.49,-0.35806136009972356,0.23386562604740588,-0.06209786702615884,3.350819029393004,1.7,3.58,-40.0,HIGHDIVERSITY_CONCAT
Druglike_189,Druglike,C[C@H](C#CC1=CN=C(Cl)C(C(=O)CO)=N1)CCCCO,19/000000031,C14H17N2O3Cl,296.0,0.58,4.6,-7.611,0.61083725902423,-0.7356164049176348,-0.06238957294670239,3.719717327849258,5.5,18.7,-170.0,DRUGLIKE_CONCAT
Druglike_1525,Druglike,NCC1=CC(NC(N)=O)=CC(/C=C/CNC[C@H]2CCOC2)=C1,4/000000287,C16H24N4O2,304.0,-0.18,4.26,-8.516,-0.3874219243156003,0.26254200011463097,-0.062439962100484664,3.192112142391829,4.58,6.77,-150.0,DRUGLIKE_LANAPDB
HighDiv_749,HighDiv,CSCNC(=O)C1=NOC(C2=CC(O)=C(F)C=C2O)=N1,6/000000036,C11H10N3O4SF,299.0,1.6,4.27,-8.489,-0.35806136009972356,0.23276268858328245,-0.06264933575822056,3.0618450261606673,2.12,24.2,-180.0,HIGHDIVERSITY_CONCAT
Druglike_333,Druglike,NCCC1=NC=C(/C=C/[C@@H]2C=CC(=O)N2)C=C1Br,13/000000036,C13H15N3OBr,309.0,0.87,4.41,-8.116,0.052986538922561374,-0.17863298553498955,-0.0628232233062141,4.579051528585482,5.65,3.85,-150.0,DRUGLIKE_CONCAT
HighDiv_532,HighDiv,C=C[C@@H](CC#CC1=CC(O)=CC(N)=C1)CCO,23/000000223,C14H17NO2,231.0,1.81,4.44,-8.036,0.14106823157019424,-0.2668679826649136,-0.0628998755473597,3.746958850795921,6.1,14.8,-150.0,HIGHDIVERSITY_CONCAT
Druglike_511,Druglike,OCC[C@@]1(C2=NNC(/C=C/C3=CC(O)=CC=C3I)=C2)CN1,28/000000297,C15H16N3O2I,397.0,2.34,4.26,-8.514,-0.3874219243156003,0.26033612518638216,-0.06354289956460907,4.114851515341098,7.3,3.72,-150.0,DRUGLIKE_CONCAT
HighDiv_2043,HighDiv,C#CCC1=C(C2=CC=CC(F)=C2ON)N=C(CC(=O)O)N1,27/000000351,C14H12N3O3F,289.0,0.68,4.53,-7.794,0.4053133095130902,-0.5337788489829338,-0.06423276973492181,3.2381369891324336,5.1,3.85,-120.0,HIGHDIVERSITY_MAYBRIDGE
Druglike_681,Druglike,O=C(NCC#CCO)C1=NC=NC(C2=CN=CC=C2)=C1,6/000000033,C14H12N4O2,268.0,-0.38,4.17,-8.752,-0.6516670022584963,0.5228352416479076,-0.06441588030529433,2.603895901492234,4.35,17.6,-200.0,DRUGLIKE_CONCAT
Druglike_2040,Druglike,OCC1=C(OC2=CC=CC=C2)C=CC(C2=NC=NN2)=C1,21/000000010,C15H13N3O2,267.0,2.56,4.04,-9.098,-1.0333543370649019,0.9044516042348291,-0.0644513664150364,2.165310319511386,6.48,16.3,-120.0,DRUGLIKE_MAYBRIDGE
Druglike_729,Druglike,OC1=CC2=C(C=C1CCNC[C@@H](Br)C1=NOC=C1)NCO2,21/000000240,C14H16N3O3Br,354.0,1.9,4.15,-8.805,-0.7103881306902498,0.5812909272464812,-0.06454860172188426,3.8895068426756136,2.28,3.7,-190.0,DRUGLIKE_CONCAT
HighDiv_1533,HighDiv,NC(=O)C1=NOC(CCC2=NN(C(=O)O)C=C2[N+](=O)[O-])=C1,25/000000033,C10H9N5O6,295.0,-0.2,4.05,-9.071,-1.0039937728490251,0.8746722927034786,-0.06466074007277328,3.175909207476705,3.51,3.85,0.0,HIGHDIVERSITY_CRAFT
Druglike_1432,Druglike,NC(=O)NC1=CC(CF)=CC(CC(=O)O)=C1,4/000000033,C10H11N2O3F,226.0,0.15,4.65,-7.473,0.757640080103619,-0.8878217749667536,-0.06509084743156729,2.2905316596059357,3.35,3.58,0.0,DRUGLIKE_LANAPDB
HighDiv_1784,HighDiv,COCC1=CC=C([S@+]([O-])C2=CC(O)=C(I)C=C2O)C=C1,12/000000092,C14H13O4SI,404.0,2.15,4.22,-8.617,-0.5048641811791099,0.37393868399116104,-0.06546274859397444,3.283417467709397,4.56,15.7,-20.0,HIGHDIVERSITY_LANAPDB
HighDiv_216,HighDiv,NOC1=C(Br)C([C@@H](S)CCCO)=CC(C(=O)O)=C1,12/000001410,C11H14NO4SBr,336.0,1.22,4.78,-7.126,1.1393274149100245,-1.2705410750177986,-0.06560683005388701,3.6269204199881977,6.83,16.8,-150.0,HIGHDIVERSITY_CONCAT
HighDiv_607,HighDiv,O=C(O)C1=NN=C([C@H](S)/C=C/C2=NC(CCl)=NN2C(=O)CO)N1,8/000000024,C11H10N6O4SCl,357.0,-0.05,4.39,-8.163,-0.0057345895091947315,-0.12679492472115853,-0.06626475711517663,4.648447239497588,2.68,5.21,-150.0,HIGHDIVERSITY_CONCAT
HighDiv_1473,HighDiv,O=C1NS(=O)(=O)C2=CC=C([C@H](S)C3=CC(=O)OC=C3)C=C12,12/000000001,C13H9NO5S2,323.0,0.63,4.14,-8.828,-0.7397486949061292,0.606658488921334,-0.06654510299239758,3.822808495065056,5.95,3.58,-190.0,HIGHDIVERSITY_CRAFT
HighDiv_1070,HighDiv,O=C(O)C1=CC(O)=CC(CCC/C=C\C2=CN=C(S)N2)=C1,3/000000029,C15H16N2O3S,304.0,2.46,4.07,-9.013,-0.945272644417269,0.8107019197842839,-0.06728536231649257,3.1041369711492486,1.62,3.58,0.0,HIGHDIVERSITY_CONCAT
Druglike_767,Druglike,O=C(O)/C=C/[C@H](CO)C(=O)NC1=CC=C2N=CCC2=C1,15/000000035,C14H14N2O4,274.0,-0.36,4.13,-8.853,-0.7691092591220059,0.6342319255244356,-0.06743866679878513,3.5175521080690384,4.9,3.58,-190.0,DRUGLIKE_CONCAT
Druglike_1970,Druglike,O=C(O)C1=CC2=C(N1)C(=O)NC=C2C#CCCCCl,14/000000022,C13H11N2O3Cl,278.0,1.67,4.13,-8.851,-0.7691092591220059,0.6320260505961888,-0.06854160426290856,3.1957673760354037,3.5,24.1,-40.0,DRUGLIKE_MAYBRIDGE
HighDiv_696,HighDiv,NOC1=CC(C(=O)O)=CC(/C=C/[C@H](CCO)C(N)=O)=C1Br,12/000000735,C13H15N2O5Br,359.0,-0.29,4.31,-8.371,-0.24061910323621394,0.10261606781664415,-0.0690015177097849,3.754229108933947,6.68,3.87,-180.0,HIGHDIVERSITY_CONCAT
Druglike_204,Druglike,NCC1=NON=C1C1=NC(C(=O)NCBr)=NC=C1,4/000000028,C9H9N6O2Br,313.0,0.04,4.58,-7.652,0.5521161305924766,-0.6903959688885484,-0.06913991914803591,3.383717688435354,1.12,20.9,-160.0,DRUGLIKE_CONCAT
Druglike_1947,Druglike,CC1=C(C2=NN=C(CCN)O2)NC(C(=O)O)=CC1=O,15/000000293,C11H13N4O4,265.0,0.38,4.15,-8.796,-0.7103881306902498,0.5713644900693644,-0.06951182031044267,3.5166897719268846,4.49,24.6,-140.0,DRUGLIKE_MAYBRIDGE
Druglike_745,Druglike,CC(=O)OC/C=C(\CO)CCC1=CC=C2CNNCC2=C1Cl,15/000000022,C16H21N2O3Cl,324.0,2.26,4.14,-8.822,-0.7397486949061292,0.6000408641365894,-0.06985391538476987,3.4234417194696345,3.3,3.84,-120.0,DRUGLIKE_CONCAT
Druglike_1190,Druglike,CCCCOCC1=NC(CO)=C(C2=NNC(=O)C=C2)O1,15/000000170,C13H17N3O4,279.0,0.38,4.42,-8.076,0.08234710313843813,-0.22275048409995063,-0.07020169048075625,2.938006483650547,5.39,23.4,-140.0,DRUGLIKE_CRAFT
HighDiv_478,HighDiv,O=C(O)C/C=C/C1=CC2=C(NC=C2)C(S)=C1O,20/000000048,C12H11NO3S,249.0,2.18,4.49,-7.889,0.28787105264958057,-0.42899978989114834,-0.07056436862078388,3.2717703461613414,5.06,16.9,-40.0,HIGHDIVERSITY_CONCAT
Druglike_472,Druglike,CCCC(=O)/C=C/C(=O)C1=NN=C(C2=CN=NN2)N1,23/000000564,C11H12N6O2,260.0,1.13,4.29,-8.42,-0.2993402316679674,0.15666000355872206,-0.07134011405462268,3.8626591999347735,2.79,3.58,-120.0,DRUGLIKE_CONCAT
