ID,library,SMILES,Name,Formula,MW,LogP,pKd,score,z_pkd,z_vina,consensus_z,SA_Score,Structure,Synthesize,Chemical,Dataset
HighDiv_1203,HighDiv,C=C(C1=CC=C(C2=C(O)C(O)=CN=C2)C=C1)C1=NC=C(F)C=C1,1/000000284,C18H13N2O2F,308.0,3.27,5.28,-10.531,2.6073556257038932,2.484960990324593,2.546158308014243,2.6482387078850778,3.61,16.5,-160.0,HIGHDIVERSITY_CRAFT
Druglike_1719,Druglike,O=C(O)C1=CC(C(=O)C/C=C/[C@@H]2C=CC=CC2)=C(C(=O)O)N1,5/000000087,C16H14NO5,300.0,0.57,5.5,-9.944,3.253288038453195,1.8375366988837758,2.5454123686684853,3.9625068820783738,7.13,3.84,-150.0,DRUGLIKE_MAYBRIDGE
HighDiv_1589,HighDiv,CCC1=C(C(N)=O)SC2=CC=C([S@+]([O-])C3=CC(O)=C(I)C=C3O)C=C12,12/000000068,C17H14NO4S2I,487.0,2.09,5.29,-10.494,2.63671618991977,2.444152304152002,2.5404342470358863,3.697673764109576,6.94,23.8,-60.0,HIGHDIVERSITY_LANAPDB
HighDiv_1936,HighDiv,C/C=C\CCC1=CC(F)=C(ON)C(C2=CNC(C(=O)NC)=N2)=C1,27/000000289,C16H19N4O2F,318.0,1.48,5.78,-9.084,4.075383836497762,0.8890104797370911,2.4821971581174265,3.457393859512295,3.66,3.58,-200.0,HIGHDIVERSITY_MAYBRIDGE
HighDiv_1587,HighDiv,CCC1=CC2=CC([S@+]([O-])C3=CC(O)=C(I)C=C3O)=CC=C2OC1=O,12/000000253,C17H13O5SI,456.0,2.59,5.38,-10.14,2.900961267862666,2.053712441852089,2.4773368548573775,3.581247763021265,4.4,21.1,-100.0,HIGHDIVERSITY_LANAPDB
HighDiv_31,HighDiv,O=C1NCCN1C1=CC(O)=CC(C#CCCC2=CC=CC=C2)=C1,28/000000082,C19H18N2O2,306.0,3.03,5.2,-10.605,2.372471111976874,2.5665783626697727,2.469524737323323,2.5348160071873806,2.73,18.8,-120.0,HIGHDIVERSITY_CONCAT
Druglike_1057,Druglike,O=C(C1=NC=C(/C=C\C2=CC=C([C@H](O)Cl)C(Cl)=C2)C=N1)C1=NNC(=O)O1,12/000000272,C16H10N4O4Cl2,392.0,2.26,5.3,-10.337,2.6660767541356467,2.2709911222845265,2.4685339382100864,3.784531085145927,4.08,5.08,-150.0,DRUGLIKE_CRAFT
Druglike_1053,Druglike,C[C@@H](O)C1=CC=C(/C=C/C2=CN=C(C(=O)C3=NNC(=O)O3)N=C2)C=C1Cl,12/000000265,C17H13N4O4Cl,372.0,2.28,5.41,-10.032,2.989042960510299,1.9345951957266914,2.461819078118495,3.5797540566949264,5.54,5.08,-170.0,DRUGLIKE_CRAFT
Druglike_1376,Druglike,O=C(O)[C@@H](C#CC1=NC2=C(C=CC=C2)N1)C1=NON=C1,20/000000093,C13H8N4O3,268.0,2.09,5.49,-9.816,3.223927474237318,1.6963607034758972,2.4601440888566075,3.85366979469276,3.59,24.3,-190.0,DRUGLIKE_LANAPDB
Druglike_38,Druglike,C/C=C/C1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1C,23/000000434,C17H15N3O3,309.0,2.83,5.05,-10.977,1.9320626487387125,2.976871099323919,2.454466874031316,3.142018116169099,5.29,5.09,-200.0,DRUGLIKE_CONCAT
HighDiv_1940,HighDiv,CNC(=O)C1=NC(C2=CC(CCC3=CC=CO3)=CC(F)=C2ON)=CN1,27/000000383,C17H17N4O3F,344.0,0.96,5.7,-9.242,3.840499322770743,1.0632745990686925,2.4518869609197176,3.237326425775775,3.27,3.58,-140.0,HIGHDIVERSITY_MAYBRIDGE
HighDiv_23,HighDiv,O=C(O)CC1=NNC(C2=NC(/C=C/C3=CC=CC=C3)=CC=C2I)=N1,4/000000123,C17H13N4O2I,432.0,3.84,5.27,-10.357,2.577995061488014,2.293049871567007,2.4355224665275106,2.852655546464936,4.57,22.4,-160.0,HIGHDIVERSITY_CONCAT
HighDiv_1588,HighDiv,C=CC1=CC2=CC([S@+]([O-])C3=CC(O)=C(I)C=C3O)=CC=C2OC1=O,12/000000186,C17H11O5SI,454.0,2.63,5.34,-10.152,2.7835190109991563,2.0669476914215763,2.425233351210366,3.744023986797489,4.03,22.1,-80.0,HIGHDIVERSITY_LANAPDB
Druglike_1048,Druglike,CC1=NC(C(=O)C2=NC(O)=NC=C2)=NC=C1/C=C/C1=CC=C(C(N)=O)C(Cl)=C1,12/000000179,C19H14N5O3Cl,395.0,1.53,5.73,-9.095,3.928581015418376,0.9011427918424568,2.4148619036304164,3.087024112710001,6.96,4.94,-20.0,DRUGLIKE_CRAFT
Druglike_1369,Druglike,CCC1=C([C@H](Cl)CN2C=CC(C(=O)O)=C2C#CCO)ON=C1O,6/000000096,C15H15N2O5Cl,338.0,1.71,5.84,-8.798,4.251547221793025,0.5735703649976132,2.412558793395319,4.119363723014072,8.67,5.35,-170.0,DRUGLIKE_LANAPDB
Druglike_26,Druglike,C=C(C)C1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1CF,23/000000365,C17H14N3O3F,327.0,2.76,5.11,-10.734,2.108226034033978,2.7088572955417747,2.4085416647878763,3.347080794805173,6.28,5.09,-140.0,DRUGLIKE_CONCAT
Druglike_1374,Druglike,O=C(O)[C@@H](C#CC1=CC=CC(F)=C1O)C1=NON=C1,20/000000106,C12H7N2O4F,262.0,2.54,5.54,-9.585,3.3707302953167044,1.4415821492632417,2.4061562222899733,3.8935270507283466,3.76,23.7,-150.0,DRUGLIKE_LANAPDB
HighDiv_1590,HighDiv,CC(=O)CC1=CC2=CC([S@+]([O-])C3=CC(O)=C(I)C=C3O)=CC=C2OC1=O,12/000000124,C18H13O6SI,484.0,1.81,5.29,-10.249,2.63671618991977,2.1739326254416107,2.4053244076806903,3.623975247273594,6.65,23.9,-100.0,HIGHDIVERSITY_LANAPDB
HighDiv_1938,HighDiv,CCCCCC1=CC(F)=C(ON)C(C2=CNC(C(=O)NC)=N2)=C1,27/000000433,C16H21N4O2F,320.0,1.89,5.76,-8.887,4.016662708066006,0.6717317993046541,2.34419725368533,3.141805397973833,3.42,3.58,-200.0,HIGHDIVERSITY_MAYBRIDGE
HighDiv_1941,HighDiv,CNC(=O)C1=NC(C2=CC(CCC3=NCCC3)=CC(F)=C2ON)=CN1,27/000000296,C17H20N5O2F,345.0,0.39,5.65,-9.165,3.6936965016913565,0.9783484143311387,2.3360224580112474,3.605173879730272,4.57,3.58,-140.0,HIGHDIVERSITY_MAYBRIDGE
Druglike_7,Druglike,O=C(C1=CC=C(C2=CC(CCO)=CC=C2)N1)C1=NC(=O)ON1,23/000000302,C15H13N3O4,299.0,1.12,5.35,-9.951,2.812879575215033,1.8452572611326437,2.329068418173838,2.906767313230713,6.43,3.58,-120.0,DRUGLIKE_CONCAT
Druglike_6,Druglike,O=C(O)CC1=CC=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=C1,23/000000301,C15H11N3O5,313.0,1.2,5.37,-9.896,2.871600703646789,1.7845957006058213,2.3280982021263052,2.8540777611395143,6.9,3.58,-120.0,DRUGLIKE_CONCAT
HighDiv_1605,HighDiv,[O-][S@@+](C1=CC=C(O)C(C2=NC=CC=C2)=C1)C1=CC(O)=C(I)C=C1O,12/000000144,C17H12NO4SI,453.0,2.81,5.07,-10.69,1.9907837771704686,2.660328047120316,2.325555912145392,3.419120260672867,5.03,17.9,-160.0,HIGHDIVERSITY_LANAPDB
Druglike_46,Druglike,C=CCN(C(N)=O)C1=CC(C2=CC=C(C(=O)C3=NC(=O)ON3)N2)=CC=C1,23/000000386,C17H15N5O4,353.0,0.9,4.98,-10.914,1.7265386992275726,2.9073860390841033,2.316962369155838,3.198717582192849,9.32,4.94,-120.0,DRUGLIKE_CONCAT
