series_id;core_smiles;count;mean_activity;x_mean;y_mean;mol_ids
AS-115;O=C(C=Cc1ccccc1)C1CCCNN1;5;-0.4655041280493834;-32.837025;-27.205486;Druglike_567, Druglike_751, Druglike_781, Druglike_784, Druglike_886
AS-116;O=C(CC#Cc1cnon1)c1ccccc1;5;0.3610850435143428;10.967747;42.566917;Druglike_351, Druglike_434, Druglike_660, Druglike_762, Druglike_877
AS-117;C1=NOCN1c1ccccc1;5;-0.3332316926086403;18.927563;34.201057;HighDiv_2096, HighDiv_486, HighDiv_538, HighDiv_860, Druglike_631
AS-118;c1ccc(Nc2cccnc2)cc1;5;-0.29816537847144414;33.11146;11.578635;HighDiv_243, HighDiv_560, Druglike_1263, HighDiv_867, HighDiv_1089
AS-119;C1=COC(CCCc2cccnc2)=CC1;5;1.0269188751671852;-36.091675;-2.7607512;Druglike_14, Druglike_19, Druglike_35, Druglike_247, Druglike_193
AS-120;c1ccc(CCc2cc[nH]c2)cc1;5;0.544684809764069;60.92414;16.930593;HighDiv_79, HighDiv_77, HighDiv_871, HighDiv_958, HighDiv_1196
AS-121;C(=Cc1cnc[nH]1)CCCc1ccccc1;4;0.5179102576702559;23.671965;45.115948;HighDiv_186, HighDiv_502, HighDiv_466, HighDiv_1070
AS-122;O=c1ccc(-c2cnc(C=Cc3ccccc3)o2)n[nH]1;4;0.8444736080917556;-34.9525;-38.214188;Druglike_1098, Druglike_1100, Druglike_1081, Druglike_1150
AS-123;O=C(c1ncc(C=Cc2ccccc2)cn1)c1ccc[nH]1;4;1.2628864912499564;-9.075176;-61.495846;Druglike_1085, Druglike_1108, Druglike_1103, Druglike_1144
AS-124;C(#Cc1ccccc1)c1ccccc1;4;0.32564072078888934;-2.374725;23.1941;Druglike_1409, Druglike_1492, HighDiv_1537, Druglike_1662
AS-125;c1cnc2[nH]ccc2n1;4;-0.6526900044660343;-30.387426;-0.41586375;Druglike_1822, Druglike_1941, Druglike_2013, Druglike_2070
AS-126;c1cncc(-c2nncs2)c1;4;-0.8626042350177914;-35.737923;27.516396;HighDiv_1562, HighDiv_1415, HighDiv_1786, HighDiv_1538
AS-127;c1cncc(Cc2ncco2)c1;4;-0.03399727051770714;-39.63279;8.411278;Druglike_214, Druglike_278, Druglike_789, Druglike_922
AS-128;O=c1[nH]nc(CC#Cc2ccccc2)[nH]1;4;0.5600859041347348;-10.62458;37.456978;HighDiv_247, HighDiv_408, HighDiv_420, HighDiv_476
AS-129;O=C1C=C(Cc2ccncn2)CO1;4;-0.3752540345908274;-40.470062;3.1188588;Druglike_513, Druglike_561, Druglike_671, Druglike_1008
AS-130;C(=Cc1ccccc1)Cc1nnco1;4;-0.25418517908733124;-2.8976269;-33.915176;HighDiv_1636, Druglike_1540, Druglike_1691, HighDiv_1046
AS-131;c1c[nH]c(-c2cnco2)c1;4;-0.6834418378005127;-22.352448;1.9859207;Druglike_955, Druglike_917, Druglike_1024, Druglike_854
AS-132;C(#Cc1ccccc1)CCC1=CCC=CO1;4;0.4589554467540535;0.6425482;30.052155;HighDiv_1626, HighDiv_1699, HighDiv_1719, HighDiv_1847
AS-133;C(=Cc1ccccc1)Cc1nnc[nH]1;4;0.3574977973430861;18.128963;-31.955124;HighDiv_1984, HighDiv_2047, HighDiv_2049, HighDiv_2133
AS-134;O=c1[nH][nH]c2ccccc12;4;-0.3102330676219423;7.0460963;12.972312;HighDiv_1027, HighDiv_959, HighDiv_790, HighDiv_882
AS-135;O=C1NCCN1c1cccc(C#CCCC2=CCCS2)c1;4;1.7549619677647845;13.626516;67.43028;HighDiv_26, HighDiv_19, HighDiv_161, HighDiv_171
AS-136;c1ccc(Nc2ccccc2)cc1;4;0.22946461046933053;-4.4861283;24.52293;Druglike_1257, Druglike_1210, Druglike_1269, Druglike_1361
AS-137;O=C1CCC(C=C(Cc2ccccc2)c2ncn[nH]2)O1;4;0.3038062482081845;-12.916819;-30.510612;Druglike_1405, Druglike_1448, Druglike_1469, Druglike_1547
AS-138;C(#Cc1cccnc1)c1ccccc1;4;0.695755197999249;-22.722414;31.521446;HighDiv_1233, HighDiv_1730, HighDiv_1310, Druglike_1707
AS-139;C(=Cc1cncnc1)c1ccccc1;4;-0.0026630938526142484;-7.2323127;-56.36937;Druglike_1181, Druglike_1178, Druglike_1245, Druglike_1355
AS-140;O=C(OCc1ccncc1)c1cnc[nH]1;4;-0.0578875050501419;30.391651;31.004507;Druglike_1845, Druglike_2078, Druglike_2014, Druglike_2019
AS-141;O=C(c1cc[nH]c1)c1cscn1;4;-0.6770415724507606;-18.891775;11.017666;HighDiv_1770, HighDiv_1690, HighDiv_1851, HighDiv_1927
AS-142;N=c1[nH]cc(-c2ccccc2)s1;4;-0.38802671346290174;6.121926;-21.385786;HighDiv_1601, HighDiv_1707, HighDiv_1647, HighDiv_1864
AS-143;C(=CC1=CCCO1)Cc1ccccc1;4;-0.42470860716740566;-67.35661;16.280758;Druglike_1293, Druglike_1336, Druglike_1266, Druglike_1353
AS-144;C=C1Cc2ccccc2N1;4;0.013833770461238029;8.465531;-32.489307;HighDiv_1712, HighDiv_1759, HighDiv_1803, HighDiv_1820
AS-145;O=C(Cc1cccc(C2=CN=CCN2)c1)c1ccccc1;4;1.5852797600766642;48.928993;36.789154;Druglike_13, Druglike_188, Druglike_79, Druglike_92
AS-146;N=c1[nH]cc(CCC#Cc2ccc[nH]2)s1;4;-0.5384681962154846;3.4269295;49.425396;HighDiv_2305, HighDiv_2280, HighDiv_2269, HighDiv_2190
AS-147;C(=Cc1nn[nH]n1)c1ccccc1;4;-0.2771220548769243;31.061447;-56.518295;HighDiv_2035, HighDiv_2228, HighDiv_2259, HighDiv_2267
AS-148;O=C(Cc1ccon1)OCC#CCc1n[nH]c(=O)[nH]1;4;0.4141434665075884;-44.84307;-18.633406;Druglike_89, Druglike_233, Druglike_391, Druglike_550
AS-149;C(#Cc1ccccc1)Cc1cncnc1;4;0.15319921517980775;30.38445;7.0038443;HighDiv_410, HighDiv_275, HighDiv_665, HighDiv_728
AS-150;O=C(C#CCc1ccccc1)c1ccco1;4;-0.08529131412149549;-11.453196;19.682703;HighDiv_1258, HighDiv_1487, HighDiv_1568, HighDiv_1574
AS-151;O=C(CC#Cc1cnon1)c1cccnc1;4;0.23413062587597605;10.068627;44.730133;Druglike_818, Druglike_831, Druglike_1035, Druglike_988
AS-152;C(=Cc1cnon1)c1cccnc1;4;-0.7206010365118201;-25.247276;17.815079;Druglike_1604, Druglike_1633, Druglike_1634, Druglike_1578
AS-153;c1ccc(-n2cccn2)cc1;4;0.07554681078793019;15.923861;-5.6437993;HighDiv_169, HighDiv_1678, Druglike_1870, HighDiv_1789
AS-154;c1cncc(-c2cccnc2)c1;3;-0.5285057995934878;-39.46024;20.98491;HighDiv_1409, HighDiv_2142, HighDiv_1513
AS-155;O=C1C=C(c2ccccc2)CN1;3;-0.18963666193367046;45.4969;6.1588387;HighDiv_861, HighDiv_938, Druglike_1325
AS-156;O=C(C=CC1=CCON1)CCC1=CNNC1;3;-0.5026615280871648;-52.040356;-23.111494;HighDiv_1890, HighDiv_1766, HighDiv_1887
AS-157;C(=Cc1ccccc1)Cc1cnn[nH]1;3;0.4978241132466163;12.69572;-35.574974;Druglike_1080, Druglike_1117, Druglike_1158
AS-158;O=C1C=CC(C#Cc2ccccn2)N1;3;-0.27288288972798797;7.388676;-39.735455;Druglike_736, Druglike_650, Druglike_896
AS-159;c1nnc(C2=NOCN2)[nH]1;3;-0.18217160715528824;-25.897402;-2.7706063;Druglike_528, Druglike_573, Druglike_572
AS-160;O=C(CC1CCN1)c1cc[nH]c1;3;-0.31254132362346415;12.482144;-17.44671;Druglike_1803, Druglike_1850, Druglike_1960
AS-161;O=C(Cc1ccc(-c2cc[nH]n2)cc1)Cc1ccccn1;3;0.8343889596710984;-17.830652;-23.833883;Druglike_1747, Druglike_1806, Druglike_1795
AS-162;C(=Cc1nnco1)c1nnn[nH]1;3;-0.490522354959899;-24.342827;-34.202965;Druglike_1268, Druglike_1346, Druglike_1284
AS-163;O=C(OCc1ccccn1)c1ccccc1;3;0.23437607614357514;22.243652;17.457224;Druglike_1176, Druglike_1244, Druglike_1243
AS-164;O=C(OCc1ccoc1)c1cccnc1;3;-0.363509478037401;40.928154;-19.833073;Druglike_301, Druglike_616, Druglike_1006
AS-165;c1n[nH]cc1CCN=C1CCCN1;3;-0.4460715156830663;-52.64897;30.600471;Druglike_410, Druglike_451, Druglike_915
AS-166;O=C(C#Cc1cccnc1)NCc1ccno1;3;0.733414112528303;-35.316933;54.721905;HighDiv_1248, HighDiv_1314, HighDiv_1431
AS-167;O=C1C=C(C=Cc2ccccc2)CN1;3;-0.06283623300970072;24.892527;-31.413519;Druglike_690, Druglike_849, Druglike_891
AS-168;O=C(C#Cc1cccnc1)NC1CCCC1;3;0.8001124916796526;-38.999676;46.034008;HighDiv_1236, HighDiv_1311, HighDiv_1239
AS-169;O=C(c1ncc(C=Cc2ccccc2)cn1)c1ncn[nH]1;3;1.2779330600939522;-6.033835;-56.458942;Druglike_1131, Druglike_1148, Druglike_1154
AS-170;O=C(c1ncc(C=Cc2ccccc2)cn1)c1ccno1;3;1.9392928752971894;-7.799749;-57.558964;Druglike_1067, Druglike_1056, Druglike_1082
AS-171;O=C(c1ccncn1)c1cc[nH]n1;3;-0.34925101758572713;-15.877823;13.455295;Druglike_1571, Druglike_1660, Druglike_1710
AS-172;O=C(c1ccccn1)C1C=CC=CC1;3;-0.4683976011392808;-0.28280827;-5.285311;Druglike_1201, Druglike_1218, Druglike_1262
